automast automat mathemat analysi and symbol translat a procedur for
numer solv system of ordinari differenti equat is shown to
also gener symbol solut the procedur is base on a
finit taylor seri expans that includ an estim of the
error in the final result a comput program is describ
that read in a system of such equat and then
gener the expans for all of the depend variabl the
expans ar determin symbol henc ani non numer paramet in
the origin equat ar carri automat into the final expans
thu the exact influenc of ani paramet on the problem
solut can be easili displai cacm august 1966 ball w
e bern r i ca660810 jb march 2 1978 7
16 pm 1024 4 1388 1051 4 1388 1098 4
1388 1214 4 1388 1223 4 1388 1380 4 1388
1388 4 1388 1388 4 1388 1393 4 1388 1485
4 1388 1487 4 1388 1549 4 1388 1570 4
1388 1878 4 1388 1946 4 1388 1957 4 1388
2168 4 1388 436 4 1388 2723 4 1388 2857
4 1388 3112 4 1388 1388 5 1388 1388 5
1388 1388 5 1388 1396 5 1388 405 5 1388
731 5 1388 964 6 1388 1028 6 1388 1029
6 1388 1083 6 1388 1132 6 1388 1214 6
1388 1278 6 1388 1334 6 1388 1365 6 1388
1386 6 1388 1387 6 1388 1388 6 1388 1392
6 1388 1393 6 1388 1394 6 1388 1395 6
1388 1396 6 1388 1397 6 1388 1496 6 1388
284 6 1388 407 6 1388 3199 6 1388 3200
6 1388 3201 6 1388 3202 6 1388 3203 6
1388 3204 6 1388 561 6 1388 730 6 1388
