Ranking (Top 100) for the queries in Cleaned_queries.txt in the format:
query_id Q0 doc_id rank Lucene_score system_name

For query: what articles exist which deal with tss time sharing system an operating system for ibm computers

1 Q0 CACM-2319 1 0.38844424 LuceneNoStopNoStem
1 Q0 CACM-1657 2 0.33750585 LuceneNoStopNoStem
1 Q0 CACM-1410 3 0.32017016 LuceneNoStopNoStem
1 Q0 CACM-1938 4 0.2908424 LuceneNoStopNoStem
1 Q0 CACM-2629 5 0.2897393 LuceneNoStopNoStem
1 Q0 CACM-2378 6 0.273999 LuceneNoStopNoStem
1 Q0 CACM-1827 7 0.2730184 LuceneNoStopNoStem
1 Q0 CACM-2218 8 0.271191 LuceneNoStopNoStem
1 Q0 CACM-2054 9 0.26818994 LuceneNoStopNoStem
1 Q0 CACM-1698 10 0.26200634 LuceneNoStopNoStem
1 Q0 CACM-2947 11 0.25740108 LuceneNoStopNoStem
1 Q0 CACM-1844 12 0.25575674 LuceneNoStopNoStem
1 Q0 CACM-1605 13 0.24081405 LuceneNoStopNoStem
1 Q0 CACM-2357 14 0.23914199 LuceneNoStopNoStem
1 Q0 CACM-1591 15 0.22874153 LuceneNoStopNoStem
1 Q0 CACM-1161 16 0.22769247 LuceneNoStopNoStem
1 Q0 CACM-1033 17 0.22494456 LuceneNoStopNoStem
1 Q0 CACM-2379 18 0.21745548 LuceneNoStopNoStem
1 Q0 CACM-1749 19 0.21408209 LuceneNoStopNoStem
1 Q0 CACM-2535 20 0.21299793 LuceneNoStopNoStem
1 Q0 CACM-1487 21 0.20880708 LuceneNoStopNoStem
1 Q0 CACM-2371 22 0.20749682 LuceneNoStopNoStem
1 Q0 CACM-2541 23 0.20726359 LuceneNoStopNoStem
1 Q0 CACM-2950 24 0.20244622 LuceneNoStopNoStem
1 Q0 CACM-1506 25 0.20209515 LuceneNoStopNoStem
1 Q0 CACM-1519 26 0.19696885 LuceneNoStopNoStem
1 Q0 CACM-2151 27 0.19587702 LuceneNoStopNoStem
1 Q0 CACM-2501 28 0.19558522 LuceneNoStopNoStem
1 Q0 CACM-2424 29 0.19448917 LuceneNoStopNoStem
1 Q0 CACM-1572 30 0.19347432 LuceneNoStopNoStem
1 Q0 CACM-1071 31 0.1890627 LuceneNoStopNoStem
1 Q0 CACM-2946 32 0.18897352 LuceneNoStopNoStem
1 Q0 CACM-1908 33 0.18683851 LuceneNoStopNoStem
1 Q0 CACM-2632 34 0.18463595 LuceneNoStopNoStem
1 Q0 CACM-2219 35 0.18462968 LuceneNoStopNoStem
1 Q0 CACM-2344 36 0.18107706 LuceneNoStopNoStem
1 Q0 CACM-1805 37 0.18029737 LuceneNoStopNoStem
1 Q0 CACM-1464 38 0.17994718 LuceneNoStopNoStem
1 Q0 CACM-0637 39 0.17816485 LuceneNoStopNoStem
1 Q0 CACM-1225 40 0.17750925 LuceneNoStopNoStem
1 Q0 CACM-0698 41 0.17650151 LuceneNoStopNoStem
1 Q0 CACM-1544 42 0.17487586 LuceneNoStopNoStem
1 Q0 CACM-1408 43 0.17399006 LuceneNoStopNoStem
1 Q0 CACM-1523 44 0.17374736 LuceneNoStopNoStem
1 Q0 CACM-1391 45 0.17296876 LuceneNoStopNoStem
1 Q0 CACM-1752 46 0.17182368 LuceneNoStopNoStem
1 Q0 CACM-2003 47 0.17017375 LuceneNoStopNoStem
1 Q0 CACM-1647 48 0.16848633 LuceneNoStopNoStem
1 Q0 CACM-2380 49 0.16596164 LuceneNoStopNoStem
1 Q0 CACM-0585 50 0.16525848 LuceneNoStopNoStem
1 Q0 CACM-1226 51 0.16161846 LuceneNoStopNoStem
1 Q0 CACM-2764 52 0.1569391 LuceneNoStopNoStem
1 Q0 CACM-1393 53 0.15568437 LuceneNoStopNoStem
1 Q0 CACM-2948 54 0.15466574 LuceneNoStopNoStem
1 Q0 CACM-1885 55 0.15283981 LuceneNoStopNoStem
1 Q0 CACM-1680 56 0.15207314 LuceneNoStopNoStem
1 Q0 CACM-1685 57 0.15038346 LuceneNoStopNoStem
1 Q0 CACM-1462 58 0.15010586 LuceneNoStopNoStem
1 Q0 CACM-1854 59 0.14999086 LuceneNoStopNoStem
1 Q0 CACM-2500 60 0.14995034 LuceneNoStopNoStem
1 Q0 CACM-2920 61 0.1495041 LuceneNoStopNoStem
1 Q0 CACM-1440 62 0.14889419 LuceneNoStopNoStem
1 Q0 CACM-1750 63 0.14587095 LuceneNoStopNoStem
1 Q0 CACM-3068 64 0.14556962 LuceneNoStopNoStem
1 Q0 CACM-0971 65 0.14484993 LuceneNoStopNoStem
1 Q0 CACM-3127 66 0.14393976 LuceneNoStopNoStem
1 Q0 CACM-1264 67 0.1404345 LuceneNoStopNoStem
1 Q0 CACM-3023 68 0.1404069 LuceneNoStopNoStem
1 Q0 CACM-2522 69 0.13957985 LuceneNoStopNoStem
1 Q0 CACM-1315 70 0.1382589 LuceneNoStopNoStem
1 Q0 CACM-1747 71 0.13779753 LuceneNoStopNoStem
1 Q0 CACM-0397 72 0.13727474 LuceneNoStopNoStem
1 Q0 CACM-3025 73 0.13654938 LuceneNoStopNoStem
1 Q0 CACM-2365 74 0.13639957 LuceneNoStopNoStem
1 Q0 CACM-2439 75 0.13502307 LuceneNoStopNoStem
1 Q0 CACM-2317 76 0.13447097 LuceneNoStopNoStem
1 Q0 CACM-2838 77 0.13378662 LuceneNoStopNoStem
1 Q0 CACM-1542 78 0.12979597 LuceneNoStopNoStem
1 Q0 CACM-3011 79 0.12949467 LuceneNoStopNoStem
1 Q0 CACM-2358 80 0.12828869 LuceneNoStopNoStem
1 Q0 CACM-2917 81 0.12748477 LuceneNoStopNoStem
1 Q0 CACM-2201 82 0.12746063 LuceneNoStopNoStem
1 Q0 CACM-1590 83 0.1271599 LuceneNoStopNoStem
1 Q0 CACM-2841 84 0.12705572 LuceneNoStopNoStem
1 Q0 CACM-2740 85 0.12692465 LuceneNoStopNoStem
1 Q0 CACM-2080 86 0.12675974 LuceneNoStopNoStem
1 Q0 CACM-1046 87 0.12631945 LuceneNoStopNoStem
1 Q0 CACM-3069 88 0.12524861 LuceneNoStopNoStem
1 Q0 CACM-0699 89 0.124914184 LuceneNoStopNoStem
1 Q0 CACM-3174 90 0.12434548 LuceneNoStopNoStem
1 Q0 CACM-2092 91 0.122705236 LuceneNoStopNoStem
1 Q0 CACM-2681 92 0.12232214 LuceneNoStopNoStem
1 Q0 CACM-1163 93 0.12115423 LuceneNoStopNoStem
1 Q0 CACM-1828 94 0.12017821 LuceneNoStopNoStem
1 Q0 CACM-1923 95 0.11943662 LuceneNoStopNoStem
1 Q0 CACM-1626 96 0.119328566 LuceneNoStopNoStem
1 Q0 CACM-1892 97 0.11931407 LuceneNoStopNoStem
1 Q0 CACM-1753 98 0.118033096 LuceneNoStopNoStem
1 Q0 CACM-2390 99 0.11732617 LuceneNoStopNoStem
1 Q0 CACM-1179 100 0.11570086 LuceneNoStopNoStem

For query: i am interested in articles written either by prieve or udo pooch prieve b pooch u

2 Q0 CACM-2434 1 0.20523958 LuceneNoStopNoStem
2 Q0 CACM-3078 2 0.18894485 LuceneNoStopNoStem
2 Q0 CACM-3129 3 0.13599107 LuceneNoStopNoStem
2 Q0 CACM-1977 4 0.1032591 LuceneNoStopNoStem
2 Q0 CACM-2786 5 0.10032949 LuceneNoStopNoStem
2 Q0 CACM-2863 6 0.09978098 LuceneNoStopNoStem
2 Q0 CACM-3144 7 0.08674052 LuceneNoStopNoStem
2 Q0 CACM-2534 8 0.07852553 LuceneNoStopNoStem
2 Q0 CACM-0497 9 0.07736967 LuceneNoStopNoStem
2 Q0 CACM-3202 10 0.07698071 LuceneNoStopNoStem
2 Q0 CACM-2177 11 0.07587204 LuceneNoStopNoStem
2 Q0 CACM-0616 12 0.07526611 LuceneNoStopNoStem
2 Q0 CACM-1379 13 0.074332684 LuceneNoStopNoStem
2 Q0 CACM-1046 14 0.07160746 LuceneNoStopNoStem
2 Q0 CACM-2342 15 0.07040931 LuceneNoStopNoStem
2 Q0 CACM-1264 16 0.06993262 LuceneNoStopNoStem
2 Q0 CACM-1010 17 0.0682873 LuceneNoStopNoStem
2 Q0 CACM-0727 18 0.06816 LuceneNoStopNoStem
2 Q0 CACM-1364 19 0.06727582 LuceneNoStopNoStem
2 Q0 CACM-1674 20 0.06434792 LuceneNoStopNoStem
2 Q0 CACM-1652 21 0.06379322 LuceneNoStopNoStem
2 Q0 CACM-2939 22 0.06319933 LuceneNoStopNoStem
2 Q0 CACM-3117 23 0.062661596 LuceneNoStopNoStem
2 Q0 CACM-1931 24 0.062231068 LuceneNoStopNoStem
2 Q0 CACM-3171 25 0.057289977 LuceneNoStopNoStem
2 Q0 CACM-1012 26 0.05563073 LuceneNoStopNoStem
2 Q0 CACM-2971 27 0.055541564 LuceneNoStopNoStem
2 Q0 CACM-1062 28 0.055214763 LuceneNoStopNoStem
2 Q0 CACM-0282 29 0.055150922 LuceneNoStopNoStem
2 Q0 CACM-2439 30 0.055012465 LuceneNoStopNoStem
2 Q0 CACM-1272 31 0.05475633 LuceneNoStopNoStem
2 Q0 CACM-2215 32 0.05453927 LuceneNoStopNoStem
2 Q0 CACM-2572 33 0.054491945 LuceneNoStopNoStem
2 Q0 CACM-1764 34 0.053066693 LuceneNoStopNoStem
2 Q0 CACM-2002 35 0.05287711 LuceneNoStopNoStem
2 Q0 CACM-1553 36 0.052827295 LuceneNoStopNoStem
2 Q0 CACM-2980 37 0.050564315 LuceneNoStopNoStem
2 Q0 CACM-2905 38 0.049542136 LuceneNoStopNoStem
2 Q0 CACM-1861 39 0.04943526 LuceneNoStopNoStem
2 Q0 CACM-0531 40 0.048753656 LuceneNoStopNoStem
2 Q0 CACM-1705 41 0.048316717 LuceneNoStopNoStem
2 Q0 CACM-1877 42 0.048146997 LuceneNoStopNoStem
2 Q0 CACM-1593 43 0.047715932 LuceneNoStopNoStem
2 Q0 CACM-2047 44 0.047715932 LuceneNoStopNoStem
2 Q0 CACM-2194 45 0.047173288 LuceneNoStopNoStem
2 Q0 CACM-1975 46 0.047043126 LuceneNoStopNoStem
2 Q0 CACM-1334 47 0.046907432 LuceneNoStopNoStem
2 Q0 CACM-1519 48 0.046436515 LuceneNoStopNoStem
2 Q0 CACM-2451 49 0.044987854 LuceneNoStopNoStem
2 Q0 CACM-0397 50 0.044491235 LuceneNoStopNoStem
2 Q0 CACM-1867 51 0.044105705 LuceneNoStopNoStem
2 Q0 CACM-1154 52 0.04388455 LuceneNoStopNoStem
2 Q0 CACM-1464 53 0.04382609 LuceneNoStopNoStem
2 Q0 CACM-1924 54 0.043479186 LuceneNoStopNoStem
2 Q0 CACM-2852 55 0.043277074 LuceneNoStopNoStem
2 Q0 CACM-1741 56 0.043247942 LuceneNoStopNoStem
