consum difficulti with computer transact an empir investig the preval
with which error mai be encount by the end target
of a computer process is assess how mani and what
type of error occur how easili ar thei correct what
is the reaction of consum to error to a failur
to correct them what can be learn by design of
larg manag packag from such data result show that with
the present state of the art approxim 40 percent of
individu or household have averag contact with differ type of
account experi on or more error per year eighti percent
relat to bill attempt to correct error often turn out
to be difficult and not alwai success there appear to
be some conflict between comput us organ and their public
also the role of poor man agement packag includ poor
softwar is indic while most manag system mai be adequ
result of the survei rais concern about the timeli and
the number of design of veri larg link program packag
as eft for instanc cacm mai 1979 sterl t error
system error bill error manag system consum 2 0 2
1 2 12 2 2 3 50 3 52 3
55 4 19 4 6 ca790503 dh june 5 1979
3 21 pm 3142 4 3142 3142 4 3142 3179
4 3142 3178 4 3142 3182 4 3142 3183 4
3142 2583 5 3142 3076 5 3142 3142 5 3142
3142 5 3142 3142 5 3142 3178 5 3142 3076
6 3142 3140 6 3142 3142 6 3142 3179 6
3142 3180 6 3142 3181 6 3142 3182 6 3142
