
For query : portabl oper system

1 Q0 CACM-3127 1 12.601319015335209 BM25ModelStemNoStop
1 Q0 CACM-2246 2 7.737073345786889 BM25ModelStemNoStop
1 Q0 CACM-1591 3 7.13390475479656 BM25ModelStemNoStop
1 Q0 CACM-1680 4 7.100080413174487 BM25ModelStemNoStop
1 Q0 CACM-1033 5 6.986296478505674 BM25ModelStemNoStop
1 Q0 CACM-1657 6 6.969539239780218 BM25ModelStemNoStop
1 Q0 CACM-3068 7 6.892649056502046 BM25ModelStemNoStop
1 Q0 CACM-2740 8 6.736805580731572 BM25ModelStemNoStop
1 Q0 CACM-1534 9 6.660282502812551 BM25ModelStemNoStop
1 Q0 CACM-1236 10 6.611989398341816 BM25ModelStemNoStop
1 Q0 CACM-1750 11 6.5783291212291495 BM25ModelStemNoStop
1 Q0 CACM-2424 12 6.481826949882958 BM25ModelStemNoStop
1 Q0 CACM-1519 13 6.380616409717502 BM25ModelStemNoStop
1 Q0 CACM-3026 14 6.332971805464524 BM25ModelStemNoStop
1 Q0 CACM-2379 15 6.327750561344395 BM25ModelStemNoStop
1 Q0 CACM-2920 16 6.323939553466778 BM25ModelStemNoStop
1 Q0 CACM-2629 17 6.315578621583177 BM25ModelStemNoStop
1 Q0 CACM-3196 18 6.3123676066376175 BM25ModelStemNoStop
1 Q0 CACM-2541 19 6.292090174344563 BM25ModelStemNoStop
1 Q0 CACM-2153 20 6.248002583177259 BM25ModelStemNoStop
1 Q0 CACM-2798 21 6.240542251579116 BM25ModelStemNoStop
1 Q0 CACM-2357 22 6.218186649826089 BM25ModelStemNoStop
1 Q0 CACM-2319 23 6.198261052571253 BM25ModelStemNoStop
1 Q0 CACM-2092 24 6.194708619249091 BM25ModelStemNoStop
1 Q0 CACM-3025 25 6.147929302806537 BM25ModelStemNoStop
1 Q0 CACM-2372 26 6.132811407066928 BM25ModelStemNoStop
1 Q0 CACM-585 27 6.115376372830212 BM25ModelStemNoStop
1 Q0 CACM-1264 28 6.073213940242867 BM25ModelStemNoStop
1 Q0 CACM-322 29 6.071968127113796 BM25ModelStemNoStop
1 Q0 CACM-3089 30 6.034260246211264 BM25ModelStemNoStop
1 Q0 CACM-1912 31 6.033927199904446 BM25ModelStemNoStop
1 Q0 CACM-1930 32 6.010604571898049 BM25ModelStemNoStop
1 Q0 CACM-1938 33 6.008439841932562 BM25ModelStemNoStop
1 Q0 CACM-1461 34 5.969907711807622 BM25ModelStemNoStop
1 Q0 CACM-1108 35 5.969569507601688 BM25ModelStemNoStop
1 Q0 CACM-2064 36 5.963989992153981 BM25ModelStemNoStop
1 Q0 CACM-1472 37 5.94311049259476 BM25ModelStemNoStop
1 Q0 CACM-3137 38 5.920302414797009 BM25ModelStemNoStop
1 Q0 CACM-972 39 5.898179724734948 BM25ModelStemNoStop
1 Q0 CACM-2378 40 5.886234780954424 BM25ModelStemNoStop
1 Q0 CACM-1071 41 5.879005130987466 BM25ModelStemNoStop
1 Q0 CACM-1034 42 5.829359107616776 BM25ModelStemNoStop
1 Q0 CACM-1168 43 5.823295673485551 BM25ModelStemNoStop
1 Q0 CACM-1462 44 5.799962983276956 BM25ModelStemNoStop
1 Q0 CACM-1247 45 5.7726919770520135 BM25ModelStemNoStop
1 Q0 CACM-3023 46 5.759851908068839 BM25ModelStemNoStop
1 Q0 CACM-2681 47 5.749550238916675 BM25ModelStemNoStop
1 Q0 CACM-1755 48 5.739426194325949 BM25ModelStemNoStop
1 Q0 CACM-252 49 5.737649632120032 BM25ModelStemNoStop
1 Q0 CACM-1747 50 5.735224709479778 BM25ModelStemNoStop
1 Q0 CACM-2482 51 5.728553467379797 BM25ModelStemNoStop
1 Q0 CACM-2105 52 5.715501300177161 BM25ModelStemNoStop
1 Q0 CACM-202 53 5.709558131309943 BM25ModelStemNoStop
1 Q0 CACM-3090 54 5.699476881603129 BM25ModelStemNoStop
1 Q0 CACM-1226 55 5.698739953162999 BM25ModelStemNoStop
1 Q0 CACM-2542 56 5.684908529223026 BM25ModelStemNoStop
1 Q0 CACM-2735 57 5.676864739400854 BM25ModelStemNoStop
1 Q0 CACM-3087 58 5.670747363104577 BM25ModelStemNoStop
