
For query : portabl oper system

1 Q0 CACM-2311 1 0.06429386570017877 QueryLikelihoodModelStemNoStop
1 Q0 CACM-1461 2 0.052001811425436556 QueryLikelihoodModelStemNoStop
1 Q0 CACM-1657 3 0.049531055225555745 QueryLikelihoodModelStemNoStop
1 Q0 CACM-1591 4 0.04816445097707714 QueryLikelihoodModelStemNoStop
1 Q0 CACM-1680 5 0.04644396854478214 QueryLikelihoodModelStemNoStop
1 Q0 CACM-1033 6 0.04584329617323438 QueryLikelihoodModelStemNoStop
1 Q0 CACM-3127 7 0.04535970576192165 QueryLikelihoodModelStemNoStop
1 Q0 CACM-1938 8 0.04209448234971629 QueryLikelihoodModelStemNoStop
1 Q0 CACM-3068 9 0.04084856488769786 QueryLikelihoodModelStemNoStop
1 Q0 CACM-2984 10 0.0398013526436566 QueryLikelihoodModelStemNoStop
1 Q0 CACM-1755 11 0.03939575081937595 QueryLikelihoodModelStemNoStop
1 Q0 CACM-3089 12 0.039230477920062415 QueryLikelihoodModelStemNoStop
1 Q0 CACM-1534 13 0.03799516440147748 QueryLikelihoodModelStemNoStop
1 Q0 CACM-1912 14 0.03750543427630966 QueryLikelihoodModelStemNoStop
1 Q0 CACM-3012 15 0.03640633998902794 QueryLikelihoodModelStemNoStop
1 Q0 CACM-1750 16 0.03612016823829388 QueryLikelihoodModelStemNoStop
1 Q0 CACM-1519 17 0.035623684057910596 QueryLikelihoodModelStemNoStop
1 Q0 CACM-2542 18 0.03523163771674834 QueryLikelihoodModelStemNoStop
1 Q0 CACM-1236 19 0.03482957998589306 QueryLikelihoodModelStemNoStop
1 Q0 CACM-2740 20 0.0346811580701591 QueryLikelihoodModelStemNoStop
1 Q0 CACM-3137 21 0.03421596059209914 QueryLikelihoodModelStemNoStop
1 Q0 CACM-1719 22 0.03386322379384944 QueryLikelihoodModelStemNoStop
1 Q0 CACM-2948 23 0.03346222234196911 QueryLikelihoodModelStemNoStop
1 Q0 CACM-2798 24 0.03305899887209161 QueryLikelihoodModelStemNoStop
1 Q0 CACM-2735 25 0.03305356459578195 QueryLikelihoodModelStemNoStop
1 Q0 CACM-2371 26 0.03250452856359139 QueryLikelihoodModelStemNoStop
1 Q0 CACM-1304 27 0.03250271713815483 QueryLikelihoodModelStemNoStop
1 Q0 CACM-2153 28 0.032305382347708946 QueryLikelihoodModelStemNoStop
1 Q0 CACM-1844 29 0.03187633078881336 QueryLikelihoodModelStemNoStop
1 Q0 CACM-1071 30 0.0318672736616306 QueryLikelihoodModelStemNoStop
1 Q0 CACM-2560 31 0.03171275134948039 QueryLikelihoodModelStemNoStop
1 Q0 CACM-3090 32 0.03152239721689773 QueryLikelihoodModelStemNoStop
1 Q0 CACM-2629 33 0.031210868552619325 QueryLikelihoodModelStemNoStop
1 Q0 CACM-3025 34 0.030960532366845442 QueryLikelihoodModelStemNoStop
1 Q0 CACM-1168 35 0.030955098090535784 QueryLikelihoodModelStemNoStop
1 Q0 CACM-2405 36 0.03095419237781751 QueryLikelihoodModelStemNoStop
1 Q0 CACM-2541 37 0.030719529969942157 QueryLikelihoodModelStemNoStop
1 Q0 CACM-1034 38 0.03066490592208195 QueryLikelihoodModelStemNoStop
1 Q0 CACM-2372 39 0.03063642366577339 QueryLikelihoodModelStemNoStop
1 Q0 CACM-2424 40 0.030627716294323107 QueryLikelihoodModelStemNoStop
1 Q0 CACM-2188 41 0.030627716294323107 QueryLikelihoodModelStemNoStop
1 Q0 CACM-2105 42 0.03054325274070579 QueryLikelihoodModelStemNoStop
1 Q0 CACM-3023 43 0.030237992415844545 QueryLikelihoodModelStemNoStop
1 Q0 CACM-2796 44 0.030234369564971438 QueryLikelihoodModelStemNoStop
1 Q0 CACM-2689 45 0.030234369564971438 QueryLikelihoodModelStemNoStop
1 Q0 CACM-2681 46 0.030005434276309664 QueryLikelihoodModelStemNoStop
1 Q0 CACM-3026 47 0.029892303173010587 QueryLikelihoodModelStemNoStop
1 Q0 CACM-2920 48 0.02955270024720076 QueryLikelihoodModelStemNoStop
1 Q0 CACM-1264 49 0.029405136339087607 QueryLikelihoodModelStemNoStop
1 Q0 CACM-1341 50 0.029283807842870664 QueryLikelihoodModelStemNoStop
1 Q0 CACM-1226 51 0.028894323165198552 QueryLikelihoodModelStemNoStop
1 Q0 CACM-2379 52 0.028753270863977054 QueryLikelihoodModelStemNoStop
1 Q0 CACM-2955 53 0.028684622002699788 QueryLikelihoodModelStemNoStop
1 Q0 CACM-2522 54 0.028578674273174787 QueryLikelihoodModelStemNoStop
1 Q0 CACM-1472 55 0.028264492416090498 QueryLikelihoodModelStemNoStop
1 Q0 CACM-202 56 0.028021769942901727 QueryLikelihoodModelStemNoStop
1 Q0 CACM-252 57 0.02796061209818494 QueryLikelihoodModelStemNoStop
1 Q0 CACM-1571 58 0.027782306341369165 QueryLikelihoodModelStemNoStop
1 Q0 CACM-2357 59 0.027666820169831324 QueryLikelihoodModelStemNoStop
1 Q0 CACM-322 60 0.027665008744394766 QueryLikelihoodModelStemNoStop
1 Q0 CACM-2624 61 0.027415978543244804 QueryLikelihoodModelStemNoStop
1 Q0 CACM-1959 62 0.027375666754377793 QueryLikelihoodModelStemNoStop
1 Q0 CACM-379 63 0.02708423904605161 QueryLikelihoodModelStemNoStop
1 Q0 CACM-190 64 0.02708423904605161 QueryLikelihoodModelStemNoStop
1 Q0 CACM-3180 65 0.02686403269582279 QueryLikelihoodModelStemNoStop
1 Q0 CACM-2318 66 0.026807746562213314 QueryLikelihoodModelStemNoStop
1 Q0 CACM-1108 67 0.02667391236841288 QueryLikelihoodModelStemNoStop
1 Q0 CACM-2812 68 0.026599060505373584 QueryLikelihoodModelStemNoStop
1 Q0 CACM-2555 69 0.026356785627661014 QueryLikelihoodModelStemNoStop
1 Q0 CACM-2151 70 0.026007245701746215 QueryLikelihoodModelStemNoStop
1 Q0 CACM-1518 71 0.026005434276309664 QueryLikelihoodModelStemNoStop
1 Q0 CACM-103 72 0.026004528563591388 QueryLikelihoodModelStemNoStop
1 Q0 CACM-2092 73 0.02590547146981225 QueryLikelihoodModelStemNoStop
1 Q0 CACM-585 74 0.025877892467915373 QueryLikelihoodModelStemNoStop
1 Q0 CACM-1544 75 0.025833248845846087 QueryLikelihoodModelStemNoStop
1 Q0 CACM-1747 76 0.025753442810045064 QueryLikelihoodModelStemNoStop
1 Q0 CACM-2321 77 0.025663329013151766 QueryLikelihoodModelStemNoStop
1 Q0 CACM-2398 78 0.025663329013151766 QueryLikelihoodModelStemNoStop
1 Q0 CACM-1195 79 0.025595079744693744 QueryLikelihoodModelStemNoStop
1 Q0 CACM-1482 80 0.02549381892930448 QueryLikelihoodModelStemNoStop
1 Q0 CACM-2599 81 0.025492007503867927 QueryLikelihoodModelStemNoStop
1 Q0 CACM-1163 82 0.02532739246283016 QueryLikelihoodModelStemNoStop
1 Q0 CACM-1238 83 0.02519832701320379 QueryLikelihoodModelStemNoStop
1 Q0 CACM-2064 84 0.025005434276309663 QueryLikelihoodModelStemNoStop
1 Q0 CACM-294 85 0.025000905712718277 QueryLikelihoodModelStemNoStop
1 Q0 CACM-2878 86 0.024869727967170015 QueryLikelihoodModelStemNoStop
1 Q0 CACM-2319 87 0.02484685779036801 QueryLikelihoodModelStemNoStop
1 Q0 CACM-2577 88 0.02453011331222901 QueryLikelihoodModelStemNoStop
1 Q0 CACM-1045 89 0.02437771713815483 QueryLikelihoodModelStemNoStop
1 Q0 CACM-3072 90 0.02430631112230696 QueryLikelihoodModelStemNoStop
1 Q0 CACM-92 91 0.024302688271433854 QueryLikelihoodModelStemNoStop
1 Q0 CACM-1885 92 0.024208467648602405 QueryLikelihoodModelStemNoStop
1 Q0 CACM-3174 93 0.02407769692494718 QueryLikelihoodModelStemNoStop
1 Q0 CACM-2621 94 0.02407769692494718 QueryLikelihoodModelStemNoStop
1 Q0 CACM-25 95 0.02407497978679235 QueryLikelihoodModelStemNoStop
1 Q0 CACM-197 96 0.02407497978679235 QueryLikelihoodModelStemNoStop
1 Q0 CACM-3087 97 0.024003251430505072 QueryLikelihoodModelStemNoStop
1 Q0 CACM-1533 98 0.023901587387120796 QueryLikelihoodModelStemNoStop
1 Q0 CACM-2399 99 0.023783204943032883 QueryLikelihoodModelStemNoStop
1 Q0 CACM-1937 100 0.023555253201272545 QueryLikelihoodModelStemNoStop

For query : code optim for space effici

2 Q0 CACM-1064 1 0.0896587952646662 QueryLikelihoodModelStemNoStop
2 Q0 CACM-1795 2 0.07927282124651822 QueryLikelihoodModelStemNoStop
2 Q0 CACM-983 3 0.07647421108616723 QueryLikelihoodModelStemNoStop
2 Q0 CACM-2897 4 0.07490743544468503 QueryLikelihoodModelStemNoStop
2 Q0 CACM-2495 5 0.06964829141916681 QueryLikelihoodModelStemNoStop
2 Q0 CACM-1289 6 0.06964557428101198 QueryLikelihoodModelStemNoStop
2 Q0 CACM-1736 7 0.06915346473380415 QueryLikelihoodModelStemNoStop
2 Q0 CACM-2748 8 0.06842829833332517 QueryLikelihoodModelStemNoStop
2 Q0 CACM-1416 9 0.06500724570174622 QueryLikelihoodModelStemNoStop
2 Q0 CACM-1414 10 0.06290594294460644 QueryLikelihoodModelStemNoStop
2 Q0 CACM-1063 11 0.06290594294460644 QueryLikelihoodModelStemNoStop
2 Q0 CACM-1490 12 0.06290594294460644 QueryLikelihoodModelStemNoStop
2 Q0 CACM-397 13 0.06258314774871508 QueryLikelihoodModelStemNoStop
2 Q0 CACM-1444 14 0.06149282647551443 QueryLikelihoodModelStemNoStop
2 Q0 CACM-1085 15 0.06094021713815483 QueryLikelihoodModelStemNoStop
2 Q0 CACM-2070 16 0.06094021713815483 QueryLikelihoodModelStemNoStop
2 Q0 CACM-1204 17 0.060468739129942876 QueryLikelihoodModelStemNoStop
2 Q0 CACM-2464 18 0.060468739129942876 QueryLikelihoodModelStemNoStop
2 Q0 CACM-66 19 0.059093626229063924 QueryLikelihoodModelStemNoStop
2 Q0 CACM-1362 20 0.05811505006271031 QueryLikelihoodModelStemNoStop
2 Q0 CACM-1267 21 0.057671253162481693 QueryLikelihoodModelStemNoStop
2 Q0 CACM-1917 22 0.057358375452780254 QueryLikelihoodModelStemNoStop
2 Q0 CACM-3032 23 0.05639294813661886 QueryLikelihoodModelStemNoStop
2 Q0 CACM-1652 24 0.05446475318359714 QueryLikelihoodModelStemNoStop
2 Q0 CACM-2116 25 0.053283217088181546 QueryLikelihoodModelStemNoStop
2 Q0 CACM-2491 26 0.05177806291888928 QueryLikelihoodModelStemNoStop
2 Q0 CACM-558 27 0.04875815141446449 QueryLikelihoodModelStemNoStop
2 Q0 CACM-2586 28 0.04875271713815483 QueryLikelihoodModelStemNoStop
2 Q0 CACM-1065 29 0.04875271713815483 QueryLikelihoodModelStemNoStop
2 Q0 CACM-52 30 0.04875271713815483 QueryLikelihoodModelStemNoStop
2 Q0 CACM-1627 31 0.04860537654286771 QueryLikelihoodModelStemNoStop
2 Q0 CACM-1276 32 0.0481499595735847 QueryLikelihoodModelStemNoStop
2 Q0 CACM-1655 33 0.047713667720094846 QueryLikelihoodModelStemNoStop
2 Q0 CACM-1719 34 0.04740851331138922 QueryLikelihoodModelStemNoStop
2 Q0 CACM-1999 35 0.0469135564838733 QueryLikelihoodModelStemNoStop
2 Q0 CACM-1782 36 0.04643400570488109 QueryLikelihoodModelStemNoStop
2 Q0 CACM-3134 37 0.04605706378287737 QueryLikelihoodModelStemNoStop
2 Q0 CACM-1516 38 0.045843296173234384 QueryLikelihoodModelStemNoStop
2 Q0 CACM-2800 39 0.0449585827759759 QueryLikelihoodModelStemNoStop
2 Q0 CACM-1508 40 0.0448293976323331 QueryLikelihoodModelStemNoStop
2 Q0 CACM-48 41 0.04472076897433231 QueryLikelihoodModelStemNoStop
2 Q0 CACM-1032 42 0.04472076897433231 QueryLikelihoodModelStemNoStop
2 Q0 CACM-1233 43 0.04432361609449148 QueryLikelihoodModelStemNoStop
2 Q0 CACM-755 44 0.0440750423119157 QueryLikelihoodModelStemNoStop
2 Q0 CACM-1431 45 0.0440714194610426 QueryLikelihoodModelStemNoStop
2 Q0 CACM-2885 46 0.04334148474779782 QueryLikelihoodModelStemNoStop
2 Q0 CACM-2253 47 0.043104791204553024 QueryLikelihoodModelStemNoStop
2 Q0 CACM-243 48 0.043104791204553024 QueryLikelihoodModelStemNoStop
2 Q0 CACM-265 49 0.04286257713345252 QueryLikelihoodModelStemNoStop
2 Q0 CACM-1669 50 0.04286257713345252 QueryLikelihoodModelStemNoStop
2 Q0 CACM-1929 51 0.04282433409738608 QueryLikelihoodModelStemNoStop
2 Q0 CACM-1183 52 0.04276768645832823 QueryLikelihoodModelStemNoStop
2 Q0 CACM-2680 53 0.04249271725790173 QueryLikelihoodModelStemNoStop
2 Q0 CACM-1566 54 0.04194272957271396 QueryLikelihoodModelStemNoStop
2 Q0 CACM-961 55 0.04193910672184084 QueryLikelihoodModelStemNoStop
2 Q0 CACM-2611 56 0.041937295296404296 QueryLikelihoodModelStemNoStop
2 Q0 CACM-1773 57 0.041937295296404296 QueryLikelihoodModelStemNoStop
2 Q0 CACM-275 58 0.041937295296404296 QueryLikelihoodModelStemNoStop
2 Q0 CACM-651 59 0.041937295296404296 QueryLikelihoodModelStemNoStop
2 Q0 CACM-2081 60 0.04150023025474698 QueryLikelihoodModelStemNoStop
2 Q0 CACM-797 61 0.0414920788402825 QueryLikelihoodModelStemNoStop
