
For query : portabl oper system

1 Q0 CACM-3127 1 0.23904517591341828 tfidf_StemNoStop
1 Q0 CACM-2311 2 0.1678104977625995 tfidf_StemNoStop
1 Q0 CACM-2246 3 0.1640237397930409 tfidf_StemNoStop
1 Q0 CACM-1461 4 0.15820216220570554 tfidf_StemNoStop
1 Q0 CACM-1657 5 0.1453206032609993 tfidf_StemNoStop
1 Q0 CACM-1591 6 0.13955073194150974 tfidf_StemNoStop
1 Q0 CACM-1680 7 0.1353532658541948 tfidf_StemNoStop
1 Q0 CACM-1033 8 0.13404146144894918 tfidf_StemNoStop
1 Q0 CACM-1930 9 0.12800547977575755 tfidf_StemNoStop
1 Q0 CACM-3068 10 0.12424253576364308 tfidf_StemNoStop
1 Q0 CACM-1755 11 0.11985012288311025 tfidf_StemNoStop
1 Q0 CACM-1938 12 0.11390149765872072 tfidf_StemNoStop
1 Q0 CACM-1534 13 0.11010009046034697 tfidf_StemNoStop
1 Q0 CACM-3089 14 0.10723109480676869 tfidf_StemNoStop
1 Q0 CACM-2740 15 0.10546810813713703 tfidf_StemNoStop
1 Q0 CACM-2735 16 0.10531114443723341 tfidf_StemNoStop
1 Q0 CACM-1236 17 0.10426765957773249 tfidf_StemNoStop
1 Q0 CACM-2984 18 0.10388268909113302 tfidf_StemNoStop
1 Q0 CACM-1750 19 0.10362313621878855 tfidf_StemNoStop
1 Q0 CACM-1912 20 0.10328900393362175 tfidf_StemNoStop
1 Q0 CACM-1519 21 0.1006651401660226 tfidf_StemNoStop
1 Q0 CACM-3196 22 0.09691755772588766 tfidf_StemNoStop
1 Q0 CACM-3012 23 0.09501803295535634 tfidf_StemNoStop
1 Q0 CACM-2542 24 0.09470842045093199 tfidf_StemNoStop
1 Q0 CACM-3137 25 0.09422856499207599 tfidf_StemNoStop
1 Q0 CACM-2424 26 0.09416169491851437 tfidf_StemNoStop
1 Q0 CACM-379 27 0.09409597777725551 tfidf_StemNoStop
1 Q0 CACM-2798 28 0.09262068391371643 tfidf_StemNoStop
1 Q0 CACM-2796 29 0.09197800128238694 tfidf_StemNoStop
1 Q0 CACM-2555 30 0.0915528432427351 tfidf_StemNoStop
1 Q0 CACM-2153 31 0.09128640039900186 tfidf_StemNoStop
1 Q0 CACM-103 32 0.0903321386661653 tfidf_StemNoStop
1 Q0 CACM-2920 33 0.08988759216233269 tfidf_StemNoStop
1 Q0 CACM-1168 34 0.08971118481954196 tfidf_StemNoStop
1 Q0 CACM-1071 35 0.08867946882949172 tfidf_StemNoStop
1 Q0 CACM-2599 36 0.08856092026094636 tfidf_StemNoStop
1 Q0 CACM-1719 37 0.08837242648377636 tfidf_StemNoStop
1 Q0 CACM-2629 38 0.0881826627854358 tfidf_StemNoStop
1 Q0 CACM-3026 39 0.08769346748508579 tfidf_StemNoStop
1 Q0 CACM-2948 40 0.08733275087808486 tfidf_StemNoStop
1 Q0 CACM-2541 41 0.08679395943448405 tfidf_StemNoStop
1 Q0 CACM-3025 42 0.0867400055699884 tfidf_StemNoStop
1 Q0 CACM-1472 43 0.08597943598136171 tfidf_StemNoStop
1 Q0 CACM-2372 44 0.085831733260355 tfidf_StemNoStop
1 Q0 CACM-3090 45 0.08567004597620408 tfidf_StemNoStop
1 Q0 CACM-1034 46 0.08533307377932223 tfidf_StemNoStop
1 Q0 CACM-1304 47 0.0848375294244253 tfidf_StemNoStop
1 Q0 CACM-2371 48 0.0848375294244253 tfidf_StemNoStop
1 Q0 CACM-1045 49 0.08468637999952996 tfidf_StemNoStop
1 Q0 CACM-2105 50 0.08348192615828971 tfidf_StemNoStop
1 Q0 CACM-3023 51 0.08327175510927644 tfidf_StemNoStop
1 Q0 CACM-1844 52 0.08317404845531892 tfidf_StemNoStop
1 Q0 CACM-2560 53 0.08276832138968322 tfidf_StemNoStop
1 Q0 CACM-2379 54 0.08266656177895607 tfidf_StemNoStop
1 Q0 CACM-2681 55 0.0826312031468974 tfidf_StemNoStop
1 Q0 CACM-1264 56 0.08238121132024023 tfidf_StemNoStop
1 Q0 CACM-2357 57 0.0811631028851326 tfidf_StemNoStop
1 Q0 CACM-2405 58 0.08079764707088123 tfidf_StemNoStop
1 Q0 CACM-322 59 0.08016744175363325 tfidf_StemNoStop
1 Q0 CACM-2188 60 0.07991941177663253 tfidf_StemNoStop
1 Q0 CACM-1226 61 0.07957078821553083 tfidf_StemNoStop
1 Q0 CACM-252 62 0.07901672292601775 tfidf_StemNoStop
1 Q0 CACM-2689 63 0.0789186320227212 tfidf_StemNoStop
1 Q0 CACM-202 64 0.07797677431558755 tfidf_StemNoStop
1 Q0 CACM-2522 65 0.07766789882458063 tfidf_StemNoStop
