
For query : portabl oper system

1 Q0 3127 1 17.917289648456045 BM25ModelStemNoStop
1 Q0 2246 2 14.41523415034892 BM25ModelStemNoStop
1 Q0 3196 3 12.225003660150287 BM25ModelStemNoStop
1 Q0 1930 4 11.743290316018498 BM25ModelStemNoStop
1 Q0 2593 5 9.86628252586191 BM25ModelStemNoStop
1 Q0 1591 6 6.432268542485587 BM25ModelStemNoStop
1 Q0 1680 7 6.425889019836469 BM25ModelStemNoStop
1 Q0 3068 8 6.384474193944331 BM25ModelStemNoStop
1 Q0 2740 9 6.380515084920183 BM25ModelStemNoStop
1 Q0 1033 10 6.308026904986274 BM25ModelStemNoStop
1 Q0 2424 11 6.27850679502798 BM25ModelStemNoStop
1 Q0 1657 12 6.225575169022312 BM25ModelStemNoStop
1 Q0 1236 13 6.190097500150602 BM25ModelStemNoStop
1 Q0 1534 14 6.106177868325197 BM25ModelStemNoStop
1 Q0 2920 15 6.095277817698767 BM25ModelStemNoStop
1 Q0 2319 16 6.071026556421892 BM25ModelStemNoStop
1 Q0 1750 17 6.062443914207682 BM25ModelStemNoStop
1 Q0 2379 18 6.029026952131074 BM25ModelStemNoStop
1 Q0 2092 19 6.020789081366379 BM25ModelStemNoStop
1 Q0 3026 20 5.992959717281249 BM25ModelStemNoStop
1 Q0 2357 21 5.947949847182473 BM25ModelStemNoStop
1 Q0 1462 22 5.947530755879432 BM25ModelStemNoStop
1 Q0 2629 23 5.922345239746796 BM25ModelStemNoStop
1 Q0 2378 24 5.913841127555568 BM25ModelStemNoStop
1 Q0 2541 25 5.9117745464100615 BM25ModelStemNoStop
1 Q0 585 26 5.9067794628471315 BM25ModelStemNoStop
1 Q0 2064 27 5.8774852499411505 BM25ModelStemNoStop
1 Q0 1519 28 5.835387315276973 BM25ModelStemNoStop
1 Q0 972 29 5.817036761965599 BM25ModelStemNoStop
1 Q0 2153 30 5.778464841264186 BM25ModelStemNoStop
1 Q0 2482 31 5.768452291575607 BM25ModelStemNoStop
1 Q0 2798 32 5.756668985521236 BM25ModelStemNoStop
1 Q0 322 33 5.7429272083854315 BM25ModelStemNoStop
1 Q0 2632 34 5.7328806600642945 BM25ModelStemNoStop
1 Q0 3025 35 5.714264631608889 BM25ModelStemNoStop
1 Q0 1472 36 5.709051865120459 BM25ModelStemNoStop
1 Q0 2372 37 5.707269768032438 BM25ModelStemNoStop
1 Q0 2080 38 5.706563039384582 BM25ModelStemNoStop
1 Q0 1264 39 5.6794939105132904 BM25ModelStemNoStop
1 Q0 2219 40 5.657393022148337 BM25ModelStemNoStop
1 Q0 1108 41 5.654069350451511 BM25ModelStemNoStop
1 Q0 2597 42 5.641879627704361 BM25ModelStemNoStop
1 Q0 1247 43 5.640877230074794 BM25ModelStemNoStop
1 Q0 2868 44 5.620304921088568 BM25ModelStemNoStop
1 Q0 1698 45 5.576154286882956 BM25ModelStemNoStop
1 Q0 2735 46 5.548575640356667 BM25ModelStemNoStop
1 Q0 1752 47 5.542763267703533 BM25ModelStemNoStop
1 Q0 1652 48 5.5414342932611556 BM25ModelStemNoStop
1 Q0 2065 49 5.537557597797301 BM25ModelStemNoStop
1 Q0 2950 50 5.523349924988722 BM25ModelStemNoStop
1 Q0 2320 51 5.505488983395505 BM25ModelStemNoStop
1 Q0 1695 52 5.4985961364018765 BM25ModelStemNoStop
1 Q0 1766 53 5.496214645338719 BM25ModelStemNoStop
1 Q0 1902 54 5.480600169761669 BM25ModelStemNoStop
1 Q0 2622 55 5.474674416512559 BM25ModelStemNoStop
1 Q0 2697 56 5.471649770100255 BM25ModelStemNoStop
1 Q0 1853 57 5.468671401881201 BM25ModelStemNoStop
1 Q0 2317 58 5.460471989995018 BM25ModelStemNoStop
1 Q0 1747 59 5.438964851318948 BM25ModelStemNoStop
1 Q0 3087 60 5.428431976259388 BM25ModelStemNoStop
1 Q0 1951 61 5.409093040043412 BM25ModelStemNoStop
1 Q0 2399 62 5.401892582717969 BM25ModelStemNoStop
1 Q0 1334 63 5.3914894582512485 BM25ModelStemNoStop
1 Q0 2342 64 5.382564844810768 BM25ModelStemNoStop
1 Q0 2840 65 5.381097018997734 BM25ModelStemNoStop
1 Q0 2867 66 5.366170162116301 BM25ModelStemNoStop
1 Q0 2536 67 5.35675111404456 BM25ModelStemNoStop
1 Q0 1324 68 5.350800791313272 BM25ModelStemNoStop
1 Q0 2184 69 5.346165976437709 BM25ModelStemNoStop
1 Q0 1912 70 5.345766296786313 BM25ModelStemNoStop
1 Q0 2777 71 5.330072543090266 BM25ModelStemNoStop
1 Q0 3089 72 5.324554573168981 BM25ModelStemNoStop
1 Q0 1728 73 5.32005438009296 BM25ModelStemNoStop
1 Q0 1924 74 5.307947807372087 BM25ModelStemNoStop
1 Q0 1168 75 5.305074337283854 BM25ModelStemNoStop
1 Q0 2111 76 5.302370531696773 BM25ModelStemNoStop
1 Q0 1071 77 5.298230574257779 BM25ModelStemNoStop
1 Q0 3137 78 5.292545841233329 BM25ModelStemNoStop
1 Q0 1461 79 5.2841318764077485 BM25ModelStemNoStop
1 Q0 1034 80 5.275875587917154 BM25ModelStemNoStop
1 Q0 1938 81 5.270481852507247 BM25ModelStemNoStop
1 Q0 252 82 5.260681859090005 BM25ModelStemNoStop
1 Q0 202 83 5.2209808058429354 BM25ModelStemNoStop
1 Q0 3023 84 5.215218118188508 BM25ModelStemNoStop
1 Q0 1755 85 5.212626288180601 BM25ModelStemNoStop
1 Q0 2681 86 5.210165879714648 BM25ModelStemNoStop
1 Q0 1163 87 5.207964544858173 BM25ModelStemNoStop
1 Q0 1226 88 5.185092132364188 BM25ModelStemNoStop
1 Q0 92 89 5.177555443430242 BM25ModelStemNoStop
1 Q0 2621 90 5.171732176269101 BM25ModelStemNoStop
1 Q0 3174 91 5.171732176269101 BM25ModelStemNoStop
1 Q0 1923 92 5.167487044850606 BM25ModelStemNoStop
1 Q0 2105 93 5.163513906547637 BM25ModelStemNoStop
1 Q0 1195 94 5.162178164264628 BM25ModelStemNoStop
1 Q0 3090 95 5.126349732070638 BM25ModelStemNoStop
1 Q0 2796 96 5.125920475527476 BM25ModelStemNoStop
1 Q0 1533 97 5.1152492133561 BM25ModelStemNoStop
1 Q0 1711 98 5.0936132317553575 BM25ModelStemNoStop
1 Q0 2624 99 5.085515495016348 BM25ModelStemNoStop

For query : code optim for space effici

2 Q0 2748 1 14.525070603883828 BM25ModelStemNoStop
2 Q0 2491 2 14.46335297571509 BM25ModelStemNoStop
2 Q0 2033 3 14.14303890324854 BM25ModelStemNoStop
2 Q0 2701 4 13.689284269898565 BM25ModelStemNoStop
2 Q0 1947 5 13.280841999842181 BM25ModelStemNoStop
2 Q0 1886 6 13.134649853113345 BM25ModelStemNoStop
2 Q0 2530 7 13.101496600542504 BM25ModelStemNoStop
2 Q0 2559 8 13.093626553329756 BM25ModelStemNoStop
2 Q0 3005 9 12.799740638716644 BM25ModelStemNoStop
2 Q0 2716 10 12.54440453661537 BM25ModelStemNoStop
2 Q0 3103 11 12.463704699860166 BM25ModelStemNoStop
2 Q0 2801 12 12.234783834170447 BM25ModelStemNoStop
2 Q0 1807 13 12.15874240972534 BM25ModelStemNoStop
2 Q0 2680 14 11.896378204774557 BM25ModelStemNoStop
2 Q0 2856 15 11.88705750790718 BM25ModelStemNoStop
2 Q0 2897 16 11.849750943133502 BM25ModelStemNoStop
2 Q0 2944 17 11.755739585054279 BM25ModelStemNoStop
2 Q0 2816 18 11.30822222385893 BM25ModelStemNoStop
2 Q0 2598 19 11.258340798239972 BM25ModelStemNoStop
2 Q0 3033 20 11.018407626394985 BM25ModelStemNoStop
2 Q0 2863 21 10.976596306992136 BM25ModelStemNoStop
2 Q0 2495 22 10.80191473670843 BM25ModelStemNoStop
2 Q0 1795 23 10.647478577052404 BM25ModelStemNoStop
2 Q0 2537 24 10.622200676040787 BM25ModelStemNoStop
2 Q0 3129 25 10.572388876986839 BM25ModelStemNoStop
2 Q0 2722 26 10.426170814538057 BM25ModelStemNoStop
2 Q0 1542 27 10.368006470859314 BM25ModelStemNoStop
2 Q0 3080 28 10.355039911702095 BM25ModelStemNoStop
2 Q0 1195 29 10.017500087978625 BM25ModelStemNoStop
2 Q0 2648 30 9.987637746888451 BM25ModelStemNoStop
2 Q0 3106 31 9.72947508677285 BM25ModelStemNoStop
2 Q0 1235 32 9.715816946243478 BM25ModelStemNoStop
2 Q0 3057 33 9.694678977156666 BM25ModelStemNoStop
2 Q0 3113 34 9.690335388410404 BM25ModelStemNoStop
2 Q0 2819 35 9.628032439926164 BM25ModelStemNoStop
2 Q0 3099 36 9.609844995511343 BM25ModelStemNoStop
2 Q0 2834 37 9.60521559675843 BM25ModelStemNoStop
2 Q0 2929 38 9.485230752780225 BM25ModelStemNoStop
