For Query: parallel languages languages parallel computation

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.200
02  	  R  	  1.000  	  0.400
03  	  R  	  1.000  	  0.600
04  	  R  	  1.000  	  0.800
05  	  R  	  1.000  	  1.000
06  	  R  	  1.000  	  1.200
07  	  N  	  0.857  	  1.200
08  	  N  	  0.750  	  1.200
09  	  R  	  0.778  	  1.400
10  	  N  	  0.700  	  1.400
11  	  R  	  0.727  	  1.600
12  	  R  	  0.750  	  1.800
13  	  R  	  0.769  	  2.000
14  	  R  	  0.786  	  2.200
15  	  R  	  0.800  	  2.400
16  	  R  	  0.812  	  2.600
17  	  R  	  0.824  	  2.800
18  	  R  	  0.833  	  3.000
19  	  R  	  0.842  	  3.200
20  	  R  	  0.850  	  3.400
21  	  R  	  0.857  	  3.600
22  	  R  	  0.864  	  3.800
23  	  R  	  0.870  	  4.000
24  	  N  	  0.833  	  4.000
25  	  N  	  0.800  	  4.000
26  	  N  	  0.769  	  4.000
27  	  N  	  0.741  	  4.000
28  	  N  	  0.714  	  4.000
29  	  N  	  0.690  	  4.000
30  	  N  	  0.667  	  4.000
31  	  R  	  0.677  	  4.200
32  	  N  	  0.656  	  4.200
33  	  N  	  0.636  	  4.200
34  	  N  	  0.618  	  4.200
35  	  N  	  0.600  	  4.200
36  	  N  	  0.583  	  4.200
37  	  N  	  0.568  	  4.200
38  	  N  	  0.553  	  4.200
39  	  N  	  0.538  	  4.200
40  	  N  	  0.525  	  4.200
41  	  R  	  0.537  	  4.400
42  	  N  	  0.524  	  4.400
43  	  N  	  0.512  	  4.400
44  	  N  	  0.500  	  4.400
45  	  N  	  0.489  	  4.400
46  	  N  	  0.478  	  4.400
47  	  N  	  0.468  	  4.400
48  	  N  	  0.458  	  4.400
49  	  R  	  0.469  	  4.600
50  	  N  	  0.460  	  4.600
51  	  N  	  0.451  	  4.600
52  	  N  	  0.442  	  4.600
53  	  N  	  0.434  	  4.600
54  	  R  	  0.444  	  4.800
55  	  R  	  0.455  	  5.000
56  	  N  	  0.446  	  5.000
57  	  R  	  0.456  	  5.200
58  	  N  	  0.448  	  5.200
59  	  N  	  0.441  	  5.200
60  	  N  	  0.433  	  5.200
61  	  N  	  0.426  	  5.200
62  	  N  	  0.419  	  5.200
63  	  N  	  0.413  	  5.200
64  	  N  	  0.406  	  5.200
65  	  N  	  0.400  	  5.200
66  	  N  	  0.394  	  5.200
67  	  N  	  0.388  	  5.200
68  	  N  	  0.382  	  5.200
69  	  N  	  0.377  	  5.200
70  	  N  	  0.371  	  5.200
71  	  N  	  0.366  	  5.200
72  	  N  	  0.361  	  5.200
73  	  N  	  0.356  	  5.200
74  	  N  	  0.351  	  5.200
75  	  N  	  0.347  	  5.200
76  	  N  	  0.342  	  5.200
77  	  N  	  0.338  	  5.200
78  	  N  	  0.333  	  5.200
79  	  N  	  0.329  	  5.200
80  	  N  	  0.325  	  5.200
81  	  N  	  0.321  	  5.200
82  	  N  	  0.317  	  5.200
83  	  N  	  0.313  	  5.200
84  	  N  	  0.310  	  5.200
85  	  N  	  0.306  	  5.200
86  	  N  	  0.302  	  5.200
87  	  N  	  0.299  	  5.200
88  	  N  	  0.295  	  5.200
89  	  N  	  0.292  	  5.200
90  	  N  	  0.289  	  5.200
91  	  N  	  0.286  	  5.200
92  	  N  	  0.283  	  5.200
93  	  N  	  0.280  	  5.200
94  	  N  	  0.277  	  5.200
95  	  N  	  0.274  	  5.200
96  	  N  	  0.271  	  5.200
97  	  N  	  0.268  	  5.200
98  	  N  	  0.265  	  5.200
99  	  N  	  0.263  	  5.200
100  	  N  	  0.260  	  5.200
