For Query: find discussions optimal implementations sort algorithms database management applications

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.200
02  	  R  	  1.000  	  0.400
03  	  R  	  1.000  	  0.600
04  	  R  	  1.000  	  0.800
05  	  R  	  1.000  	  1.000
06  	  R  	  1.000  	  1.200
07  	  R  	  1.000  	  1.400
08  	  R  	  1.000  	  1.600
09  	  R  	  1.000  	  1.800
10  	  R  	  1.000  	  2.000
11  	  N  	  0.909  	  2.000
12  	  R  	  0.917  	  2.200
13  	  R  	  0.923  	  2.400
14  	  N  	  0.857  	  2.400
15  	  R  	  0.867  	  2.600
16  	  R  	  0.875  	  2.800
17  	  N  	  0.824  	  2.800
18  	  R  	  0.833  	  3.000
19  	  R  	  0.842  	  3.200
20  	  N  	  0.800  	  3.200
21  	  N  	  0.762  	  3.200
22  	  N  	  0.727  	  3.200
23  	  R  	  0.739  	  3.400
24  	  N  	  0.708  	  3.400
25  	  N  	  0.680  	  3.400
26  	  R  	  0.692  	  3.600
27  	  R  	  0.704  	  3.800
28  	  N  	  0.679  	  3.800
29  	  N  	  0.655  	  3.800
30  	  N  	  0.633  	  3.800
31  	  N  	  0.613  	  3.800
32  	  N  	  0.594  	  3.800
33  	  N  	  0.576  	  3.800
34  	  N  	  0.559  	  3.800
35  	  N  	  0.543  	  3.800
36  	  N  	  0.528  	  3.800
37  	  N  	  0.514  	  3.800
38  	  N  	  0.500  	  3.800
39  	  N  	  0.487  	  3.800
40  	  N  	  0.475  	  3.800
41  	  N  	  0.463  	  3.800
42  	  N  	  0.452  	  3.800
43  	  N  	  0.442  	  3.800
44  	  N  	  0.432  	  3.800
45  	  N  	  0.422  	  3.800
46  	  N  	  0.413  	  3.800
47  	  N  	  0.404  	  3.800
48  	  N  	  0.396  	  3.800
49  	  N  	  0.388  	  3.800
50  	  N  	  0.380  	  3.800
51  	  N  	  0.373  	  3.800
52  	  N  	  0.365  	  3.800
53  	  N  	  0.358  	  3.800
54  	  N  	  0.352  	  3.800
55  	  N  	  0.345  	  3.800
56  	  N  	  0.339  	  3.800
57  	  N  	  0.333  	  3.800
58  	  N  	  0.328  	  3.800
59  	  N  	  0.322  	  3.800
60  	  N  	  0.317  	  3.800
61  	  N  	  0.311  	  3.800
62  	  N  	  0.306  	  3.800
63  	  N  	  0.302  	  3.800
64  	  N  	  0.297  	  3.800
65  	  N  	  0.292  	  3.800
66  	  N  	  0.288  	  3.800
67  	  N  	  0.284  	  3.800
68  	  N  	  0.279  	  3.800
69  	  N  	  0.275  	  3.800
70  	  N  	  0.271  	  3.800
71  	  N  	  0.268  	  3.800
72  	  N  	  0.264  	  3.800
73  	  N  	  0.260  	  3.800
74  	  N  	  0.257  	  3.800
75  	  N  	  0.253  	  3.800
76  	  N  	  0.250  	  3.800
77  	  N  	  0.247  	  3.800
78  	  N  	  0.244  	  3.800
79  	  N  	  0.241  	  3.800
80  	  N  	  0.237  	  3.800
81  	  N  	  0.235  	  3.800
82  	  N  	  0.232  	  3.800
83  	  N  	  0.229  	  3.800
84  	  N  	  0.226  	  3.800
85  	  N  	  0.224  	  3.800
86  	  N  	  0.221  	  3.800
87  	  R  	  0.230  	  4.000
88  	  N  	  0.227  	  4.000
89  	  N  	  0.225  	  4.000
90  	  N  	  0.222  	  4.000
91  	  N  	  0.220  	  4.000
92  	  N  	  0.217  	  4.000
93  	  N  	  0.215  	  4.000
94  	  N  	  0.213  	  4.000
95  	  N  	  0.211  	  4.000
96  	  N  	  0.208  	  4.000
97  	  N  	  0.206  	  4.000
98  	  N  	  0.204  	  4.000
99  	  N  	  0.202  	  4.000
100  	  N  	  0.200  	  4.000
