For Query: concurrency control mechanisms operating systems

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  N  	  0.000  	  0.000
04  	  R  	  0.250  	  0.200
05  	  R  	  0.400  	  0.400
06  	  R  	  0.500  	  0.600
07  	  N  	  0.429  	  0.600
08  	  N  	  0.375  	  0.600
09  	  N  	  0.333  	  0.600
10  	  N  	  0.300  	  0.600
11  	  R  	  0.364  	  0.800
12  	  N  	  0.333  	  0.800
13  	  R  	  0.385  	  1.000
14  	  N  	  0.357  	  1.000
15  	  N  	  0.333  	  1.000
16  	  N  	  0.312  	  1.000
17  	  N  	  0.294  	  1.000
18  	  N  	  0.278  	  1.000
19  	  N  	  0.263  	  1.000
20  	  N  	  0.250  	  1.000
21  	  N  	  0.238  	  1.000
22  	  N  	  0.227  	  1.000
23  	  N  	  0.217  	  1.000
24  	  N  	  0.208  	  1.000
25  	  N  	  0.200  	  1.000
26  	  N  	  0.192  	  1.000
27  	  N  	  0.185  	  1.000
28  	  N  	  0.179  	  1.000
29  	  N  	  0.172  	  1.000
30  	  N  	  0.167  	  1.000
31  	  R  	  0.194  	  1.200
32  	  N  	  0.188  	  1.200
33  	  N  	  0.182  	  1.200
34  	  N  	  0.176  	  1.200
35  	  N  	  0.171  	  1.200
36  	  R  	  0.194  	  1.400
37  	  N  	  0.189  	  1.400
38  	  N  	  0.184  	  1.400
39  	  R  	  0.205  	  1.600
40  	  N  	  0.200  	  1.600
41  	  N  	  0.195  	  1.600
42  	  N  	  0.190  	  1.600
43  	  N  	  0.186  	  1.600
44  	  N  	  0.182  	  1.600
45  	  N  	  0.178  	  1.600
46  	  N  	  0.174  	  1.600
47  	  N  	  0.170  	  1.600
48  	  N  	  0.167  	  1.600
49  	  N  	  0.163  	  1.600
50  	  N  	  0.160  	  1.600
51  	  N  	  0.157  	  1.600
52  	  N  	  0.154  	  1.600
53  	  N  	  0.151  	  1.600
54  	  N  	  0.148  	  1.600
55  	  N  	  0.145  	  1.600
56  	  N  	  0.143  	  1.600
57  	  N  	  0.140  	  1.600
58  	  N  	  0.138  	  1.600
59  	  N  	  0.136  	  1.600
60  	  N  	  0.133  	  1.600
61  	  N  	  0.131  	  1.600
62  	  N  	  0.129  	  1.600
63  	  R  	  0.143  	  1.800
64  	  R  	  0.156  	  2.000
65  	  R  	  0.169  	  2.200
66  	  N  	  0.167  	  2.200
67  	  N  	  0.164  	  2.200
68  	  N  	  0.162  	  2.200
69  	  N  	  0.159  	  2.200
70  	  N  	  0.157  	  2.200
71  	  N  	  0.155  	  2.200
72  	  N  	  0.153  	  2.200
73  	  N  	  0.151  	  2.200
74  	  N  	  0.149  	  2.200
75  	  N  	  0.147  	  2.200
76  	  N  	  0.145  	  2.200
77  	  N  	  0.143  	  2.200
78  	  N  	  0.141  	  2.200
79  	  N  	  0.139  	  2.200
80  	  N  	  0.138  	  2.200
81  	  N  	  0.136  	  2.200
82  	  N  	  0.134  	  2.200
83  	  N  	  0.133  	  2.200
84  	  N  	  0.131  	  2.200
85  	  N  	  0.129  	  2.200
86  	  N  	  0.128  	  2.200
87  	  N  	  0.126  	  2.200
88  	  N  	  0.125  	  2.200
89  	  N  	  0.124  	  2.200
90  	  N  	  0.122  	  2.200
91  	  N  	  0.121  	  2.200
92  	  N  	  0.120  	  2.200
93  	  N  	  0.118  	  2.200
94  	  N  	  0.117  	  2.200
95  	  N  	  0.116  	  2.200
96  	  N  	  0.115  	  2.200
97  	  N  	  0.113  	  2.200
98  	  N  	  0.112  	  2.200
99  	  N  	  0.111  	  2.200
100  	  N  	  0.110  	  2.200
