For Query: fast algorithm context free language recognition parsing

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.200
02  	  N  	  0.500  	  0.200
03  	  R  	  0.667  	  0.400
04  	  R  	  0.750  	  0.600
05  	  N  	  0.600  	  0.600
06  	  N  	  0.500  	  0.600
07  	  N  	  0.429  	  0.600
08  	  N  	  0.375  	  0.600
09  	  N  	  0.333  	  0.600
10  	  R  	  0.400  	  0.800
11  	  R  	  0.455  	  1.000
12  	  R  	  0.500  	  1.200
13  	  N  	  0.462  	  1.200
14  	  R  	  0.500  	  1.400
15  	  N  	  0.467  	  1.400
16  	  R  	  0.500  	  1.600
17  	  R  	  0.529  	  1.800
18  	  N  	  0.500  	  1.800
19  	  R  	  0.526  	  2.000
20  	  R  	  0.550  	  2.200
21  	  N  	  0.524  	  2.200
22  	  R  	  0.545  	  2.400
23  	  N  	  0.522  	  2.400
24  	  R  	  0.542  	  2.600
25  	  N  	  0.520  	  2.600
26  	  N  	  0.500  	  2.600
27  	  N  	  0.481  	  2.600
28  	  N  	  0.464  	  2.600
29  	  N  	  0.448  	  2.600
30  	  R  	  0.467  	  2.800
31  	  N  	  0.452  	  2.800
32  	  N  	  0.438  	  2.800
33  	  N  	  0.424  	  2.800
34  	  N  	  0.412  	  2.800
35  	  N  	  0.400  	  2.800
36  	  N  	  0.389  	  2.800
37  	  N  	  0.378  	  2.800
38  	  N  	  0.368  	  2.800
39  	  N  	  0.359  	  2.800
40  	  N  	  0.350  	  2.800
41  	  N  	  0.341  	  2.800
42  	  N  	  0.333  	  2.800
43  	  N  	  0.326  	  2.800
44  	  N  	  0.318  	  2.800
45  	  N  	  0.311  	  2.800
46  	  N  	  0.304  	  2.800
47  	  N  	  0.298  	  2.800
48  	  N  	  0.292  	  2.800
49  	  N  	  0.286  	  2.800
50  	  N  	  0.280  	  2.800
51  	  N  	  0.275  	  2.800
52  	  N  	  0.269  	  2.800
53  	  N  	  0.264  	  2.800
54  	  N  	  0.259  	  2.800
55  	  N  	  0.255  	  2.800
56  	  R  	  0.268  	  3.000
57  	  N  	  0.263  	  3.000
58  	  N  	  0.259  	  3.000
59  	  R  	  0.271  	  3.200
60  	  N  	  0.267  	  3.200
61  	  N  	  0.262  	  3.200
62  	  N  	  0.258  	  3.200
63  	  N  	  0.254  	  3.200
64  	  N  	  0.250  	  3.200
65  	  N  	  0.246  	  3.200
66  	  N  	  0.242  	  3.200
67  	  N  	  0.239  	  3.200
68  	  N  	  0.235  	  3.200
69  	  N  	  0.232  	  3.200
70  	  N  	  0.229  	  3.200
71  	  N  	  0.225  	  3.200
72  	  N  	  0.222  	  3.200
73  	  N  	  0.219  	  3.200
74  	  N  	  0.216  	  3.200
75  	  N  	  0.213  	  3.200
76  	  N  	  0.211  	  3.200
77  	  N  	  0.208  	  3.200
78  	  N  	  0.205  	  3.200
79  	  N  	  0.203  	  3.200
80  	  N  	  0.200  	  3.200
81  	  N  	  0.198  	  3.200
82  	  N  	  0.195  	  3.200
83  	  N  	  0.193  	  3.200
84  	  N  	  0.190  	  3.200
85  	  N  	  0.188  	  3.200
86  	  N  	  0.186  	  3.200
87  	  N  	  0.184  	  3.200
88  	  N  	  0.182  	  3.200
89  	  R  	  0.191  	  3.400
90  	  N  	  0.189  	  3.400
91  	  N  	  0.187  	  3.400
92  	  N  	  0.185  	  3.400
93  	  N  	  0.183  	  3.400
94  	  N  	  0.181  	  3.400
95  	  N  	  0.179  	  3.400
96  	  N  	  0.177  	  3.400
97  	  N  	  0.175  	  3.400
98  	  N  	  0.173  	  3.400
99  	  N  	  0.172  	  3.400
100  	  N  	  0.170  	  3.400
