For Query: analysis perception shape humans computers shape descriptions shape recognition computer dimensional shapes measures circularity shape matching

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  R  	  0.500  	  0.200
03  	  N  	  0.333  	  0.200
04  	  N  	  0.250  	  0.200
05  	  N  	  0.200  	  0.200
06  	  N  	  0.167  	  0.200
07  	  N  	  0.143  	  0.200
08  	  N  	  0.125  	  0.200
09  	  R  	  0.222  	  0.400
10  	  N  	  0.200  	  0.400
11  	  R  	  0.273  	  0.600
12  	  R  	  0.333  	  0.800
13  	  N  	  0.308  	  0.800
14  	  R  	  0.357  	  1.000
15  	  N  	  0.333  	  1.000
16  	  R  	  0.375  	  1.200
17  	  R  	  0.412  	  1.400
18  	  R  	  0.444  	  1.600
19  	  R  	  0.474  	  1.800
20  	  R  	  0.500  	  2.000
21  	  N  	  0.476  	  2.000
22  	  N  	  0.455  	  2.000
23  	  R  	  0.478  	  2.200
24  	  R  	  0.500  	  2.400
25  	  N  	  0.480  	  2.400
26  	  R  	  0.500  	  2.600
27  	  N  	  0.481  	  2.600
28  	  R  	  0.500  	  2.800
29  	  N  	  0.483  	  2.800
30  	  R  	  0.500  	  3.000
31  	  N  	  0.484  	  3.000
32  	  N  	  0.469  	  3.000
33  	  N  	  0.455  	  3.000
34  	  N  	  0.441  	  3.000
35  	  N  	  0.429  	  3.000
36  	  N  	  0.417  	  3.000
37  	  N  	  0.405  	  3.000
38  	  R  	  0.421  	  3.200
39  	  R  	  0.436  	  3.400
40  	  N  	  0.425  	  3.400
41  	  N  	  0.415  	  3.400
42  	  N  	  0.405  	  3.400
43  	  N  	  0.395  	  3.400
44  	  N  	  0.386  	  3.400
45  	  R  	  0.400  	  3.600
46  	  N  	  0.391  	  3.600
47  	  N  	  0.383  	  3.600
48  	  N  	  0.375  	  3.600
49  	  N  	  0.367  	  3.600
50  	  N  	  0.360  	  3.600
51  	  N  	  0.353  	  3.600
52  	  N  	  0.346  	  3.600
53  	  N  	  0.340  	  3.600
54  	  N  	  0.333  	  3.600
55  	  N  	  0.327  	  3.600
56  	  N  	  0.321  	  3.600
57  	  N  	  0.316  	  3.600
58  	  N  	  0.310  	  3.600
59  	  N  	  0.305  	  3.600
60  	  N  	  0.300  	  3.600
61  	  N  	  0.295  	  3.600
62  	  N  	  0.290  	  3.600
63  	  N  	  0.286  	  3.600
64  	  N  	  0.281  	  3.600
65  	  N  	  0.277  	  3.600
66  	  N  	  0.273  	  3.600
67  	  N  	  0.269  	  3.600
68  	  N  	  0.265  	  3.600
69  	  N  	  0.261  	  3.600
70  	  N  	  0.257  	  3.600
71  	  N  	  0.254  	  3.600
72  	  R  	  0.264  	  3.800
73  	  N  	  0.260  	  3.800
74  	  N  	  0.257  	  3.800
75  	  N  	  0.253  	  3.800
76  	  N  	  0.250  	  3.800
77  	  N  	  0.247  	  3.800
78  	  N  	  0.244  	  3.800
79  	  R  	  0.253  	  4.000
80  	  N  	  0.250  	  4.000
81  	  N  	  0.247  	  4.000
82  	  N  	  0.244  	  4.000
83  	  N  	  0.241  	  4.000
84  	  R  	  0.250  	  4.200
85  	  N  	  0.247  	  4.200
86  	  R  	  0.256  	  4.400
87  	  N  	  0.253  	  4.400
88  	  N  	  0.250  	  4.400
89  	  N  	  0.247  	  4.400
90  	  N  	  0.244  	  4.400
91  	  N  	  0.242  	  4.400
92  	  N  	  0.239  	  4.400
93  	  N  	  0.237  	  4.400
94  	  N  	  0.234  	  4.400
95  	  N  	  0.232  	  4.400
96  	  N  	  0.229  	  4.400
97  	  N  	  0.227  	  4.400
98  	  N  	  0.224  	  4.400
99  	  N  	  0.222  	  4.400
100  	  N  	  0.220  	  4.400
