For Query: computer science principles data structures numerical methods generating optimization linear programming algorithms includes issues khachian russian ellipsoidal algorithm complexity algorithms

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  N  	  0.000  	  0.000
04  	  N  	  0.000  	  0.000
05  	  R  	  0.200  	  0.200
06  	  N  	  0.167  	  0.200
07  	  R  	  0.286  	  0.400
08  	  R  	  0.375  	  0.600
09  	  N  	  0.333  	  0.600
10  	  R  	  0.400  	  0.800
11  	  R  	  0.455  	  1.000
12  	  R  	  0.500  	  1.200
13  	  R  	  0.538  	  1.400
14  	  N  	  0.500  	  1.400
15  	  N  	  0.467  	  1.400
16  	  R  	  0.500  	  1.600
17  	  N  	  0.471  	  1.600
18  	  N  	  0.444  	  1.600
19  	  N  	  0.421  	  1.600
20  	  R  	  0.450  	  1.800
21  	  R  	  0.476  	  2.000
22  	  N  	  0.455  	  2.000
23  	  N  	  0.435  	  2.000
24  	  N  	  0.417  	  2.000
25  	  N  	  0.400  	  2.000
26  	  N  	  0.385  	  2.000
27  	  N  	  0.370  	  2.000
28  	  N  	  0.357  	  2.000
29  	  N  	  0.345  	  2.000
30  	  N  	  0.333  	  2.000
31  	  N  	  0.323  	  2.000
32  	  R  	  0.344  	  2.200
33  	  N  	  0.333  	  2.200
34  	  N  	  0.324  	  2.200
35  	  N  	  0.314  	  2.200
36  	  N  	  0.306  	  2.200
37  	  N  	  0.297  	  2.200
38  	  N  	  0.289  	  2.200
39  	  N  	  0.282  	  2.200
40  	  N  	  0.275  	  2.200
41  	  N  	  0.268  	  2.200
42  	  N  	  0.262  	  2.200
43  	  N  	  0.256  	  2.200
44  	  R  	  0.273  	  2.400
45  	  N  	  0.267  	  2.400
46  	  N  	  0.261  	  2.400
47  	  N  	  0.255  	  2.400
48  	  N  	  0.250  	  2.400
49  	  N  	  0.245  	  2.400
50  	  N  	  0.240  	  2.400
51  	  N  	  0.235  	  2.400
52  	  N  	  0.231  	  2.400
53  	  N  	  0.226  	  2.400
54  	  N  	  0.222  	  2.400
55  	  N  	  0.218  	  2.400
56  	  N  	  0.214  	  2.400
57  	  N  	  0.211  	  2.400
58  	  N  	  0.207  	  2.400
59  	  N  	  0.203  	  2.400
60  	  N  	  0.200  	  2.400
61  	  N  	  0.197  	  2.400
62  	  N  	  0.194  	  2.400
63  	  N  	  0.190  	  2.400
64  	  N  	  0.188  	  2.400
65  	  N  	  0.185  	  2.400
66  	  N  	  0.182  	  2.400
67  	  N  	  0.179  	  2.400
68  	  N  	  0.176  	  2.400
69  	  N  	  0.174  	  2.400
70  	  N  	  0.171  	  2.400
71  	  N  	  0.169  	  2.400
72  	  N  	  0.167  	  2.400
73  	  N  	  0.164  	  2.400
74  	  N  	  0.162  	  2.400
75  	  N  	  0.160  	  2.400
76  	  N  	  0.158  	  2.400
77  	  N  	  0.156  	  2.400
78  	  N  	  0.154  	  2.400
79  	  N  	  0.152  	  2.400
80  	  N  	  0.150  	  2.400
81  	  N  	  0.148  	  2.400
82  	  N  	  0.146  	  2.400
83  	  N  	  0.145  	  2.400
84  	  N  	  0.143  	  2.400
85  	  N  	  0.141  	  2.400
86  	  N  	  0.140  	  2.400
87  	  N  	  0.138  	  2.400
88  	  N  	  0.136  	  2.400
89  	  N  	  0.135  	  2.400
90  	  N  	  0.133  	  2.400
91  	  N  	  0.132  	  2.400
92  	  N  	  0.130  	  2.400
93  	  N  	  0.129  	  2.400
94  	  N  	  0.128  	  2.400
95  	  N  	  0.126  	  2.400
96  	  N  	  0.125  	  2.400
97  	  N  	  0.124  	  2.400
98  	  N  	  0.122  	  2.400
99  	  N  	  0.121  	  2.400
100  	  N  	  0.120  	  2.400
