For Query: information retrieval articles gerard salton clustering bibliographic coupling citations citations vector space model boolean search methods inverted feedback salton

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.200
02  	  R  	  1.000  	  0.400
03  	  R  	  1.000  	  0.600
04  	  R  	  1.000  	  0.800
05  	  R  	  1.000  	  1.000
06  	  R  	  1.000  	  1.200
07  	  R  	  1.000  	  1.400
08  	  R  	  1.000  	  1.600
09  	  R  	  1.000  	  1.800
10  	  R  	  1.000  	  2.000
11  	  R  	  1.000  	  2.200
12  	  N  	  0.917  	  2.200
13  	  N  	  0.846  	  2.200
14  	  N  	  0.786  	  2.200
15  	  N  	  0.733  	  2.200
16  	  R  	  0.750  	  2.400
17  	  N  	  0.706  	  2.400
18  	  N  	  0.667  	  2.400
19  	  R  	  0.684  	  2.600
20  	  N  	  0.650  	  2.600
21  	  N  	  0.619  	  2.600
22  	  R  	  0.636  	  2.800
23  	  R  	  0.652  	  3.000
24  	  R  	  0.667  	  3.200
25  	  N  	  0.640  	  3.200
26  	  R  	  0.654  	  3.400
27  	  N  	  0.630  	  3.400
28  	  R  	  0.643  	  3.600
29  	  N  	  0.621  	  3.600
30  	  N  	  0.600  	  3.600
31  	  N  	  0.581  	  3.600
32  	  N  	  0.562  	  3.600
33  	  R  	  0.576  	  3.800
34  	  R  	  0.588  	  4.000
35  	  N  	  0.571  	  4.000
36  	  R  	  0.583  	  4.200
37  	  N  	  0.568  	  4.200
38  	  N  	  0.553  	  4.200
39  	  N  	  0.538  	  4.200
40  	  N  	  0.525  	  4.200
41  	  N  	  0.512  	  4.200
42  	  R  	  0.524  	  4.400
43  	  N  	  0.512  	  4.400
44  	  N  	  0.500  	  4.400
45  	  N  	  0.489  	  4.400
46  	  R  	  0.500  	  4.600
47  	  N  	  0.489  	  4.600
48  	  N  	  0.479  	  4.600
49  	  N  	  0.469  	  4.600
50  	  N  	  0.460  	  4.600
51  	  N  	  0.451  	  4.600
52  	  N  	  0.442  	  4.600
53  	  N  	  0.434  	  4.600
54  	  N  	  0.426  	  4.600
55  	  N  	  0.418  	  4.600
56  	  N  	  0.411  	  4.600
57  	  N  	  0.404  	  4.600
58  	  N  	  0.397  	  4.600
59  	  N  	  0.390  	  4.600
60  	  N  	  0.383  	  4.600
61  	  N  	  0.377  	  4.600
62  	  N  	  0.371  	  4.600
63  	  N  	  0.365  	  4.600
64  	  N  	  0.359  	  4.600
65  	  N  	  0.354  	  4.600
66  	  N  	  0.348  	  4.600
67  	  N  	  0.343  	  4.600
68  	  N  	  0.338  	  4.600
69  	  N  	  0.333  	  4.600
70  	  N  	  0.329  	  4.600
71  	  N  	  0.324  	  4.600
72  	  N  	  0.319  	  4.600
73  	  R  	  0.329  	  4.800
74  	  N  	  0.324  	  4.800
75  	  N  	  0.320  	  4.800
76  	  N  	  0.316  	  4.800
77  	  N  	  0.312  	  4.800
78  	  N  	  0.308  	  4.800
79  	  N  	  0.304  	  4.800
80  	  N  	  0.300  	  4.800
81  	  N  	  0.296  	  4.800
82  	  N  	  0.293  	  4.800
83  	  R  	  0.301  	  5.000
84  	  N  	  0.298  	  5.000
85  	  N  	  0.294  	  5.000
86  	  N  	  0.291  	  5.000
87  	  N  	  0.287  	  5.000
88  	  N  	  0.284  	  5.000
89  	  N  	  0.281  	  5.000
90  	  N  	  0.278  	  5.000
91  	  N  	  0.275  	  5.000
92  	  N  	  0.272  	  5.000
93  	  N  	  0.269  	  5.000
94  	  N  	  0.266  	  5.000
95  	  N  	  0.263  	  5.000
96  	  N  	  0.260  	  5.000
97  	  N  	  0.258  	  5.000
98  	  N  	  0.255  	  5.000
99  	  N  	  0.253  	  5.000
100  	  N  	  0.250  	  5.000
