For Query: algorithms parallel computation especially comparisons parallel sequential algorithms

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.200
02  	  R  	  1.000  	  0.400
03  	  R  	  1.000  	  0.600
04  	  R  	  1.000  	  0.800
05  	  R  	  1.000  	  1.000
06  	  R  	  1.000  	  1.200
07  	  N  	  0.857  	  1.200
08  	  R  	  0.875  	  1.400
09  	  N  	  0.778  	  1.400
10  	  N  	  0.700  	  1.400
11  	  R  	  0.727  	  1.600
12  	  N  	  0.667  	  1.600
13  	  N  	  0.615  	  1.600
14  	  R  	  0.643  	  1.800
15  	  N  	  0.600  	  1.800
16  	  N  	  0.562  	  1.800
17  	  N  	  0.529  	  1.800
18  	  N  	  0.500  	  1.800
19  	  N  	  0.474  	  1.800
20  	  R  	  0.500  	  2.000
21  	  N  	  0.476  	  2.000
22  	  R  	  0.500  	  2.200
23  	  N  	  0.478  	  2.200
24  	  N  	  0.458  	  2.200
25  	  N  	  0.440  	  2.200
26  	  N  	  0.423  	  2.200
27  	  N  	  0.407  	  2.200
28  	  N  	  0.393  	  2.200
29  	  N  	  0.379  	  2.200
30  	  N  	  0.367  	  2.200
31  	  N  	  0.355  	  2.200
32  	  N  	  0.344  	  2.200
33  	  N  	  0.333  	  2.200
34  	  N  	  0.324  	  2.200
35  	  N  	  0.314  	  2.200
36  	  N  	  0.306  	  2.200
37  	  N  	  0.297  	  2.200
38  	  N  	  0.289  	  2.200
39  	  N  	  0.282  	  2.200
40  	  N  	  0.275  	  2.200
41  	  N  	  0.268  	  2.200
42  	  N  	  0.262  	  2.200
43  	  N  	  0.256  	  2.200
44  	  N  	  0.250  	  2.200
45  	  N  	  0.244  	  2.200
46  	  N  	  0.239  	  2.200
47  	  N  	  0.234  	  2.200
48  	  N  	  0.229  	  2.200
49  	  N  	  0.224  	  2.200
50  	  N  	  0.220  	  2.200
51  	  N  	  0.216  	  2.200
52  	  N  	  0.212  	  2.200
53  	  N  	  0.208  	  2.200
54  	  N  	  0.204  	  2.200
55  	  N  	  0.200  	  2.200
56  	  N  	  0.196  	  2.200
57  	  N  	  0.193  	  2.200
58  	  N  	  0.190  	  2.200
59  	  N  	  0.186  	  2.200
60  	  N  	  0.183  	  2.200
61  	  N  	  0.180  	  2.200
62  	  N  	  0.177  	  2.200
63  	  N  	  0.175  	  2.200
64  	  N  	  0.172  	  2.200
65  	  N  	  0.169  	  2.200
66  	  N  	  0.167  	  2.200
67  	  N  	  0.164  	  2.200
68  	  N  	  0.162  	  2.200
69  	  N  	  0.159  	  2.200
70  	  N  	  0.157  	  2.200
71  	  N  	  0.155  	  2.200
72  	  N  	  0.153  	  2.200
73  	  N  	  0.151  	  2.200
74  	  N  	  0.149  	  2.200
75  	  N  	  0.147  	  2.200
76  	  N  	  0.145  	  2.200
77  	  N  	  0.143  	  2.200
78  	  N  	  0.141  	  2.200
79  	  N  	  0.139  	  2.200
80  	  N  	  0.138  	  2.200
81  	  N  	  0.136  	  2.200
82  	  N  	  0.134  	  2.200
83  	  N  	  0.133  	  2.200
84  	  N  	  0.131  	  2.200
85  	  N  	  0.129  	  2.200
86  	  N  	  0.128  	  2.200
87  	  N  	  0.126  	  2.200
88  	  N  	  0.125  	  2.200
89  	  N  	  0.124  	  2.200
90  	  N  	  0.122  	  2.200
91  	  N  	  0.121  	  2.200
92  	  N  	  0.120  	  2.200
93  	  N  	  0.118  	  2.200
94  	  N  	  0.117  	  2.200
95  	  N  	  0.116  	  2.200
96  	  N  	  0.115  	  2.200
97  	  N  	  0.113  	  2.200
98  	  N  	  0.112  	  2.200
99  	  N  	  0.111  	  2.200
100  	  N  	  0.110  	  2.200
