For Query: parallel languages for computation processors processor solution time 2 log2 algorithm merging illiac structures iv fortran data computers execution loops multiprocessor sort model

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.200
02  	  R  	  1.000  	  0.400
03  	  R  	  1.000  	  0.600
04  	  R  	  1.000  	  0.800
05  	  R  	  1.000  	  1.000
06  	  R  	  1.000  	  1.200
07  	  N  	  0.857  	  1.200
08  	  R  	  0.875  	  1.400
09  	  N  	  0.778  	  1.400
10  	  R  	  0.800  	  1.600
11  	  N  	  0.727  	  1.600
12  	  N  	  0.667  	  1.600
13  	  R  	  0.692  	  1.800
14  	  N  	  0.643  	  1.800
15  	  N  	  0.600  	  1.800
16  	  R  	  0.625  	  2.000
17  	  N  	  0.588  	  2.000
18  	  R  	  0.611  	  2.200
19  	  R  	  0.632  	  2.400
20  	  N  	  0.600  	  2.400
21  	  N  	  0.571  	  2.400
22  	  R  	  0.591  	  2.600
23  	  R  	  0.609  	  2.800
24  	  R  	  0.625  	  3.000
25  	  N  	  0.600  	  3.000
26  	  R  	  0.615  	  3.200
27  	  N  	  0.593  	  3.200
28  	  N  	  0.571  	  3.200
29  	  R  	  0.586  	  3.400
30  	  R  	  0.600  	  3.600
31  	  N  	  0.581  	  3.600
32  	  R  	  0.594  	  3.800
33  	  N  	  0.576  	  3.800
34  	  R  	  0.588  	  4.000
35  	  N  	  0.571  	  4.000
36  	  N  	  0.556  	  4.000
37  	  N  	  0.541  	  4.000
38  	  N  	  0.526  	  4.000
39  	  N  	  0.513  	  4.000
40  	  N  	  0.500  	  4.000
41  	  N  	  0.488  	  4.000
42  	  N  	  0.476  	  4.000
43  	  N  	  0.465  	  4.000
44  	  N  	  0.455  	  4.000
45  	  N  	  0.444  	  4.000
46  	  N  	  0.435  	  4.000
47  	  N  	  0.426  	  4.000
48  	  N  	  0.417  	  4.000
49  	  N  	  0.408  	  4.000
50  	  R  	  0.420  	  4.200
51  	  N  	  0.412  	  4.200
52  	  N  	  0.404  	  4.200
53  	  N  	  0.396  	  4.200
54  	  N  	  0.389  	  4.200
55  	  N  	  0.382  	  4.200
56  	  N  	  0.375  	  4.200
57  	  N  	  0.368  	  4.200
58  	  N  	  0.362  	  4.200
59  	  N  	  0.356  	  4.200
60  	  N  	  0.350  	  4.200
61  	  R  	  0.361  	  4.400
62  	  N  	  0.355  	  4.400
63  	  N  	  0.349  	  4.400
64  	  N  	  0.344  	  4.400
65  	  N  	  0.338  	  4.400
66  	  N  	  0.333  	  4.400
67  	  N  	  0.328  	  4.400
68  	  R  	  0.338  	  4.600
69  	  N  	  0.333  	  4.600
70  	  N  	  0.329  	  4.600
71  	  N  	  0.324  	  4.600
72  	  N  	  0.319  	  4.600
73  	  N  	  0.315  	  4.600
74  	  N  	  0.311  	  4.600
75  	  N  	  0.307  	  4.600
76  	  N  	  0.303  	  4.600
77  	  N  	  0.299  	  4.600
78  	  N  	  0.295  	  4.600
79  	  R  	  0.304  	  4.800
80  	  N  	  0.300  	  4.800
81  	  N  	  0.296  	  4.800
82  	  N  	  0.293  	  4.800
83  	  N  	  0.289  	  4.800
84  	  N  	  0.286  	  4.800
85  	  N  	  0.282  	  4.800
86  	  N  	  0.279  	  4.800
87  	  N  	  0.276  	  4.800
88  	  N  	  0.273  	  4.800
89  	  N  	  0.270  	  4.800
90  	  N  	  0.267  	  4.800
91  	  N  	  0.264  	  4.800
92  	  N  	  0.261  	  4.800
93  	  N  	  0.258  	  4.800
94  	  N  	  0.255  	  4.800
95  	  N  	  0.253  	  4.800
96  	  N  	  0.250  	  4.800
97  	  N  	  0.247  	  4.800
98  	  N  	  0.245  	  4.800
99  	  N  	  0.242  	  4.800
100  	  N  	  0.240  	  4.800
