For Query: the use of computer science principles e g data structures numerical methods in generating optimization linear programming algorithms this includes issues khachian russian ellipsoidal algorithm and complexity such cellular problems graph arrays parallel sort time processors model sorting mesh connected illiac iv fortran zeros real polynomial

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.200
02  	  N  	  0.500  	  0.200
03  	  R  	  0.667  	  0.400
04  	  R  	  0.750  	  0.600
05  	  R  	  0.800  	  0.800
06  	  N  	  0.667  	  0.800
07  	  R  	  0.714  	  1.000
08  	  N  	  0.625  	  1.000
09  	  N  	  0.556  	  1.000
10  	  N  	  0.500  	  1.000
11  	  N  	  0.455  	  1.000
12  	  R  	  0.500  	  1.200
13  	  N  	  0.462  	  1.200
14  	  R  	  0.500  	  1.400
15  	  N  	  0.467  	  1.400
16  	  N  	  0.438  	  1.400
17  	  N  	  0.412  	  1.400
18  	  N  	  0.389  	  1.400
19  	  R  	  0.421  	  1.600
20  	  R  	  0.450  	  1.800
21  	  N  	  0.429  	  1.800
22  	  N  	  0.409  	  1.800
23  	  N  	  0.391  	  1.800
24  	  N  	  0.375  	  1.800
25  	  N  	  0.360  	  1.800
26  	  N  	  0.346  	  1.800
27  	  N  	  0.333  	  1.800
28  	  N  	  0.321  	  1.800
29  	  N  	  0.310  	  1.800
30  	  N  	  0.300  	  1.800
31  	  N  	  0.290  	  1.800
32  	  N  	  0.281  	  1.800
33  	  N  	  0.273  	  1.800
34  	  N  	  0.265  	  1.800
35  	  N  	  0.257  	  1.800
36  	  N  	  0.250  	  1.800
37  	  N  	  0.243  	  1.800
38  	  N  	  0.237  	  1.800
39  	  N  	  0.231  	  1.800
40  	  N  	  0.225  	  1.800
41  	  N  	  0.220  	  1.800
42  	  N  	  0.214  	  1.800
43  	  N  	  0.209  	  1.800
44  	  N  	  0.205  	  1.800
45  	  R  	  0.222  	  2.000
46  	  N  	  0.217  	  2.000
47  	  N  	  0.213  	  2.000
48  	  N  	  0.208  	  2.000
49  	  N  	  0.204  	  2.000
50  	  N  	  0.200  	  2.000
51  	  R  	  0.216  	  2.200
52  	  N  	  0.212  	  2.200
53  	  N  	  0.208  	  2.200
54  	  R  	  0.222  	  2.400
55  	  N  	  0.218  	  2.400
56  	  N  	  0.214  	  2.400
57  	  R  	  0.228  	  2.600
58  	  N  	  0.224  	  2.600
59  	  N  	  0.220  	  2.600
60  	  N  	  0.217  	  2.600
61  	  N  	  0.213  	  2.600
62  	  R  	  0.226  	  2.800
63  	  N  	  0.222  	  2.800
64  	  N  	  0.219  	  2.800
65  	  N  	  0.215  	  2.800
66  	  N  	  0.212  	  2.800
67  	  N  	  0.209  	  2.800
68  	  N  	  0.206  	  2.800
69  	  N  	  0.203  	  2.800
70  	  N  	  0.200  	  2.800
71  	  N  	  0.197  	  2.800
72  	  R  	  0.208  	  3.000
73  	  N  	  0.205  	  3.000
74  	  N  	  0.203  	  3.000
75  	  N  	  0.200  	  3.000
76  	  N  	  0.197  	  3.000
77  	  N  	  0.195  	  3.000
78  	  N  	  0.192  	  3.000
79  	  N  	  0.190  	  3.000
80  	  N  	  0.188  	  3.000
81  	  N  	  0.185  	  3.000
82  	  N  	  0.183  	  3.000
83  	  N  	  0.181  	  3.000
84  	  N  	  0.179  	  3.000
85  	  N  	  0.176  	  3.000
86  	  N  	  0.174  	  3.000
87  	  N  	  0.172  	  3.000
88  	  N  	  0.170  	  3.000
89  	  N  	  0.169  	  3.000
90  	  N  	  0.167  	  3.000
91  	  N  	  0.165  	  3.000
92  	  N  	  0.163  	  3.000
93  	  N  	  0.161  	  3.000
94  	  N  	  0.160  	  3.000
95  	  N  	  0.158  	  3.000
96  	  N  	  0.156  	  3.000
97  	  N  	  0.155  	  3.000
98  	  N  	  0.153  	  3.000
99  	  N  	  0.152  	  3.000
100  	  N  	  0.150  	  3.000
