For Query: information retrieval articles by gerard salton or others about clustering bibliographic coupling use of citations or co citations the vector space model boolean search methods using inverted files feedback etc salton g

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.200
02  	  R  	  1.000  	  0.400
03  	  R  	  1.000  	  0.600
04  	  R  	  1.000  	  0.800
05  	  R  	  1.000  	  1.000
06  	  N  	  0.833  	  1.000
07  	  N  	  0.714  	  1.000
08  	  R  	  0.750  	  1.200
09  	  R  	  0.778  	  1.400
10  	  R  	  0.800  	  1.600
11  	  R  	  0.818  	  1.800
12  	  N  	  0.750  	  1.800
13  	  N  	  0.692  	  1.800
14  	  N  	  0.643  	  1.800
15  	  N  	  0.600  	  1.800
16  	  N  	  0.562  	  1.800
17  	  R  	  0.588  	  2.000
18  	  N  	  0.556  	  2.000
19  	  R  	  0.579  	  2.200
20  	  N  	  0.550  	  2.200
21  	  N  	  0.524  	  2.200
22  	  N  	  0.500  	  2.200
23  	  N  	  0.478  	  2.200
24  	  N  	  0.458  	  2.200
25  	  N  	  0.440  	  2.200
26  	  N  	  0.423  	  2.200
27  	  N  	  0.407  	  2.200
28  	  N  	  0.393  	  2.200
29  	  N  	  0.379  	  2.200
30  	  N  	  0.367  	  2.200
31  	  N  	  0.355  	  2.200
32  	  N  	  0.344  	  2.200
33  	  N  	  0.333  	  2.200
34  	  N  	  0.324  	  2.200
35  	  N  	  0.314  	  2.200
36  	  N  	  0.306  	  2.200
37  	  N  	  0.297  	  2.200
38  	  R  	  0.316  	  2.400
39  	  N  	  0.308  	  2.400
40  	  N  	  0.300  	  2.400
41  	  N  	  0.293  	  2.400
42  	  N  	  0.286  	  2.400
43  	  N  	  0.279  	  2.400
44  	  N  	  0.273  	  2.400
45  	  N  	  0.267  	  2.400
46  	  N  	  0.261  	  2.400
47  	  N  	  0.255  	  2.400
48  	  N  	  0.250  	  2.400
49  	  N  	  0.245  	  2.400
50  	  N  	  0.240  	  2.400
51  	  N  	  0.235  	  2.400
52  	  N  	  0.231  	  2.400
53  	  N  	  0.226  	  2.400
54  	  N  	  0.222  	  2.400
55  	  N  	  0.218  	  2.400
56  	  N  	  0.214  	  2.400
57  	  N  	  0.211  	  2.400
58  	  N  	  0.207  	  2.400
59  	  N  	  0.203  	  2.400
60  	  N  	  0.200  	  2.400
61  	  N  	  0.197  	  2.400
62  	  N  	  0.194  	  2.400
63  	  R  	  0.206  	  2.600
64  	  N  	  0.203  	  2.600
65  	  N  	  0.200  	  2.600
66  	  N  	  0.197  	  2.600
67  	  N  	  0.194  	  2.600
68  	  N  	  0.191  	  2.600
69  	  N  	  0.188  	  2.600
70  	  N  	  0.186  	  2.600
71  	  N  	  0.183  	  2.600
72  	  N  	  0.181  	  2.600
73  	  N  	  0.178  	  2.600
74  	  N  	  0.176  	  2.600
75  	  N  	  0.173  	  2.600
76  	  N  	  0.171  	  2.600
77  	  R  	  0.182  	  2.800
78  	  N  	  0.179  	  2.800
79  	  N  	  0.177  	  2.800
80  	  N  	  0.175  	  2.800
81  	  N  	  0.173  	  2.800
82  	  N  	  0.171  	  2.800
83  	  N  	  0.169  	  2.800
84  	  N  	  0.167  	  2.800
85  	  N  	  0.165  	  2.800
86  	  N  	  0.163  	  2.800
87  	  N  	  0.161  	  2.800
88  	  N  	  0.159  	  2.800
89  	  R  	  0.169  	  3.000
90  	  N  	  0.167  	  3.000
91  	  N  	  0.165  	  3.000
92  	  N  	  0.163  	  3.000
93  	  N  	  0.161  	  3.000
94  	  N  	  0.160  	  3.000
95  	  N  	  0.158  	  3.000
96  	  N  	  0.156  	  3.000
97  	  N  	  0.155  	  3.000
98  	  N  	  0.153  	  3.000
99  	  N  	  0.152  	  3.000
100  	  N  	  0.150  	  3.000
