For Query: parallel languages for computation processors processor solution time 2 log2 algorithm merging illiac structures iv fortran data computers execution loops multiprocessor sort model

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.200
02  	  R  	  1.000  	  0.400
03  	  R  	  1.000  	  0.600
04  	  R  	  1.000  	  0.800
05  	  R  	  1.000  	  1.000
06  	  N  	  0.833  	  1.000
07  	  R  	  0.857  	  1.200
08  	  N  	  0.750  	  1.200
09  	  R  	  0.778  	  1.400
10  	  R  	  0.800  	  1.600
11  	  R  	  0.818  	  1.800
12  	  R  	  0.833  	  2.000
13  	  N  	  0.769  	  2.000
14  	  N  	  0.714  	  2.000
15  	  R  	  0.733  	  2.200
16  	  N  	  0.688  	  2.200
17  	  N  	  0.647  	  2.200
18  	  N  	  0.611  	  2.200
19  	  R  	  0.632  	  2.400
20  	  N  	  0.600  	  2.400
21  	  N  	  0.571  	  2.400
22  	  R  	  0.591  	  2.600
23  	  R  	  0.609  	  2.800
24  	  R  	  0.625  	  3.000
25  	  R  	  0.640  	  3.200
26  	  R  	  0.654  	  3.400
27  	  N  	  0.630  	  3.400
28  	  N  	  0.607  	  3.400
29  	  R  	  0.621  	  3.600
30  	  R  	  0.633  	  3.800
31  	  R  	  0.645  	  4.000
32  	  N  	  0.625  	  4.000
33  	  N  	  0.606  	  4.000
34  	  R  	  0.618  	  4.200
35  	  N  	  0.600  	  4.200
36  	  N  	  0.583  	  4.200
37  	  N  	  0.568  	  4.200
38  	  N  	  0.553  	  4.200
39  	  N  	  0.538  	  4.200
40  	  N  	  0.525  	  4.200
41  	  R  	  0.537  	  4.400
42  	  N  	  0.524  	  4.400
43  	  N  	  0.512  	  4.400
44  	  N  	  0.500  	  4.400
45  	  N  	  0.489  	  4.400
46  	  N  	  0.478  	  4.400
47  	  N  	  0.468  	  4.400
48  	  N  	  0.458  	  4.400
49  	  N  	  0.449  	  4.400
50  	  N  	  0.440  	  4.400
51  	  N  	  0.431  	  4.400
52  	  N  	  0.423  	  4.400
53  	  N  	  0.415  	  4.400
54  	  N  	  0.407  	  4.400
55  	  R  	  0.418  	  4.600
56  	  N  	  0.411  	  4.600
57  	  R  	  0.421  	  4.800
58  	  R  	  0.431  	  5.000
59  	  N  	  0.424  	  5.000
60  	  N  	  0.417  	  5.000
61  	  N  	  0.410  	  5.000
62  	  N  	  0.403  	  5.000
63  	  N  	  0.397  	  5.000
64  	  N  	  0.391  	  5.000
65  	  N  	  0.385  	  5.000
66  	  R  	  0.394  	  5.200
67  	  N  	  0.388  	  5.200
68  	  N  	  0.382  	  5.200
69  	  N  	  0.377  	  5.200
70  	  N  	  0.371  	  5.200
71  	  N  	  0.366  	  5.200
72  	  N  	  0.361  	  5.200
73  	  N  	  0.356  	  5.200
74  	  N  	  0.351  	  5.200
75  	  N  	  0.347  	  5.200
76  	  N  	  0.342  	  5.200
77  	  N  	  0.338  	  5.200
78  	  N  	  0.333  	  5.200
79  	  N  	  0.329  	  5.200
80  	  N  	  0.325  	  5.200
81  	  N  	  0.321  	  5.200
82  	  N  	  0.317  	  5.200
83  	  N  	  0.313  	  5.200
84  	  N  	  0.310  	  5.200
85  	  N  	  0.306  	  5.200
86  	  N  	  0.302  	  5.200
87  	  N  	  0.299  	  5.200
88  	  N  	  0.295  	  5.200
89  	  N  	  0.292  	  5.200
90  	  N  	  0.289  	  5.200
91  	  N  	  0.286  	  5.200
92  	  N  	  0.283  	  5.200
93  	  N  	  0.280  	  5.200
94  	  N  	  0.277  	  5.200
95  	  N  	  0.274  	  5.200
96  	  N  	  0.271  	  5.200
97  	  N  	  0.268  	  5.200
98  	  N  	  0.265  	  5.200
99  	  N  	  0.263  	  5.200
100  	  N  	  0.260  	  5.200
