For Query: code optimization for space efficiency matrix algorithm tridiagonal form number precedence relations sparse compute steps warshall transitive closure binary finding method hamilton knight graph algorithms paths efficient

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  N  	  0.000  	  0.000
04  	  N  	  0.000  	  0.000
05  	  N  	  0.000  	  0.000
06  	  R  	  0.167  	  0.200
07  	  R  	  0.286  	  0.400
08  	  N  	  0.250  	  0.400
09  	  R  	  0.333  	  0.600
10  	  R  	  0.400  	  0.800
11  	  R  	  0.455  	  1.000
12  	  N  	  0.417  	  1.000
13  	  N  	  0.385  	  1.000
14  	  N  	  0.357  	  1.000
15  	  N  	  0.333  	  1.000
16  	  N  	  0.312  	  1.000
17  	  N  	  0.294  	  1.000
18  	  R  	  0.333  	  1.200
19  	  N  	  0.316  	  1.200
20  	  N  	  0.300  	  1.200
21  	  N  	  0.286  	  1.200
22  	  N  	  0.273  	  1.200
23  	  N  	  0.261  	  1.200
24  	  N  	  0.250  	  1.200
25  	  N  	  0.240  	  1.200
26  	  N  	  0.231  	  1.200
27  	  N  	  0.222  	  1.200
28  	  N  	  0.214  	  1.200
29  	  R  	  0.241  	  1.400
30  	  N  	  0.233  	  1.400
31  	  N  	  0.226  	  1.400
32  	  N  	  0.219  	  1.400
33  	  N  	  0.212  	  1.400
34  	  N  	  0.206  	  1.400
35  	  N  	  0.200  	  1.400
36  	  N  	  0.194  	  1.400
37  	  N  	  0.189  	  1.400
38  	  N  	  0.184  	  1.400
39  	  N  	  0.179  	  1.400
40  	  N  	  0.175  	  1.400
41  	  N  	  0.171  	  1.400
42  	  N  	  0.167  	  1.400
43  	  N  	  0.163  	  1.400
44  	  N  	  0.159  	  1.400
45  	  N  	  0.156  	  1.400
46  	  N  	  0.152  	  1.400
47  	  N  	  0.149  	  1.400
48  	  N  	  0.146  	  1.400
49  	  N  	  0.143  	  1.400
50  	  N  	  0.140  	  1.400
51  	  N  	  0.137  	  1.400
52  	  N  	  0.135  	  1.400
53  	  N  	  0.132  	  1.400
54  	  N  	  0.130  	  1.400
55  	  N  	  0.127  	  1.400
56  	  N  	  0.125  	  1.400
57  	  N  	  0.123  	  1.400
58  	  N  	  0.121  	  1.400
59  	  N  	  0.119  	  1.400
60  	  N  	  0.117  	  1.400
61  	  N  	  0.115  	  1.400
62  	  N  	  0.113  	  1.400
63  	  N  	  0.111  	  1.400
64  	  N  	  0.109  	  1.400
65  	  N  	  0.108  	  1.400
66  	  N  	  0.106  	  1.400
67  	  N  	  0.104  	  1.400
68  	  N  	  0.103  	  1.400
69  	  N  	  0.101  	  1.400
70  	  R  	  0.114  	  1.600
71  	  N  	  0.113  	  1.600
72  	  N  	  0.111  	  1.600
73  	  N  	  0.110  	  1.600
74  	  N  	  0.108  	  1.600
75  	  N  	  0.107  	  1.600
76  	  N  	  0.105  	  1.600
77  	  N  	  0.104  	  1.600
78  	  N  	  0.103  	  1.600
79  	  N  	  0.101  	  1.600
80  	  N  	  0.100  	  1.600
81  	  N  	  0.099  	  1.600
82  	  N  	  0.098  	  1.600
83  	  N  	  0.096  	  1.600
84  	  N  	  0.095  	  1.600
85  	  N  	  0.094  	  1.600
86  	  N  	  0.093  	  1.600
87  	  N  	  0.092  	  1.600
88  	  N  	  0.091  	  1.600
89  	  N  	  0.090  	  1.600
90  	  N  	  0.089  	  1.600
91  	  N  	  0.088  	  1.600
92  	  N  	  0.087  	  1.600
93  	  N  	  0.086  	  1.600
94  	  N  	  0.085  	  1.600
95  	  N  	  0.084  	  1.600
96  	  N  	  0.083  	  1.600
97  	  N  	  0.082  	  1.600
98  	  R  	  0.092  	  1.800
99  	  N  	  0.091  	  1.800
100  	  N  	  0.090  	  1.800
