For Query: parallel algorithms control protection sharing multics design data access constraints languages objects process multiprogramming system hierarchy nucleus systems operating model kernel object hydra

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  R  	  0.333  	  0.200
04  	  R  	  0.500  	  0.400
05  	  R  	  0.600  	  0.600
06  	  R  	  0.667  	  0.800
07  	  N  	  0.571  	  0.800
08  	  R  	  0.625  	  1.000
09  	  R  	  0.667  	  1.200
10  	  N  	  0.600  	  1.200
11  	  N  	  0.545  	  1.200
12  	  N  	  0.500  	  1.200
13  	  N  	  0.462  	  1.200
14  	  N  	  0.429  	  1.200
15  	  R  	  0.467  	  1.400
16  	  N  	  0.438  	  1.400
17  	  N  	  0.412  	  1.400
18  	  N  	  0.389  	  1.400
19  	  N  	  0.368  	  1.400
20  	  N  	  0.350  	  1.400
21  	  N  	  0.333  	  1.400
22  	  N  	  0.318  	  1.400
23  	  N  	  0.304  	  1.400
24  	  N  	  0.292  	  1.400
25  	  R  	  0.320  	  1.600
26  	  N  	  0.308  	  1.600
27  	  N  	  0.296  	  1.600
28  	  N  	  0.286  	  1.600
29  	  N  	  0.276  	  1.600
30  	  N  	  0.267  	  1.600
31  	  N  	  0.258  	  1.600
32  	  N  	  0.250  	  1.600
33  	  N  	  0.242  	  1.600
34  	  N  	  0.235  	  1.600
35  	  N  	  0.229  	  1.600
36  	  N  	  0.222  	  1.600
37  	  N  	  0.216  	  1.600
38  	  N  	  0.211  	  1.600
39  	  N  	  0.205  	  1.600
40  	  N  	  0.200  	  1.600
41  	  N  	  0.195  	  1.600
42  	  N  	  0.190  	  1.600
43  	  N  	  0.186  	  1.600
44  	  N  	  0.182  	  1.600
45  	  N  	  0.178  	  1.600
46  	  N  	  0.174  	  1.600
47  	  N  	  0.170  	  1.600
48  	  N  	  0.167  	  1.600
49  	  N  	  0.163  	  1.600
50  	  N  	  0.160  	  1.600
51  	  N  	  0.157  	  1.600
52  	  N  	  0.154  	  1.600
53  	  N  	  0.151  	  1.600
54  	  N  	  0.148  	  1.600
55  	  N  	  0.145  	  1.600
56  	  N  	  0.143  	  1.600
57  	  N  	  0.140  	  1.600
58  	  N  	  0.138  	  1.600
59  	  N  	  0.136  	  1.600
60  	  N  	  0.133  	  1.600
61  	  N  	  0.131  	  1.600
62  	  N  	  0.129  	  1.600
63  	  N  	  0.127  	  1.600
64  	  N  	  0.125  	  1.600
65  	  N  	  0.123  	  1.600
66  	  N  	  0.121  	  1.600
67  	  N  	  0.119  	  1.600
68  	  N  	  0.118  	  1.600
69  	  N  	  0.116  	  1.600
70  	  N  	  0.114  	  1.600
71  	  N  	  0.113  	  1.600
72  	  N  	  0.111  	  1.600
73  	  N  	  0.110  	  1.600
74  	  N  	  0.108  	  1.600
75  	  N  	  0.107  	  1.600
76  	  N  	  0.105  	  1.600
77  	  N  	  0.104  	  1.600
78  	  N  	  0.103  	  1.600
79  	  N  	  0.101  	  1.600
80  	  R  	  0.113  	  1.800
81  	  N  	  0.111  	  1.800
82  	  N  	  0.110  	  1.800
83  	  N  	  0.108  	  1.800
84  	  N  	  0.107  	  1.800
85  	  N  	  0.106  	  1.800
86  	  N  	  0.105  	  1.800
87  	  N  	  0.103  	  1.800
88  	  N  	  0.102  	  1.800
89  	  N  	  0.101  	  1.800
90  	  N  	  0.100  	  1.800
91  	  N  	  0.099  	  1.800
92  	  N  	  0.098  	  1.800
93  	  N  	  0.097  	  1.800
94  	  N  	  0.096  	  1.800
95  	  N  	  0.095  	  1.800
96  	  N  	  0.094  	  1.800
97  	  N  	  0.093  	  1.800
98  	  N  	  0.092  	  1.800
99  	  N  	  0.091  	  1.800
100  	  N  	  0.090  	  1.800
