For Query: i am interested in hidden line and surface algorithms for cylinders toroids spheres cones this is a rather specialized topic computer graphics prime number efficient generator algorithm complex numbers improved produce treesort principle 310 a1

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.200
02  	  R  	  1.000  	  0.400
03  	  R  	  1.000  	  0.600
04  	  R  	  1.000  	  0.800
05  	  N  	  0.800  	  0.800
06  	  R  	  0.833  	  1.000
07  	  R  	  0.857  	  1.200
08  	  N  	  0.750  	  1.200
09  	  N  	  0.667  	  1.200
10  	  R  	  0.700  	  1.400
11  	  R  	  0.727  	  1.600
12  	  R  	  0.750  	  1.800
13  	  R  	  0.769  	  2.000
14  	  R  	  0.786  	  2.200
15  	  R  	  0.800  	  2.400
16  	  R  	  0.812  	  2.600
17  	  N  	  0.765  	  2.600
18  	  N  	  0.722  	  2.600
19  	  N  	  0.684  	  2.600
20  	  N  	  0.650  	  2.600
21  	  N  	  0.619  	  2.600
22  	  N  	  0.591  	  2.600
23  	  R  	  0.609  	  2.800
24  	  N  	  0.583  	  2.800
25  	  R  	  0.600  	  3.000
26  	  N  	  0.577  	  3.000
27  	  N  	  0.556  	  3.000
28  	  N  	  0.536  	  3.000
29  	  N  	  0.517  	  3.000
30  	  N  	  0.500  	  3.000
31  	  N  	  0.484  	  3.000
32  	  N  	  0.469  	  3.000
33  	  R  	  0.485  	  3.200
34  	  N  	  0.471  	  3.200
35  	  N  	  0.457  	  3.200
36  	  N  	  0.444  	  3.200
37  	  N  	  0.432  	  3.200
38  	  N  	  0.421  	  3.200
39  	  N  	  0.410  	  3.200
40  	  N  	  0.400  	  3.200
41  	  N  	  0.390  	  3.200
42  	  N  	  0.381  	  3.200
43  	  N  	  0.372  	  3.200
44  	  N  	  0.364  	  3.200
45  	  N  	  0.356  	  3.200
46  	  N  	  0.348  	  3.200
47  	  N  	  0.340  	  3.200
48  	  N  	  0.333  	  3.200
49  	  N  	  0.327  	  3.200
50  	  N  	  0.320  	  3.200
51  	  N  	  0.314  	  3.200
52  	  N  	  0.308  	  3.200
53  	  N  	  0.302  	  3.200
54  	  N  	  0.296  	  3.200
55  	  N  	  0.291  	  3.200
56  	  N  	  0.286  	  3.200
57  	  N  	  0.281  	  3.200
58  	  N  	  0.276  	  3.200
59  	  N  	  0.271  	  3.200
60  	  N  	  0.267  	  3.200
61  	  N  	  0.262  	  3.200
62  	  N  	  0.258  	  3.200
63  	  N  	  0.254  	  3.200
64  	  N  	  0.250  	  3.200
65  	  N  	  0.246  	  3.200
66  	  N  	  0.242  	  3.200
67  	  N  	  0.239  	  3.200
68  	  N  	  0.235  	  3.200
69  	  N  	  0.232  	  3.200
70  	  N  	  0.229  	  3.200
71  	  N  	  0.225  	  3.200
72  	  N  	  0.222  	  3.200
73  	  N  	  0.219  	  3.200
74  	  N  	  0.216  	  3.200
75  	  N  	  0.213  	  3.200
76  	  N  	  0.211  	  3.200
77  	  N  	  0.208  	  3.200
78  	  N  	  0.205  	  3.200
79  	  N  	  0.203  	  3.200
80  	  N  	  0.200  	  3.200
81  	  N  	  0.198  	  3.200
82  	  N  	  0.195  	  3.200
83  	  N  	  0.193  	  3.200
84  	  N  	  0.190  	  3.200
85  	  N  	  0.188  	  3.200
86  	  N  	  0.186  	  3.200
87  	  N  	  0.184  	  3.200
88  	  N  	  0.182  	  3.200
89  	  N  	  0.180  	  3.200
90  	  N  	  0.178  	  3.200
91  	  N  	  0.176  	  3.200
92  	  N  	  0.174  	  3.200
93  	  N  	  0.172  	  3.200
94  	  N  	  0.170  	  3.200
95  	  N  	  0.168  	  3.200
96  	  N  	  0.167  	  3.200
97  	  N  	  0.165  	  3.200
98  	  N  	  0.163  	  3.200
99  	  N  	  0.162  	  3.200
100  	  N  	  0.160  	  3.200
