For Query: performance evaluation and modelling of computer systems image images surface models synthetic holograms digital holography display algorithms hexagonal triangular arrays thinning step edges pictures operators minimal contour digitized polygon

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.200
02  	  R  	  1.000  	  0.400
03  	  N  	  0.667  	  0.400
04  	  N  	  0.500  	  0.400
05  	  R  	  0.600  	  0.600
06  	  R  	  0.667  	  0.800
07  	  R  	  0.714  	  1.000
08  	  N  	  0.625  	  1.000
09  	  R  	  0.667  	  1.200
10  	  R  	  0.700  	  1.400
11  	  R  	  0.727  	  1.600
12  	  R  	  0.750  	  1.800
13  	  R  	  0.769  	  2.000
14  	  N  	  0.714  	  2.000
15  	  N  	  0.667  	  2.000
16  	  N  	  0.625  	  2.000
17  	  N  	  0.588  	  2.000
18  	  N  	  0.556  	  2.000
19  	  R  	  0.579  	  2.200
20  	  N  	  0.550  	  2.200
21  	  R  	  0.571  	  2.400
22  	  R  	  0.591  	  2.600
23  	  N  	  0.565  	  2.600
24  	  N  	  0.542  	  2.600
25  	  R  	  0.560  	  2.800
26  	  N  	  0.538  	  2.800
27  	  N  	  0.519  	  2.800
28  	  N  	  0.500  	  2.800
29  	  R  	  0.517  	  3.000
30  	  R  	  0.533  	  3.200
31  	  N  	  0.516  	  3.200
32  	  N  	  0.500  	  3.200
33  	  N  	  0.485  	  3.200
34  	  N  	  0.471  	  3.200
35  	  N  	  0.457  	  3.200
36  	  N  	  0.444  	  3.200
37  	  N  	  0.432  	  3.200
38  	  N  	  0.421  	  3.200
39  	  N  	  0.410  	  3.200
40  	  N  	  0.400  	  3.200
41  	  N  	  0.390  	  3.200
42  	  N  	  0.381  	  3.200
43  	  N  	  0.372  	  3.200
44  	  N  	  0.364  	  3.200
45  	  N  	  0.356  	  3.200
46  	  N  	  0.348  	  3.200
47  	  N  	  0.340  	  3.200
48  	  R  	  0.354  	  3.400
49  	  N  	  0.347  	  3.400
50  	  N  	  0.340  	  3.400
51  	  N  	  0.333  	  3.400
52  	  N  	  0.327  	  3.400
53  	  N  	  0.321  	  3.400
54  	  N  	  0.315  	  3.400
55  	  R  	  0.327  	  3.600
56  	  N  	  0.321  	  3.600
57  	  N  	  0.316  	  3.600
58  	  N  	  0.310  	  3.600
59  	  N  	  0.305  	  3.600
60  	  N  	  0.300  	  3.600
61  	  N  	  0.295  	  3.600
62  	  N  	  0.290  	  3.600
63  	  N  	  0.286  	  3.600
64  	  R  	  0.297  	  3.800
65  	  N  	  0.292  	  3.800
66  	  N  	  0.288  	  3.800
67  	  N  	  0.284  	  3.800
68  	  N  	  0.279  	  3.800
69  	  N  	  0.275  	  3.800
70  	  N  	  0.271  	  3.800
71  	  N  	  0.268  	  3.800
72  	  N  	  0.264  	  3.800
73  	  N  	  0.260  	  3.800
74  	  N  	  0.257  	  3.800
75  	  N  	  0.253  	  3.800
76  	  R  	  0.263  	  4.000
77  	  N  	  0.260  	  4.000
78  	  R  	  0.269  	  4.200
79  	  N  	  0.266  	  4.200
80  	  N  	  0.263  	  4.200
81  	  N  	  0.259  	  4.200
82  	  N  	  0.256  	  4.200
83  	  N  	  0.253  	  4.200
84  	  N  	  0.250  	  4.200
85  	  N  	  0.247  	  4.200
86  	  N  	  0.244  	  4.200
87  	  N  	  0.241  	  4.200
88  	  N  	  0.239  	  4.200
89  	  N  	  0.236  	  4.200
90  	  N  	  0.233  	  4.200
91  	  N  	  0.231  	  4.200
92  	  N  	  0.228  	  4.200
93  	  N  	  0.226  	  4.200
94  	  N  	  0.223  	  4.200
95  	  N  	  0.221  	  4.200
96  	  N  	  0.219  	  4.200
97  	  N  	  0.216  	  4.200
98  	  N  	  0.214  	  4.200
99  	  N  	  0.212  	  4.200
100  	  N  	  0.210  	  4.200
