For Query: list all articles dealing with data types in the following languages that are referenced frequently papers on above e g catch any interesting type structures i might have missed editing system machine line linc monitor graphic program graphical design computer language software circuit method lines structure incremental retrieval information communication evaluation systems

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  R  	  0.500  	  0.200
03  	  N  	  0.333  	  0.200
04  	  N  	  0.250  	  0.200
05  	  N  	  0.200  	  0.200
06  	  N  	  0.167  	  0.200
07  	  N  	  0.143  	  0.200
08  	  N  	  0.125  	  0.200
09  	  N  	  0.111  	  0.200
10  	  N  	  0.100  	  0.200
11  	  R  	  0.182  	  0.400
12  	  N  	  0.167  	  0.400
13  	  N  	  0.154  	  0.400
14  	  R  	  0.214  	  0.600
15  	  R  	  0.267  	  0.800
16  	  N  	  0.250  	  0.800
17  	  N  	  0.235  	  0.800
18  	  N  	  0.222  	  0.800
19  	  N  	  0.211  	  0.800
20  	  N  	  0.200  	  0.800
21  	  N  	  0.190  	  0.800
22  	  N  	  0.182  	  0.800
23  	  N  	  0.174  	  0.800
24  	  N  	  0.167  	  0.800
25  	  N  	  0.160  	  0.800
26  	  N  	  0.154  	  0.800
27  	  N  	  0.148  	  0.800
28  	  N  	  0.143  	  0.800
29  	  R  	  0.172  	  1.000
30  	  N  	  0.167  	  1.000
31  	  N  	  0.161  	  1.000
32  	  R  	  0.188  	  1.200
33  	  N  	  0.182  	  1.200
34  	  N  	  0.176  	  1.200
35  	  N  	  0.171  	  1.200
36  	  N  	  0.167  	  1.200
37  	  N  	  0.162  	  1.200
38  	  R  	  0.184  	  1.400
39  	  N  	  0.179  	  1.400
40  	  N  	  0.175  	  1.400
41  	  N  	  0.171  	  1.400
42  	  N  	  0.167  	  1.400
43  	  N  	  0.163  	  1.400
44  	  R  	  0.182  	  1.600
45  	  N  	  0.178  	  1.600
46  	  R  	  0.196  	  1.800
47  	  N  	  0.191  	  1.800
48  	  R  	  0.208  	  2.000
49  	  N  	  0.204  	  2.000
50  	  N  	  0.200  	  2.000
51  	  N  	  0.196  	  2.000
52  	  N  	  0.192  	  2.000
53  	  N  	  0.189  	  2.000
54  	  N  	  0.185  	  2.000
55  	  N  	  0.182  	  2.000
56  	  N  	  0.179  	  2.000
57  	  R  	  0.193  	  2.200
58  	  N  	  0.190  	  2.200
59  	  N  	  0.186  	  2.200
60  	  N  	  0.183  	  2.200
61  	  N  	  0.180  	  2.200
62  	  N  	  0.177  	  2.200
63  	  N  	  0.175  	  2.200
64  	  R  	  0.188  	  2.400
65  	  R  	  0.200  	  2.600
66  	  N  	  0.197  	  2.600
67  	  N  	  0.194  	  2.600
68  	  N  	  0.191  	  2.600
69  	  N  	  0.188  	  2.600
70  	  N  	  0.186  	  2.600
71  	  N  	  0.183  	  2.600
72  	  N  	  0.181  	  2.600
73  	  N  	  0.178  	  2.600
74  	  N  	  0.176  	  2.600
75  	  N  	  0.173  	  2.600
76  	  N  	  0.171  	  2.600
77  	  N  	  0.169  	  2.600
78  	  N  	  0.167  	  2.600
79  	  N  	  0.165  	  2.600
80  	  N  	  0.163  	  2.600
81  	  N  	  0.160  	  2.600
82  	  N  	  0.159  	  2.600
83  	  N  	  0.157  	  2.600
84  	  N  	  0.155  	  2.600
85  	  N  	  0.153  	  2.600
86  	  N  	  0.151  	  2.600
87  	  N  	  0.149  	  2.600
88  	  N  	  0.148  	  2.600
89  	  N  	  0.146  	  2.600
90  	  N  	  0.144  	  2.600
91  	  N  	  0.143  	  2.600
92  	  N  	  0.141  	  2.600
93  	  N  	  0.140  	  2.600
94  	  R  	  0.149  	  2.800
95  	  N  	  0.147  	  2.800
96  	  N  	  0.146  	  2.800
97  	  N  	  0.144  	  2.800
98  	  N  	  0.143  	  2.800
99  	  N  	  0.141  	  2.800
100  	  N  	  0.140  	  2.800
