For Query: the role of information retrieval in knowledge based systems i e expert data types type language treatment reference structure programming sp teaching subset cobol problem syntax solving list items multiword single words

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.200
02  	  R  	  1.000  	  0.400
03  	  R  	  1.000  	  0.600
04  	  N  	  0.750  	  0.600
05  	  N  	  0.600  	  0.600
06  	  R  	  0.667  	  0.800
07  	  R  	  0.714  	  1.000
08  	  R  	  0.750  	  1.200
09  	  N  	  0.667  	  1.200
10  	  N  	  0.600  	  1.200
11  	  R  	  0.636  	  1.400
12  	  N  	  0.583  	  1.400
13  	  N  	  0.538  	  1.400
14  	  R  	  0.571  	  1.600
15  	  N  	  0.533  	  1.600
16  	  N  	  0.500  	  1.600
17  	  N  	  0.471  	  1.600
18  	  N  	  0.444  	  1.600
19  	  N  	  0.421  	  1.600
20  	  N  	  0.400  	  1.600
21  	  R  	  0.429  	  1.800
22  	  N  	  0.409  	  1.800
23  	  N  	  0.391  	  1.800
24  	  R  	  0.417  	  2.000
25  	  R  	  0.440  	  2.200
26  	  N  	  0.423  	  2.200
27  	  R  	  0.444  	  2.400
28  	  N  	  0.429  	  2.400
29  	  N  	  0.414  	  2.400
30  	  N  	  0.400  	  2.400
31  	  N  	  0.387  	  2.400
32  	  N  	  0.375  	  2.400
33  	  N  	  0.364  	  2.400
34  	  N  	  0.353  	  2.400
35  	  R  	  0.371  	  2.600
36  	  N  	  0.361  	  2.600
37  	  N  	  0.351  	  2.600
38  	  N  	  0.342  	  2.600
39  	  N  	  0.333  	  2.600
40  	  N  	  0.325  	  2.600
41  	  N  	  0.317  	  2.600
42  	  N  	  0.310  	  2.600
43  	  N  	  0.302  	  2.600
44  	  R  	  0.318  	  2.800
45  	  N  	  0.311  	  2.800
46  	  N  	  0.304  	  2.800
47  	  N  	  0.298  	  2.800
48  	  R  	  0.312  	  3.000
49  	  R  	  0.327  	  3.200
50  	  N  	  0.320  	  3.200
51  	  N  	  0.314  	  3.200
52  	  N  	  0.308  	  3.200
53  	  N  	  0.302  	  3.200
54  	  N  	  0.296  	  3.200
55  	  R  	  0.309  	  3.400
56  	  N  	  0.304  	  3.400
57  	  N  	  0.298  	  3.400
58  	  N  	  0.293  	  3.400
59  	  N  	  0.288  	  3.400
60  	  N  	  0.283  	  3.400
61  	  N  	  0.279  	  3.400
62  	  N  	  0.274  	  3.400
63  	  N  	  0.270  	  3.400
64  	  N  	  0.266  	  3.400
65  	  N  	  0.262  	  3.400
66  	  R  	  0.273  	  3.600
67  	  R  	  0.284  	  3.800
68  	  N  	  0.279  	  3.800
69  	  R  	  0.290  	  4.000
70  	  N  	  0.286  	  4.000
71  	  N  	  0.282  	  4.000
72  	  N  	  0.278  	  4.000
73  	  N  	  0.274  	  4.000
74  	  N  	  0.270  	  4.000
75  	  R  	  0.280  	  4.200
76  	  N  	  0.276  	  4.200
77  	  R  	  0.286  	  4.400
78  	  N  	  0.282  	  4.400
79  	  N  	  0.278  	  4.400
80  	  N  	  0.275  	  4.400
81  	  N  	  0.272  	  4.400
82  	  R  	  0.280  	  4.600
83  	  N  	  0.277  	  4.600
84  	  N  	  0.274  	  4.600
85  	  N  	  0.271  	  4.600
86  	  N  	  0.267  	  4.600
87  	  N  	  0.264  	  4.600
88  	  N  	  0.261  	  4.600
89  	  N  	  0.258  	  4.600
90  	  N  	  0.256  	  4.600
91  	  N  	  0.253  	  4.600
92  	  N  	  0.250  	  4.600
93  	  N  	  0.247  	  4.600
94  	  N  	  0.245  	  4.600
95  	  N  	  0.242  	  4.600
96  	  N  	  0.240  	  4.600
97  	  R  	  0.247  	  4.800
98  	  N  	  0.245  	  4.800
99  	  N  	  0.242  	  4.800
100  	  N  	  0.240  	  4.800
