For Query: the use of operations research models to optimize information system performance this includes fine tuning decisions such as secondary index selection file reorganization and distributed databases

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.200
02  	  R  	  1.000  	  0.400
03  	  N  	  0.667  	  0.400
04  	  R  	  0.750  	  0.600
05  	  R  	  0.800  	  0.800
06  	  N  	  0.667  	  0.800
07  	  N  	  0.571  	  0.800
08  	  N  	  0.500  	  0.800
09  	  R  	  0.556  	  1.000
10  	  R  	  0.600  	  1.200
11  	  N  	  0.545  	  1.200
12  	  N  	  0.500  	  1.200
13  	  N  	  0.462  	  1.200
14  	  N  	  0.429  	  1.200
15  	  N  	  0.400  	  1.200
16  	  R  	  0.438  	  1.400
17  	  N  	  0.412  	  1.400
18  	  R  	  0.444  	  1.600
19  	  N  	  0.421  	  1.600
20  	  N  	  0.400  	  1.600
21  	  R  	  0.429  	  1.800
22  	  N  	  0.409  	  1.800
23  	  R  	  0.435  	  2.000
24  	  N  	  0.417  	  2.000
25  	  R  	  0.440  	  2.200
26  	  N  	  0.423  	  2.200
27  	  N  	  0.407  	  2.200
28  	  R  	  0.429  	  2.400
29  	  N  	  0.414  	  2.400
30  	  N  	  0.400  	  2.400
31  	  N  	  0.387  	  2.400
32  	  N  	  0.375  	  2.400
33  	  N  	  0.364  	  2.400
34  	  N  	  0.353  	  2.400
35  	  R  	  0.371  	  2.600
36  	  N  	  0.361  	  2.600
37  	  N  	  0.351  	  2.600
38  	  N  	  0.342  	  2.600
39  	  R  	  0.359  	  2.800
40  	  N  	  0.350  	  2.800
41  	  R  	  0.366  	  3.000
42  	  N  	  0.357  	  3.000
43  	  N  	  0.349  	  3.000
44  	  N  	  0.341  	  3.000
45  	  N  	  0.333  	  3.000
46  	  N  	  0.326  	  3.000
47  	  N  	  0.319  	  3.000
48  	  N  	  0.312  	  3.000
49  	  N  	  0.306  	  3.000
50  	  R  	  0.320  	  3.200
51  	  N  	  0.314  	  3.200
52  	  N  	  0.308  	  3.200
53  	  N  	  0.302  	  3.200
54  	  N  	  0.296  	  3.200
55  	  N  	  0.291  	  3.200
56  	  N  	  0.286  	  3.200
57  	  N  	  0.281  	  3.200
58  	  N  	  0.276  	  3.200
59  	  R  	  0.288  	  3.400
60  	  N  	  0.283  	  3.400
61  	  N  	  0.279  	  3.400
62  	  N  	  0.274  	  3.400
63  	  N  	  0.270  	  3.400
64  	  N  	  0.266  	  3.400
65  	  N  	  0.262  	  3.400
66  	  N  	  0.258  	  3.400
67  	  N  	  0.254  	  3.400
68  	  N  	  0.250  	  3.400
69  	  N  	  0.246  	  3.400
70  	  N  	  0.243  	  3.400
71  	  N  	  0.239  	  3.400
72  	  N  	  0.236  	  3.400
73  	  N  	  0.233  	  3.400
74  	  N  	  0.230  	  3.400
75  	  N  	  0.227  	  3.400
76  	  N  	  0.224  	  3.400
77  	  N  	  0.221  	  3.400
78  	  N  	  0.218  	  3.400
79  	  N  	  0.215  	  3.400
80  	  N  	  0.212  	  3.400
81  	  N  	  0.210  	  3.400
82  	  N  	  0.207  	  3.400
83  	  N  	  0.205  	  3.400
84  	  N  	  0.202  	  3.400
85  	  N  	  0.200  	  3.400
86  	  N  	  0.198  	  3.400
87  	  N  	  0.195  	  3.400
88  	  N  	  0.193  	  3.400
89  	  N  	  0.191  	  3.400
90  	  N  	  0.189  	  3.400
91  	  N  	  0.187  	  3.400
92  	  N  	  0.185  	  3.400
93  	  N  	  0.183  	  3.400
94  	  N  	  0.181  	  3.400
95  	  N  	  0.179  	  3.400
96  	  N  	  0.177  	  3.400
97  	  N  	  0.175  	  3.400
98  	  N  	  0.173  	  3.400
99  	  N  	  0.172  	  3.400
100  	  N  	  0.170  	  3.400
