For Query: algorithms or statistical packages for anova regression using least squares or generalized linear models system design capabilities statistical formula are of interest student s t test wilcoxon and sign tests multivariate and univariate components can be included

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.200
02  	  R  	  1.000  	  0.400
03  	  R  	  1.000  	  0.600
04  	  N  	  0.750  	  0.600
05  	  N  	  0.600  	  0.600
06  	  R  	  0.667  	  0.800
07  	  R  	  0.714  	  1.000
08  	  N  	  0.625  	  1.000
09  	  N  	  0.556  	  1.000
10  	  N  	  0.500  	  1.000
11  	  N  	  0.455  	  1.000
12  	  N  	  0.417  	  1.000
13  	  R  	  0.462  	  1.200
14  	  R  	  0.500  	  1.400
15  	  R  	  0.533  	  1.600
16  	  R  	  0.562  	  1.800
17  	  R  	  0.588  	  2.000
18  	  N  	  0.556  	  2.000
19  	  N  	  0.526  	  2.000
20  	  N  	  0.500  	  2.000
21  	  N  	  0.476  	  2.000
22  	  N  	  0.455  	  2.000
23  	  N  	  0.435  	  2.000
24  	  N  	  0.417  	  2.000
25  	  N  	  0.400  	  2.000
26  	  R  	  0.423  	  2.200
27  	  N  	  0.407  	  2.200
28  	  N  	  0.393  	  2.200
29  	  N  	  0.379  	  2.200
30  	  N  	  0.367  	  2.200
31  	  N  	  0.355  	  2.200
32  	  N  	  0.344  	  2.200
33  	  N  	  0.333  	  2.200
34  	  N  	  0.324  	  2.200
35  	  N  	  0.314  	  2.200
36  	  N  	  0.306  	  2.200
37  	  N  	  0.297  	  2.200
38  	  N  	  0.289  	  2.200
39  	  N  	  0.282  	  2.200
40  	  R  	  0.300  	  2.400
41  	  N  	  0.293  	  2.400
42  	  N  	  0.286  	  2.400
43  	  N  	  0.279  	  2.400
44  	  N  	  0.273  	  2.400
45  	  N  	  0.267  	  2.400
46  	  R  	  0.283  	  2.600
47  	  R  	  0.298  	  2.800
48  	  N  	  0.292  	  2.800
49  	  N  	  0.286  	  2.800
50  	  N  	  0.280  	  2.800
51  	  N  	  0.275  	  2.800
52  	  N  	  0.269  	  2.800
53  	  N  	  0.264  	  2.800
54  	  R  	  0.278  	  3.000
55  	  N  	  0.273  	  3.000
56  	  N  	  0.268  	  3.000
57  	  N  	  0.263  	  3.000
58  	  N  	  0.259  	  3.000
59  	  N  	  0.254  	  3.000
60  	  R  	  0.267  	  3.200
61  	  N  	  0.262  	  3.200
62  	  N  	  0.258  	  3.200
63  	  N  	  0.254  	  3.200
64  	  N  	  0.250  	  3.200
65  	  N  	  0.246  	  3.200
66  	  N  	  0.242  	  3.200
67  	  N  	  0.239  	  3.200
68  	  R  	  0.250  	  3.400
69  	  N  	  0.246  	  3.400
70  	  N  	  0.243  	  3.400
71  	  N  	  0.239  	  3.400
72  	  N  	  0.236  	  3.400
73  	  N  	  0.233  	  3.400
74  	  N  	  0.230  	  3.400
75  	  N  	  0.227  	  3.400
76  	  N  	  0.224  	  3.400
77  	  N  	  0.221  	  3.400
78  	  N  	  0.218  	  3.400
79  	  N  	  0.215  	  3.400
80  	  N  	  0.212  	  3.400
81  	  N  	  0.210  	  3.400
82  	  N  	  0.207  	  3.400
83  	  N  	  0.205  	  3.400
84  	  R  	  0.214  	  3.600
85  	  N  	  0.212  	  3.600
86  	  N  	  0.209  	  3.600
87  	  N  	  0.207  	  3.600
88  	  N  	  0.205  	  3.600
89  	  N  	  0.202  	  3.600
90  	  N  	  0.200  	  3.600
91  	  N  	  0.198  	  3.600
92  	  N  	  0.196  	  3.600
93  	  N  	  0.194  	  3.600
94  	  N  	  0.191  	  3.600
95  	  N  	  0.189  	  3.600
96  	  N  	  0.188  	  3.600
97  	  N  	  0.186  	  3.600
98  	  N  	  0.184  	  3.600
99  	  N  	  0.182  	  3.600
100  	  N  	  0.180  	  3.600
