For Query: performance evaluation modelling computer systems

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.200
02  	  N  	  0.500  	  0.200
03  	  N  	  0.333  	  0.200
04  	  N  	  0.250  	  0.200
05  	  N  	  0.200  	  0.200
06  	  R  	  0.333  	  0.400
07  	  R  	  0.429  	  0.600
08  	  N  	  0.375  	  0.600
09  	  N  	  0.333  	  0.600
10  	  N  	  0.300  	  0.600
11  	  N  	  0.273  	  0.600
12  	  N  	  0.250  	  0.600
13  	  N  	  0.231  	  0.600
14  	  N  	  0.214  	  0.600
15  	  N  	  0.200  	  0.600
16  	  N  	  0.188  	  0.600
17  	  R  	  0.235  	  0.800
18  	  N  	  0.222  	  0.800
19  	  R  	  0.263  	  1.000
20  	  N  	  0.250  	  1.000
21  	  N  	  0.238  	  1.000
22  	  N  	  0.227  	  1.000
23  	  N  	  0.217  	  1.000
24  	  N  	  0.208  	  1.000
25  	  R  	  0.240  	  1.200
26  	  R  	  0.269  	  1.400
27  	  R  	  0.296  	  1.600
28  	  N  	  0.286  	  1.600
29  	  N  	  0.276  	  1.600
30  	  N  	  0.267  	  1.600
31  	  R  	  0.290  	  1.800
32  	  N  	  0.281  	  1.800
33  	  N  	  0.273  	  1.800
34  	  N  	  0.265  	  1.800
35  	  N  	  0.257  	  1.800
36  	  N  	  0.250  	  1.800
37  	  N  	  0.243  	  1.800
38  	  R  	  0.263  	  2.000
39  	  R  	  0.282  	  2.200
40  	  R  	  0.300  	  2.400
41  	  N  	  0.293  	  2.400
42  	  N  	  0.286  	  2.400
43  	  N  	  0.279  	  2.400
44  	  N  	  0.273  	  2.400
45  	  N  	  0.267  	  2.400
46  	  N  	  0.261  	  2.400
47  	  N  	  0.255  	  2.400
48  	  N  	  0.250  	  2.400
49  	  N  	  0.245  	  2.400
50  	  R  	  0.260  	  2.600
51  	  N  	  0.255  	  2.600
52  	  N  	  0.250  	  2.600
53  	  R  	  0.264  	  2.800
54  	  N  	  0.259  	  2.800
55  	  N  	  0.255  	  2.800
56  	  N  	  0.250  	  2.800
57  	  N  	  0.246  	  2.800
58  	  N  	  0.241  	  2.800
59  	  N  	  0.237  	  2.800
60  	  N  	  0.233  	  2.800
61  	  N  	  0.230  	  2.800
62  	  N  	  0.226  	  2.800
63  	  N  	  0.222  	  2.800
64  	  N  	  0.219  	  2.800
65  	  N  	  0.215  	  2.800
66  	  R  	  0.227  	  3.000
67  	  N  	  0.224  	  3.000
68  	  N  	  0.221  	  3.000
69  	  R  	  0.232  	  3.200
70  	  N  	  0.229  	  3.200
71  	  N  	  0.225  	  3.200
72  	  N  	  0.222  	  3.200
73  	  N  	  0.219  	  3.200
74  	  R  	  0.230  	  3.400
75  	  N  	  0.227  	  3.400
76  	  R  	  0.237  	  3.600
77  	  N  	  0.234  	  3.600
78  	  N  	  0.231  	  3.600
79  	  N  	  0.228  	  3.600
80  	  N  	  0.225  	  3.600
81  	  N  	  0.222  	  3.600
82  	  N  	  0.220  	  3.600
83  	  N  	  0.217  	  3.600
84  	  N  	  0.214  	  3.600
85  	  N  	  0.212  	  3.600
86  	  N  	  0.209  	  3.600
87  	  N  	  0.207  	  3.600
88  	  N  	  0.205  	  3.600
89  	  N  	  0.202  	  3.600
90  	  N  	  0.200  	  3.600
91  	  N  	  0.198  	  3.600
92  	  N  	  0.196  	  3.600
93  	  N  	  0.194  	  3.600
94  	  N  	  0.191  	  3.600
95  	  N  	  0.189  	  3.600
96  	  N  	  0.188  	  3.600
97  	  N  	  0.186  	  3.600
98  	  N  	  0.184  	  3.600
99  	  N  	  0.182  	  3.600
