For Query: performance evaluation and modelling of computer systems

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.200
02  	  N  	  0.500  	  0.200
03  	  R  	  0.667  	  0.400
04  	  R  	  0.750  	  0.600
05  	  N  	  0.600  	  0.600
06  	  N  	  0.500  	  0.600
07  	  N  	  0.429  	  0.600
08  	  R  	  0.500  	  0.800
09  	  N  	  0.444  	  0.800
10  	  R  	  0.500  	  1.000
11  	  N  	  0.455  	  1.000
12  	  N  	  0.417  	  1.000
13  	  N  	  0.385  	  1.000
14  	  R  	  0.429  	  1.200
15  	  R  	  0.467  	  1.400
16  	  N  	  0.438  	  1.400
17  	  N  	  0.412  	  1.400
18  	  N  	  0.389  	  1.400
19  	  N  	  0.368  	  1.400
20  	  N  	  0.350  	  1.400
21  	  N  	  0.333  	  1.400
22  	  N  	  0.318  	  1.400
23  	  R  	  0.348  	  1.600
24  	  R  	  0.375  	  1.800
25  	  N  	  0.360  	  1.800
26  	  N  	  0.346  	  1.800
27  	  N  	  0.333  	  1.800
28  	  N  	  0.321  	  1.800
29  	  N  	  0.310  	  1.800
30  	  N  	  0.300  	  1.800
31  	  N  	  0.290  	  1.800
32  	  R  	  0.312  	  2.000
33  	  N  	  0.303  	  2.000
34  	  R  	  0.324  	  2.200
35  	  R  	  0.343  	  2.400
36  	  N  	  0.333  	  2.400
37  	  N  	  0.324  	  2.400
38  	  R  	  0.342  	  2.600
39  	  N  	  0.333  	  2.600
40  	  N  	  0.325  	  2.600
41  	  N  	  0.317  	  2.600
42  	  N  	  0.310  	  2.600
43  	  N  	  0.302  	  2.600
44  	  N  	  0.295  	  2.600
45  	  R  	  0.311  	  2.800
46  	  N  	  0.304  	  2.800
47  	  R  	  0.319  	  3.000
48  	  R  	  0.333  	  3.200
49  	  N  	  0.327  	  3.200
50  	  N  	  0.320  	  3.200
51  	  N  	  0.314  	  3.200
52  	  N  	  0.308  	  3.200
53  	  N  	  0.302  	  3.200
54  	  N  	  0.296  	  3.200
55  	  R  	  0.309  	  3.400
56  	  N  	  0.304  	  3.400
57  	  N  	  0.298  	  3.400
58  	  N  	  0.293  	  3.400
59  	  N  	  0.288  	  3.400
60  	  N  	  0.283  	  3.400
61  	  N  	  0.279  	  3.400
62  	  N  	  0.274  	  3.400
63  	  N  	  0.270  	  3.400
64  	  N  	  0.266  	  3.400
65  	  N  	  0.262  	  3.400
66  	  N  	  0.258  	  3.400
67  	  N  	  0.254  	  3.400
68  	  N  	  0.250  	  3.400
69  	  R  	  0.261  	  3.600
70  	  R  	  0.271  	  3.800
71  	  N  	  0.268  	  3.800
72  	  N  	  0.264  	  3.800
73  	  N  	  0.260  	  3.800
74  	  R  	  0.270  	  4.000
75  	  N  	  0.267  	  4.000
76  	  N  	  0.263  	  4.000
77  	  N  	  0.260  	  4.000
78  	  R  	  0.269  	  4.200
79  	  N  	  0.266  	  4.200
80  	  N  	  0.263  	  4.200
81  	  N  	  0.259  	  4.200
82  	  N  	  0.256  	  4.200
83  	  N  	  0.253  	  4.200
84  	  N  	  0.250  	  4.200
85  	  N  	  0.247  	  4.200
86  	  N  	  0.244  	  4.200
87  	  N  	  0.241  	  4.200
88  	  N  	  0.239  	  4.200
89  	  N  	  0.236  	  4.200
90  	  N  	  0.233  	  4.200
91  	  N  	  0.231  	  4.200
92  	  N  	  0.228  	  4.200
93  	  N  	  0.226  	  4.200
94  	  R  	  0.234  	  4.400
95  	  N  	  0.232  	  4.400
96  	  N  	  0.229  	  4.400
97  	  N  	  0.227  	  4.400
98  	  N  	  0.224  	  4.400
99  	  N  	  0.222  	  4.400
100  	  N  	  0.220  	  4.400
