For Query: analysis and perception of shape by humans and computers shape descriptions shape recognition by computer two dimensional shapes measures of circularity shape matching

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.200
02  	  N  	  0.500  	  0.200
03  	  N  	  0.333  	  0.200
04  	  N  	  0.250  	  0.200
05  	  N  	  0.200  	  0.200
06  	  N  	  0.167  	  0.200
07  	  N  	  0.143  	  0.200
08  	  N  	  0.125  	  0.200
09  	  R  	  0.222  	  0.400
10  	  R  	  0.300  	  0.600
11  	  N  	  0.273  	  0.600
12  	  R  	  0.333  	  0.800
13  	  N  	  0.308  	  0.800
14  	  R  	  0.357  	  1.000
15  	  R  	  0.400  	  1.200
16  	  N  	  0.375  	  1.200
17  	  N  	  0.353  	  1.200
18  	  N  	  0.333  	  1.200
19  	  N  	  0.316  	  1.200
20  	  N  	  0.300  	  1.200
21  	  N  	  0.286  	  1.200
22  	  R  	  0.318  	  1.400
23  	  N  	  0.304  	  1.400
24  	  R  	  0.333  	  1.600
25  	  R  	  0.360  	  1.800
26  	  R  	  0.385  	  2.000
27  	  N  	  0.370  	  2.000
28  	  N  	  0.357  	  2.000
29  	  R  	  0.379  	  2.200
30  	  R  	  0.400  	  2.400
31  	  N  	  0.387  	  2.400
32  	  N  	  0.375  	  2.400
33  	  N  	  0.364  	  2.400
34  	  N  	  0.353  	  2.400
35  	  N  	  0.343  	  2.400
36  	  N  	  0.333  	  2.400
37  	  N  	  0.324  	  2.400
38  	  N  	  0.316  	  2.400
39  	  R  	  0.333  	  2.600
40  	  N  	  0.325  	  2.600
41  	  N  	  0.317  	  2.600
42  	  N  	  0.310  	  2.600
43  	  N  	  0.302  	  2.600
44  	  N  	  0.295  	  2.600
45  	  N  	  0.289  	  2.600
46  	  R  	  0.304  	  2.800
47  	  N  	  0.298  	  2.800
48  	  N  	  0.292  	  2.800
49  	  R  	  0.306  	  3.000
50  	  N  	  0.300  	  3.000
51  	  N  	  0.294  	  3.000
52  	  N  	  0.288  	  3.000
53  	  N  	  0.283  	  3.000
54  	  N  	  0.278  	  3.000
55  	  N  	  0.273  	  3.000
56  	  N  	  0.268  	  3.000
57  	  R  	  0.281  	  3.200
58  	  N  	  0.276  	  3.200
59  	  N  	  0.271  	  3.200
60  	  N  	  0.267  	  3.200
61  	  N  	  0.262  	  3.200
62  	  N  	  0.258  	  3.200
63  	  N  	  0.254  	  3.200
64  	  N  	  0.250  	  3.200
65  	  N  	  0.246  	  3.200
66  	  N  	  0.242  	  3.200
67  	  N  	  0.239  	  3.200
68  	  N  	  0.235  	  3.200
69  	  N  	  0.232  	  3.200
70  	  N  	  0.229  	  3.200
71  	  N  	  0.225  	  3.200
72  	  N  	  0.222  	  3.200
73  	  R  	  0.233  	  3.400
74  	  N  	  0.230  	  3.400
75  	  N  	  0.227  	  3.400
76  	  N  	  0.224  	  3.400
77  	  N  	  0.221  	  3.400
78  	  R  	  0.231  	  3.600
79  	  N  	  0.228  	  3.600
80  	  N  	  0.225  	  3.600
81  	  N  	  0.222  	  3.600
82  	  N  	  0.220  	  3.600
83  	  N  	  0.217  	  3.600
84  	  N  	  0.214  	  3.600
85  	  N  	  0.212  	  3.600
86  	  N  	  0.209  	  3.600
87  	  N  	  0.207  	  3.600
88  	  N  	  0.205  	  3.600
89  	  N  	  0.202  	  3.600
90  	  N  	  0.200  	  3.600
91  	  N  	  0.198  	  3.600
92  	  N  	  0.196  	  3.600
93  	  N  	  0.194  	  3.600
94  	  N  	  0.191  	  3.600
95  	  N  	  0.189  	  3.600
96  	  N  	  0.188  	  3.600
97  	  R  	  0.196  	  3.800
98  	  N  	  0.194  	  3.800
99  	  N  	  0.192  	  3.800
100  	  N  	  0.190  	  3.800
