For Query: algorithms or statistical packages for anova regression using least squares or generalized linear models system design capabilities statistical formula are of interest student s t test wilcoxon and sign tests multivariate and univariate components can be included

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.200
02  	  R  	  1.000  	  0.400
03  	  R  	  1.000  	  0.600
04  	  N  	  0.750  	  0.600
05  	  R  	  0.800  	  0.800
06  	  N  	  0.667  	  0.800
07  	  R  	  0.714  	  1.000
08  	  N  	  0.625  	  1.000
09  	  N  	  0.556  	  1.000
10  	  N  	  0.500  	  1.000
11  	  R  	  0.545  	  1.200
12  	  R  	  0.583  	  1.400
13  	  R  	  0.615  	  1.600
14  	  R  	  0.643  	  1.800
15  	  R  	  0.667  	  2.000
16  	  N  	  0.625  	  2.000
17  	  N  	  0.588  	  2.000
18  	  N  	  0.556  	  2.000
19  	  N  	  0.526  	  2.000
20  	  R  	  0.550  	  2.200
21  	  N  	  0.524  	  2.200
22  	  N  	  0.500  	  2.200
23  	  N  	  0.478  	  2.200
24  	  N  	  0.458  	  2.200
25  	  R  	  0.480  	  2.400
26  	  N  	  0.462  	  2.400
27  	  N  	  0.444  	  2.400
28  	  R  	  0.464  	  2.600
29  	  N  	  0.448  	  2.600
30  	  N  	  0.433  	  2.600
31  	  N  	  0.419  	  2.600
32  	  N  	  0.406  	  2.600
33  	  N  	  0.394  	  2.600
34  	  N  	  0.382  	  2.600
35  	  R  	  0.400  	  2.800
36  	  N  	  0.389  	  2.800
37  	  N  	  0.378  	  2.800
38  	  R  	  0.395  	  3.000
39  	  N  	  0.385  	  3.000
40  	  N  	  0.375  	  3.000
41  	  N  	  0.366  	  3.000
42  	  R  	  0.381  	  3.200
43  	  N  	  0.372  	  3.200
44  	  N  	  0.364  	  3.200
45  	  N  	  0.356  	  3.200
46  	  N  	  0.348  	  3.200
47  	  N  	  0.340  	  3.200
48  	  R  	  0.354  	  3.400
49  	  N  	  0.347  	  3.400
50  	  N  	  0.340  	  3.400
51  	  N  	  0.333  	  3.400
52  	  N  	  0.327  	  3.400
53  	  N  	  0.321  	  3.400
54  	  N  	  0.315  	  3.400
55  	  N  	  0.309  	  3.400
56  	  N  	  0.304  	  3.400
57  	  N  	  0.298  	  3.400
58  	  N  	  0.293  	  3.400
59  	  N  	  0.288  	  3.400
60  	  N  	  0.283  	  3.400
61  	  N  	  0.279  	  3.400
62  	  N  	  0.274  	  3.400
63  	  N  	  0.270  	  3.400
64  	  N  	  0.266  	  3.400
65  	  N  	  0.262  	  3.400
66  	  N  	  0.258  	  3.400
67  	  N  	  0.254  	  3.400
68  	  N  	  0.250  	  3.400
69  	  N  	  0.246  	  3.400
70  	  N  	  0.243  	  3.400
71  	  N  	  0.239  	  3.400
72  	  N  	  0.236  	  3.400
73  	  N  	  0.233  	  3.400
74  	  N  	  0.230  	  3.400
75  	  N  	  0.227  	  3.400
76  	  N  	  0.224  	  3.400
77  	  R  	  0.234  	  3.600
78  	  N  	  0.231  	  3.600
79  	  N  	  0.228  	  3.600
80  	  N  	  0.225  	  3.600
81  	  N  	  0.222  	  3.600
82  	  N  	  0.220  	  3.600
83  	  N  	  0.217  	  3.600
84  	  N  	  0.214  	  3.600
85  	  N  	  0.212  	  3.600
86  	  N  	  0.209  	  3.600
87  	  N  	  0.207  	  3.600
88  	  N  	  0.205  	  3.600
89  	  N  	  0.202  	  3.600
90  	  N  	  0.200  	  3.600
91  	  N  	  0.198  	  3.600
92  	  N  	  0.196  	  3.600
93  	  N  	  0.194  	  3.600
94  	  N  	  0.191  	  3.600
95  	  N  	  0.189  	  3.600
96  	  N  	  0.188  	  3.600
97  	  N  	  0.186  	  3.600
98  	  N  	  0.184  	  3.600
99  	  N  	  0.182  	  3.600
100  	  N  	  0.180  	  3.600
