For Query: performance evaluation and modelling of computer systems

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.200
02  	  N  	  0.500  	  0.200
03  	  R  	  0.667  	  0.400
04  	  R  	  0.750  	  0.600
05  	  R  	  0.800  	  0.800
06  	  R  	  0.833  	  1.000
07  	  R  	  0.857  	  1.200
08  	  N  	  0.750  	  1.200
09  	  N  	  0.667  	  1.200
10  	  N  	  0.600  	  1.200
11  	  N  	  0.545  	  1.200
12  	  R  	  0.583  	  1.400
13  	  N  	  0.538  	  1.400
14  	  N  	  0.500  	  1.400
15  	  R  	  0.533  	  1.600
16  	  N  	  0.500  	  1.600
17  	  R  	  0.529  	  1.800
18  	  N  	  0.500  	  1.800
19  	  N  	  0.474  	  1.800
20  	  N  	  0.450  	  1.800
21  	  N  	  0.429  	  1.800
22  	  N  	  0.409  	  1.800
23  	  N  	  0.391  	  1.800
24  	  N  	  0.375  	  1.800
25  	  N  	  0.360  	  1.800
26  	  R  	  0.385  	  2.000
27  	  R  	  0.407  	  2.200
28  	  R  	  0.429  	  2.400
29  	  N  	  0.414  	  2.400
30  	  N  	  0.400  	  2.400
31  	  R  	  0.419  	  2.600
32  	  N  	  0.406  	  2.600
33  	  N  	  0.394  	  2.600
34  	  N  	  0.382  	  2.600
35  	  N  	  0.371  	  2.600
36  	  N  	  0.361  	  2.600
37  	  N  	  0.351  	  2.600
38  	  N  	  0.342  	  2.600
39  	  N  	  0.333  	  2.600
40  	  N  	  0.325  	  2.600
41  	  N  	  0.317  	  2.600
42  	  R  	  0.333  	  2.800
43  	  N  	  0.326  	  2.800
44  	  N  	  0.318  	  2.800
45  	  N  	  0.311  	  2.800
46  	  N  	  0.304  	  2.800
47  	  N  	  0.298  	  2.800
48  	  N  	  0.292  	  2.800
49  	  R  	  0.306  	  3.000
50  	  N  	  0.300  	  3.000
51  	  N  	  0.294  	  3.000
52  	  N  	  0.288  	  3.000
53  	  N  	  0.283  	  3.000
54  	  N  	  0.278  	  3.000
55  	  R  	  0.291  	  3.200
56  	  N  	  0.286  	  3.200
57  	  N  	  0.281  	  3.200
58  	  R  	  0.293  	  3.400
59  	  R  	  0.305  	  3.600
60  	  N  	  0.300  	  3.600
61  	  N  	  0.295  	  3.600
62  	  N  	  0.290  	  3.600
63  	  N  	  0.286  	  3.600
64  	  N  	  0.281  	  3.600
65  	  N  	  0.277  	  3.600
66  	  N  	  0.273  	  3.600
67  	  N  	  0.269  	  3.600
68  	  N  	  0.265  	  3.600
69  	  N  	  0.261  	  3.600
70  	  N  	  0.257  	  3.600
71  	  R  	  0.268  	  3.800
72  	  R  	  0.278  	  4.000
73  	  N  	  0.274  	  4.000
74  	  N  	  0.270  	  4.000
75  	  N  	  0.267  	  4.000
76  	  N  	  0.263  	  4.000
77  	  N  	  0.260  	  4.000
78  	  N  	  0.256  	  4.000
79  	  N  	  0.253  	  4.000
80  	  N  	  0.250  	  4.000
81  	  N  	  0.247  	  4.000
82  	  N  	  0.244  	  4.000
83  	  N  	  0.241  	  4.000
84  	  N  	  0.238  	  4.000
85  	  N  	  0.235  	  4.000
86  	  N  	  0.233  	  4.000
87  	  N  	  0.230  	  4.000
88  	  R  	  0.239  	  4.200
89  	  N  	  0.236  	  4.200
90  	  N  	  0.233  	  4.200
91  	  N  	  0.231  	  4.200
92  	  N  	  0.228  	  4.200
93  	  N  	  0.226  	  4.200
94  	  N  	  0.223  	  4.200
95  	  N  	  0.221  	  4.200
96  	  N  	  0.219  	  4.200
97  	  N  	  0.216  	  4.200
98  	  N  	  0.214  	  4.200
99  	  N  	  0.212  	  4.200
100  	  N  	  0.210  	  4.200
