For Query: parallel languages languages for parallel computation

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.200
02  	  R  	  1.000  	  0.400
03  	  N  	  0.667  	  0.400
04  	  R  	  0.750  	  0.600
05  	  R  	  0.800  	  0.800
06  	  R  	  0.833  	  1.000
07  	  N  	  0.714  	  1.000
08  	  R  	  0.750  	  1.200
09  	  R  	  0.778  	  1.400
10  	  N  	  0.700  	  1.400
11  	  R  	  0.727  	  1.600
12  	  R  	  0.750  	  1.800
13  	  R  	  0.769  	  2.000
14  	  N  	  0.714  	  2.000
15  	  R  	  0.733  	  2.200
16  	  R  	  0.750  	  2.400
17  	  R  	  0.765  	  2.600
18  	  N  	  0.722  	  2.600
19  	  N  	  0.684  	  2.600
20  	  R  	  0.700  	  2.800
21  	  R  	  0.714  	  3.000
22  	  R  	  0.727  	  3.200
23  	  N  	  0.696  	  3.200
24  	  R  	  0.708  	  3.400
25  	  N  	  0.680  	  3.400
26  	  N  	  0.654  	  3.400
27  	  R  	  0.667  	  3.600
28  	  N  	  0.643  	  3.600
29  	  N  	  0.621  	  3.600
30  	  N  	  0.600  	  3.600
31  	  N  	  0.581  	  3.600
32  	  N  	  0.562  	  3.600
33  	  N  	  0.545  	  3.600
34  	  R  	  0.559  	  3.800
35  	  N  	  0.543  	  3.800
36  	  N  	  0.528  	  3.800
37  	  N  	  0.514  	  3.800
38  	  N  	  0.500  	  3.800
39  	  N  	  0.487  	  3.800
40  	  N  	  0.475  	  3.800
41  	  N  	  0.463  	  3.800
42  	  N  	  0.452  	  3.800
43  	  N  	  0.442  	  3.800
44  	  N  	  0.432  	  3.800
45  	  N  	  0.422  	  3.800
46  	  N  	  0.413  	  3.800
47  	  R  	  0.426  	  4.000
48  	  N  	  0.417  	  4.000
49  	  N  	  0.408  	  4.000
50  	  N  	  0.400  	  4.000
51  	  N  	  0.392  	  4.000
52  	  N  	  0.385  	  4.000
53  	  N  	  0.377  	  4.000
54  	  R  	  0.389  	  4.200
55  	  N  	  0.382  	  4.200
56  	  R  	  0.393  	  4.400
57  	  N  	  0.386  	  4.400
58  	  N  	  0.379  	  4.400
59  	  R  	  0.390  	  4.600
60  	  N  	  0.383  	  4.600
61  	  N  	  0.377  	  4.600
62  	  N  	  0.371  	  4.600
63  	  N  	  0.365  	  4.600
64  	  N  	  0.359  	  4.600
65  	  N  	  0.354  	  4.600
66  	  N  	  0.348  	  4.600
67  	  N  	  0.343  	  4.600
68  	  N  	  0.338  	  4.600
69  	  N  	  0.333  	  4.600
70  	  N  	  0.329  	  4.600
71  	  N  	  0.324  	  4.600
72  	  N  	  0.319  	  4.600
73  	  N  	  0.315  	  4.600
74  	  N  	  0.311  	  4.600
75  	  N  	  0.307  	  4.600
76  	  N  	  0.303  	  4.600
77  	  N  	  0.299  	  4.600
78  	  N  	  0.295  	  4.600
79  	  N  	  0.291  	  4.600
80  	  N  	  0.287  	  4.600
81  	  N  	  0.284  	  4.600
82  	  N  	  0.280  	  4.600
83  	  N  	  0.277  	  4.600
84  	  N  	  0.274  	  4.600
85  	  N  	  0.271  	  4.600
86  	  N  	  0.267  	  4.600
87  	  N  	  0.264  	  4.600
88  	  N  	  0.261  	  4.600
89  	  N  	  0.258  	  4.600
90  	  N  	  0.256  	  4.600
91  	  N  	  0.253  	  4.600
92  	  N  	  0.250  	  4.600
93  	  N  	  0.247  	  4.600
94  	  N  	  0.245  	  4.600
95  	  N  	  0.242  	  4.600
96  	  N  	  0.240  	  4.600
97  	  N  	  0.237  	  4.600
98  	  N  	  0.235  	  4.600
99  	  N  	  0.232  	  4.600
100  	  N  	  0.230  	  4.600
