For Query: algorithms or statistical packages for anova regression using least squares or generalized linear models system design capabilities statistical formula are of interest student s t test wilcoxon and sign tests multivariate and univariate components can be included

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.200
02  	  R  	  1.000  	  0.400
03  	  R  	  1.000  	  0.600
04  	  N  	  0.750  	  0.600
05  	  R  	  0.800  	  0.800
06  	  N  	  0.667  	  0.800
07  	  R  	  0.714  	  1.000
08  	  N  	  0.625  	  1.000
09  	  N  	  0.556  	  1.000
10  	  N  	  0.500  	  1.000
11  	  R  	  0.545  	  1.200
12  	  R  	  0.583  	  1.400
13  	  R  	  0.615  	  1.600
14  	  R  	  0.643  	  1.800
15  	  R  	  0.667  	  2.000
16  	  N  	  0.625  	  2.000
17  	  N  	  0.588  	  2.000
18  	  N  	  0.556  	  2.000
19  	  N  	  0.526  	  2.000
20  	  R  	  0.550  	  2.200
21  	  N  	  0.524  	  2.200
22  	  N  	  0.500  	  2.200
23  	  N  	  0.478  	  2.200
24  	  N  	  0.458  	  2.200
25  	  N  	  0.440  	  2.200
26  	  N  	  0.423  	  2.200
27  	  N  	  0.407  	  2.200
28  	  R  	  0.429  	  2.400
29  	  N  	  0.414  	  2.400
30  	  N  	  0.400  	  2.400
31  	  N  	  0.387  	  2.400
32  	  N  	  0.375  	  2.400
33  	  N  	  0.364  	  2.400
34  	  N  	  0.353  	  2.400
35  	  R  	  0.371  	  2.600
36  	  N  	  0.361  	  2.600
37  	  N  	  0.351  	  2.600
38  	  R  	  0.368  	  2.800
39  	  N  	  0.359  	  2.800
40  	  N  	  0.350  	  2.800
41  	  N  	  0.341  	  2.800
42  	  R  	  0.357  	  3.000
43  	  N  	  0.349  	  3.000
44  	  N  	  0.341  	  3.000
45  	  N  	  0.333  	  3.000
46  	  N  	  0.326  	  3.000
47  	  N  	  0.319  	  3.000
48  	  R  	  0.333  	  3.200
49  	  N  	  0.327  	  3.200
50  	  N  	  0.320  	  3.200
51  	  N  	  0.314  	  3.200
52  	  N  	  0.308  	  3.200
53  	  N  	  0.302  	  3.200
54  	  N  	  0.296  	  3.200
55  	  N  	  0.291  	  3.200
56  	  N  	  0.286  	  3.200
57  	  N  	  0.281  	  3.200
58  	  N  	  0.276  	  3.200
59  	  N  	  0.271  	  3.200
60  	  N  	  0.267  	  3.200
61  	  N  	  0.262  	  3.200
62  	  N  	  0.258  	  3.200
63  	  N  	  0.254  	  3.200
64  	  N  	  0.250  	  3.200
65  	  N  	  0.246  	  3.200
66  	  N  	  0.242  	  3.200
67  	  N  	  0.239  	  3.200
68  	  N  	  0.235  	  3.200
69  	  N  	  0.232  	  3.200
70  	  N  	  0.229  	  3.200
71  	  N  	  0.225  	  3.200
72  	  N  	  0.222  	  3.200
73  	  N  	  0.219  	  3.200
74  	  N  	  0.216  	  3.200
75  	  N  	  0.213  	  3.200
76  	  N  	  0.211  	  3.200
77  	  N  	  0.208  	  3.200
78  	  N  	  0.205  	  3.200
79  	  N  	  0.203  	  3.200
80  	  N  	  0.200  	  3.200
81  	  N  	  0.198  	  3.200
82  	  N  	  0.195  	  3.200
83  	  N  	  0.193  	  3.200
84  	  N  	  0.190  	  3.200
85  	  N  	  0.188  	  3.200
86  	  N  	  0.186  	  3.200
87  	  N  	  0.184  	  3.200
88  	  N  	  0.182  	  3.200
89  	  N  	  0.180  	  3.200
90  	  N  	  0.178  	  3.200
91  	  N  	  0.176  	  3.200
92  	  N  	  0.174  	  3.200
93  	  N  	  0.172  	  3.200
94  	  N  	  0.170  	  3.200
95  	  N  	  0.168  	  3.200
96  	  N  	  0.167  	  3.200
97  	  N  	  0.165  	  3.200
98  	  N  	  0.163  	  3.200
99  	  N  	  0.162  	  3.200
100  	  N  	  0.160  	  3.200
