For Query: information retrieval articles by gerard salton or others about clustering bibliographic coupling use of citations or co citations the vector space model boolean search methods using inverted files feedback etc salton g

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  R  	  0.500  	  0.200
03  	  R  	  0.667  	  0.400
04  	  R  	  0.750  	  0.600
05  	  R  	  0.800  	  0.800
06  	  R  	  0.833  	  1.000
07  	  R  	  0.857  	  1.200
08  	  R  	  0.875  	  1.400
09  	  R  	  0.889  	  1.600
10  	  N  	  0.800  	  1.600
11  	  N  	  0.727  	  1.600
12  	  R  	  0.750  	  1.800
13  	  N  	  0.692  	  1.800
14  	  N  	  0.643  	  1.800
15  	  R  	  0.667  	  2.000
16  	  R  	  0.688  	  2.200
17  	  N  	  0.647  	  2.200
18  	  N  	  0.611  	  2.200
19  	  N  	  0.579  	  2.200
20  	  R  	  0.600  	  2.400
21  	  N  	  0.571  	  2.400
22  	  N  	  0.545  	  2.400
23  	  N  	  0.522  	  2.400
24  	  N  	  0.500  	  2.400
25  	  N  	  0.480  	  2.400
26  	  N  	  0.462  	  2.400
27  	  N  	  0.444  	  2.400
28  	  N  	  0.429  	  2.400
29  	  R  	  0.448  	  2.600
30  	  R  	  0.467  	  2.800
31  	  R  	  0.484  	  3.000
32  	  N  	  0.469  	  3.000
33  	  R  	  0.485  	  3.200
34  	  R  	  0.500  	  3.400
35  	  R  	  0.514  	  3.600
36  	  N  	  0.500  	  3.600
37  	  R  	  0.514  	  3.800
38  	  N  	  0.500  	  3.800
39  	  N  	  0.487  	  3.800
40  	  N  	  0.475  	  3.800
41  	  N  	  0.463  	  3.800
42  	  N  	  0.452  	  3.800
43  	  N  	  0.442  	  3.800
44  	  N  	  0.432  	  3.800
45  	  N  	  0.422  	  3.800
46  	  N  	  0.413  	  3.800
47  	  N  	  0.404  	  3.800
48  	  N  	  0.396  	  3.800
49  	  N  	  0.388  	  3.800
50  	  N  	  0.380  	  3.800
51  	  N  	  0.373  	  3.800
52  	  N  	  0.365  	  3.800
53  	  N  	  0.358  	  3.800
54  	  N  	  0.352  	  3.800
55  	  N  	  0.345  	  3.800
56  	  N  	  0.339  	  3.800
57  	  R  	  0.351  	  4.000
58  	  N  	  0.345  	  4.000
59  	  N  	  0.339  	  4.000
60  	  N  	  0.333  	  4.000
61  	  N  	  0.328  	  4.000
62  	  R  	  0.339  	  4.200
63  	  N  	  0.333  	  4.200
64  	  N  	  0.328  	  4.200
65  	  N  	  0.323  	  4.200
66  	  N  	  0.318  	  4.200
67  	  N  	  0.313  	  4.200
68  	  N  	  0.309  	  4.200
69  	  N  	  0.304  	  4.200
70  	  N  	  0.300  	  4.200
71  	  N  	  0.296  	  4.200
72  	  N  	  0.292  	  4.200
73  	  N  	  0.288  	  4.200
74  	  N  	  0.284  	  4.200
75  	  N  	  0.280  	  4.200
76  	  N  	  0.276  	  4.200
77  	  N  	  0.273  	  4.200
78  	  N  	  0.269  	  4.200
79  	  N  	  0.266  	  4.200
80  	  N  	  0.263  	  4.200
81  	  N  	  0.259  	  4.200
82  	  N  	  0.256  	  4.200
83  	  N  	  0.253  	  4.200
84  	  N  	  0.250  	  4.200
85  	  N  	  0.247  	  4.200
86  	  N  	  0.244  	  4.200
87  	  N  	  0.241  	  4.200
88  	  N  	  0.239  	  4.200
89  	  N  	  0.236  	  4.200
90  	  N  	  0.233  	  4.200
91  	  N  	  0.231  	  4.200
92  	  N  	  0.228  	  4.200
93  	  R  	  0.237  	  4.400
94  	  N  	  0.234  	  4.400
95  	  N  	  0.232  	  4.400
96  	  N  	  0.229  	  4.400
97  	  N  	  0.227  	  4.400
98  	  N  	  0.224  	  4.400
99  	  N  	  0.222  	  4.400
100  	  N  	  0.220  	  4.400
