For Query: parallel languages for computation programming history future language survey systems information retrieval take reels inch perforated tape format heading data transmission message roster 1974-75 cacm

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  R  	  0.500  	  0.200
03  	  R  	  0.667  	  0.400
04  	  N  	  0.500  	  0.400
05  	  R  	  0.600  	  0.600
06  	  R  	  0.667  	  0.800
07  	  N  	  0.571  	  0.800
08  	  R  	  0.625  	  1.000
09  	  R  	  0.667  	  1.200
10  	  R  	  0.700  	  1.400
11  	  R  	  0.727  	  1.600
12  	  N  	  0.667  	  1.600
13  	  N  	  0.615  	  1.600
14  	  R  	  0.643  	  1.800
15  	  N  	  0.600  	  1.800
16  	  N  	  0.562  	  1.800
17  	  N  	  0.529  	  1.800
18  	  R  	  0.556  	  2.000
19  	  R  	  0.579  	  2.200
20  	  R  	  0.600  	  2.400
21  	  N  	  0.571  	  2.400
22  	  R  	  0.591  	  2.600
23  	  R  	  0.609  	  2.800
24  	  N  	  0.583  	  2.800
25  	  N  	  0.560  	  2.800
26  	  R  	  0.577  	  3.000
27  	  N  	  0.556  	  3.000
28  	  R  	  0.571  	  3.200
29  	  R  	  0.586  	  3.400
30  	  N  	  0.567  	  3.400
31  	  R  	  0.581  	  3.600
32  	  N  	  0.562  	  3.600
33  	  R  	  0.576  	  3.800
34  	  N  	  0.559  	  3.800
35  	  N  	  0.543  	  3.800
36  	  N  	  0.528  	  3.800
37  	  N  	  0.514  	  3.800
38  	  N  	  0.500  	  3.800
39  	  N  	  0.487  	  3.800
40  	  N  	  0.475  	  3.800
41  	  N  	  0.463  	  3.800
42  	  R  	  0.476  	  4.000
43  	  N  	  0.465  	  4.000
44  	  R  	  0.477  	  4.200
45  	  R  	  0.489  	  4.400
46  	  N  	  0.478  	  4.400
47  	  N  	  0.468  	  4.400
48  	  N  	  0.458  	  4.400
49  	  N  	  0.449  	  4.400
50  	  N  	  0.440  	  4.400
51  	  N  	  0.431  	  4.400
52  	  N  	  0.423  	  4.400
53  	  R  	  0.434  	  4.600
54  	  N  	  0.426  	  4.600
55  	  N  	  0.418  	  4.600
56  	  N  	  0.411  	  4.600
57  	  N  	  0.404  	  4.600
58  	  N  	  0.397  	  4.600
59  	  N  	  0.390  	  4.600
60  	  N  	  0.383  	  4.600
61  	  N  	  0.377  	  4.600
62  	  N  	  0.371  	  4.600
63  	  N  	  0.365  	  4.600
64  	  N  	  0.359  	  4.600
65  	  N  	  0.354  	  4.600
66  	  N  	  0.348  	  4.600
67  	  N  	  0.343  	  4.600
68  	  N  	  0.338  	  4.600
69  	  N  	  0.333  	  4.600
70  	  N  	  0.329  	  4.600
71  	  N  	  0.324  	  4.600
72  	  N  	  0.319  	  4.600
73  	  N  	  0.315  	  4.600
74  	  N  	  0.311  	  4.600
75  	  N  	  0.307  	  4.600
76  	  N  	  0.303  	  4.600
77  	  N  	  0.299  	  4.600
78  	  N  	  0.295  	  4.600
79  	  N  	  0.291  	  4.600
80  	  N  	  0.287  	  4.600
81  	  N  	  0.284  	  4.600
82  	  N  	  0.280  	  4.600
83  	  N  	  0.277  	  4.600
84  	  N  	  0.274  	  4.600
85  	  N  	  0.271  	  4.600
86  	  N  	  0.267  	  4.600
87  	  N  	  0.264  	  4.600
88  	  N  	  0.261  	  4.600
89  	  N  	  0.258  	  4.600
90  	  N  	  0.256  	  4.600
91  	  N  	  0.253  	  4.600
92  	  N  	  0.250  	  4.600
93  	  N  	  0.247  	  4.600
94  	  N  	  0.245  	  4.600
95  	  N  	  0.242  	  4.600
96  	  N  	  0.240  	  4.600
97  	  N  	  0.237  	  4.600
98  	  N  	  0.235  	  4.600
99  	  N  	  0.232  	  4.600
100  	  N  	  0.230  	  4.600
