For Query: languages and compilers for parallel processors especially highly horizontal microcoded machines code compaction character american standard structure parity positioning contouring interchangcable perforated tape information interchange standards handwritten cacm august 1967 programming language future activities

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  R  	  0.500  	  0.200
03  	  N  	  0.333  	  0.200
04  	  R  	  0.500  	  0.400
05  	  N  	  0.400  	  0.400
06  	  N  	  0.333  	  0.400
07  	  N  	  0.286  	  0.400
08  	  N  	  0.250  	  0.400
09  	  N  	  0.222  	  0.400
10  	  N  	  0.200  	  0.400
11  	  N  	  0.182  	  0.400
12  	  N  	  0.167  	  0.400
13  	  R  	  0.231  	  0.600
14  	  R  	  0.286  	  0.800
15  	  N  	  0.267  	  0.800
16  	  N  	  0.250  	  0.800
17  	  N  	  0.235  	  0.800
18  	  N  	  0.222  	  0.800
19  	  N  	  0.211  	  0.800
20  	  N  	  0.200  	  0.800
21  	  N  	  0.190  	  0.800
22  	  N  	  0.182  	  0.800
23  	  N  	  0.174  	  0.800
24  	  R  	  0.208  	  1.000
25  	  N  	  0.200  	  1.000
26  	  N  	  0.192  	  1.000
27  	  N  	  0.185  	  1.000
28  	  N  	  0.179  	  1.000
29  	  N  	  0.172  	  1.000
30  	  N  	  0.167  	  1.000
31  	  N  	  0.161  	  1.000
32  	  R  	  0.188  	  1.200
33  	  R  	  0.212  	  1.400
34  	  N  	  0.206  	  1.400
35  	  N  	  0.200  	  1.400
36  	  N  	  0.194  	  1.400
37  	  N  	  0.189  	  1.400
38  	  N  	  0.184  	  1.400
39  	  N  	  0.179  	  1.400
40  	  N  	  0.175  	  1.400
41  	  N  	  0.171  	  1.400
42  	  R  	  0.190  	  1.600
43  	  N  	  0.186  	  1.600
44  	  N  	  0.182  	  1.600
45  	  N  	  0.178  	  1.600
46  	  N  	  0.174  	  1.600
47  	  N  	  0.170  	  1.600
48  	  N  	  0.167  	  1.600
49  	  N  	  0.163  	  1.600
50  	  N  	  0.160  	  1.600
51  	  N  	  0.157  	  1.600
52  	  N  	  0.154  	  1.600
53  	  N  	  0.151  	  1.600
54  	  N  	  0.148  	  1.600
55  	  R  	  0.164  	  1.800
56  	  N  	  0.161  	  1.800
57  	  N  	  0.158  	  1.800
58  	  N  	  0.155  	  1.800
59  	  N  	  0.153  	  1.800
60  	  N  	  0.150  	  1.800
61  	  N  	  0.148  	  1.800
62  	  N  	  0.145  	  1.800
63  	  N  	  0.143  	  1.800
64  	  N  	  0.141  	  1.800
65  	  N  	  0.138  	  1.800
66  	  N  	  0.136  	  1.800
67  	  N  	  0.134  	  1.800
68  	  N  	  0.132  	  1.800
69  	  N  	  0.130  	  1.800
70  	  N  	  0.129  	  1.800
71  	  N  	  0.127  	  1.800
72  	  N  	  0.125  	  1.800
73  	  N  	  0.123  	  1.800
74  	  N  	  0.122  	  1.800
75  	  N  	  0.120  	  1.800
76  	  N  	  0.118  	  1.800
77  	  N  	  0.117  	  1.800
78  	  N  	  0.115  	  1.800
79  	  N  	  0.114  	  1.800
80  	  N  	  0.113  	  1.800
81  	  N  	  0.111  	  1.800
82  	  N  	  0.110  	  1.800
83  	  N  	  0.108  	  1.800
84  	  N  	  0.107  	  1.800
85  	  N  	  0.106  	  1.800
86  	  N  	  0.105  	  1.800
87  	  N  	  0.103  	  1.800
88  	  N  	  0.102  	  1.800
89  	  N  	  0.101  	  1.800
90  	  N  	  0.100  	  1.800
91  	  N  	  0.099  	  1.800
92  	  N  	  0.098  	  1.800
93  	  N  	  0.097  	  1.800
94  	  N  	  0.096  	  1.800
95  	  N  	  0.095  	  1.800
96  	  N  	  0.094  	  1.800
97  	  N  	  0.093  	  1.800
98  	  N  	  0.092  	  1.800
99  	  N  	  0.091  	  1.800
100  	  N  	  0.090  	  1.800
