For Query: memory management aspects of operating systems software legal protection development international united states survey progress trend automatic solution differential equations general system generational view

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  N  	  0.000  	  0.000
04  	  R  	  0.250  	  0.200
05  	  R  	  0.400  	  0.400
06  	  R  	  0.500  	  0.600
07  	  R  	  0.571  	  0.800
08  	  R  	  0.625  	  1.000
09  	  R  	  0.667  	  1.200
10  	  R  	  0.700  	  1.400
11  	  N  	  0.636  	  1.400
12  	  R  	  0.667  	  1.600
13  	  N  	  0.615  	  1.600
14  	  N  	  0.571  	  1.600
15  	  N  	  0.533  	  1.600
16  	  N  	  0.500  	  1.600
17  	  N  	  0.471  	  1.600
18  	  N  	  0.444  	  1.600
19  	  N  	  0.421  	  1.600
20  	  N  	  0.400  	  1.600
21  	  N  	  0.381  	  1.600
22  	  N  	  0.364  	  1.600
23  	  N  	  0.348  	  1.600
24  	  R  	  0.375  	  1.800
25  	  N  	  0.360  	  1.800
26  	  N  	  0.346  	  1.800
27  	  N  	  0.333  	  1.800
28  	  N  	  0.321  	  1.800
29  	  N  	  0.310  	  1.800
30  	  N  	  0.300  	  1.800
31  	  R  	  0.323  	  2.000
32  	  N  	  0.312  	  2.000
33  	  N  	  0.303  	  2.000
34  	  N  	  0.294  	  2.000
35  	  N  	  0.286  	  2.000
36  	  N  	  0.278  	  2.000
37  	  N  	  0.270  	  2.000
38  	  N  	  0.263  	  2.000
39  	  R  	  0.282  	  2.200
40  	  N  	  0.275  	  2.200
41  	  N  	  0.268  	  2.200
42  	  N  	  0.262  	  2.200
43  	  N  	  0.256  	  2.200
44  	  N  	  0.250  	  2.200
45  	  N  	  0.244  	  2.200
46  	  N  	  0.239  	  2.200
47  	  N  	  0.234  	  2.200
48  	  N  	  0.229  	  2.200
49  	  N  	  0.224  	  2.200
50  	  N  	  0.220  	  2.200
51  	  N  	  0.216  	  2.200
52  	  N  	  0.212  	  2.200
53  	  R  	  0.226  	  2.400
54  	  N  	  0.222  	  2.400
55  	  N  	  0.218  	  2.400
56  	  N  	  0.214  	  2.400
57  	  N  	  0.211  	  2.400
58  	  N  	  0.207  	  2.400
59  	  N  	  0.203  	  2.400
60  	  N  	  0.200  	  2.400
61  	  N  	  0.197  	  2.400
62  	  N  	  0.194  	  2.400
63  	  N  	  0.190  	  2.400
64  	  N  	  0.188  	  2.400
65  	  N  	  0.185  	  2.400
66  	  R  	  0.197  	  2.600
67  	  N  	  0.194  	  2.600
68  	  R  	  0.206  	  2.800
69  	  N  	  0.203  	  2.800
70  	  N  	  0.200  	  2.800
71  	  N  	  0.197  	  2.800
72  	  N  	  0.194  	  2.800
73  	  N  	  0.192  	  2.800
74  	  N  	  0.189  	  2.800
75  	  N  	  0.187  	  2.800
76  	  N  	  0.184  	  2.800
77  	  N  	  0.182  	  2.800
78  	  N  	  0.179  	  2.800
79  	  N  	  0.177  	  2.800
80  	  N  	  0.175  	  2.800
81  	  N  	  0.173  	  2.800
82  	  N  	  0.171  	  2.800
83  	  N  	  0.169  	  2.800
84  	  R  	  0.179  	  3.000
85  	  N  	  0.176  	  3.000
86  	  N  	  0.174  	  3.000
87  	  N  	  0.172  	  3.000
88  	  N  	  0.170  	  3.000
89  	  N  	  0.169  	  3.000
90  	  N  	  0.167  	  3.000
91  	  N  	  0.165  	  3.000
92  	  N  	  0.163  	  3.000
93  	  N  	  0.161  	  3.000
94  	  N  	  0.160  	  3.000
95  	  N  	  0.158  	  3.000
96  	  N  	  0.156  	  3.000
97  	  N  	  0.155  	  3.000
98  	  R  	  0.163  	  3.200
99  	  N  	  0.162  	  3.200
100  	  N  	  0.160  	  3.200
