For Query: fast algorithm for context free language recognition or parsing information tree data base graph system radioisotopes reactor radioisotope accountability complement ambiguity automatic compression storage graphs grammars equivalence

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  R  	  0.500  	  0.200
03  	  N  	  0.333  	  0.200
04  	  R  	  0.500  	  0.400
05  	  N  	  0.400  	  0.400
06  	  R  	  0.500  	  0.600
07  	  N  	  0.429  	  0.600
08  	  R  	  0.500  	  0.800
09  	  N  	  0.444  	  0.800
10  	  N  	  0.400  	  0.800
11  	  R  	  0.455  	  1.000
12  	  R  	  0.500  	  1.200
13  	  R  	  0.538  	  1.400
14  	  N  	  0.500  	  1.400
15  	  N  	  0.467  	  1.400
16  	  R  	  0.500  	  1.600
17  	  R  	  0.529  	  1.800
18  	  N  	  0.500  	  1.800
19  	  R  	  0.526  	  2.000
20  	  N  	  0.500  	  2.000
21  	  R  	  0.524  	  2.200
22  	  N  	  0.500  	  2.200
23  	  R  	  0.522  	  2.400
24  	  N  	  0.500  	  2.400
25  	  N  	  0.480  	  2.400
26  	  N  	  0.462  	  2.400
27  	  R  	  0.481  	  2.600
28  	  N  	  0.464  	  2.600
29  	  N  	  0.448  	  2.600
30  	  N  	  0.433  	  2.600
31  	  N  	  0.419  	  2.600
32  	  R  	  0.438  	  2.800
33  	  N  	  0.424  	  2.800
34  	  R  	  0.441  	  3.000
35  	  N  	  0.429  	  3.000
36  	  N  	  0.417  	  3.000
37  	  N  	  0.405  	  3.000
38  	  N  	  0.395  	  3.000
39  	  R  	  0.410  	  3.200
40  	  N  	  0.400  	  3.200
41  	  R  	  0.415  	  3.400
42  	  N  	  0.405  	  3.400
43  	  N  	  0.395  	  3.400
44  	  N  	  0.386  	  3.400
45  	  N  	  0.378  	  3.400
46  	  N  	  0.370  	  3.400
47  	  N  	  0.362  	  3.400
48  	  N  	  0.354  	  3.400
49  	  N  	  0.347  	  3.400
50  	  N  	  0.340  	  3.400
51  	  N  	  0.333  	  3.400
52  	  N  	  0.327  	  3.400
53  	  N  	  0.321  	  3.400
54  	  N  	  0.315  	  3.400
55  	  N  	  0.309  	  3.400
56  	  N  	  0.304  	  3.400
57  	  N  	  0.298  	  3.400
58  	  N  	  0.293  	  3.400
59  	  N  	  0.288  	  3.400
60  	  N  	  0.283  	  3.400
61  	  N  	  0.279  	  3.400
62  	  N  	  0.274  	  3.400
63  	  N  	  0.270  	  3.400
64  	  N  	  0.266  	  3.400
65  	  N  	  0.262  	  3.400
66  	  N  	  0.258  	  3.400
67  	  N  	  0.254  	  3.400
68  	  R  	  0.265  	  3.600
69  	  N  	  0.261  	  3.600
70  	  N  	  0.257  	  3.600
71  	  N  	  0.254  	  3.600
72  	  N  	  0.250  	  3.600
73  	  N  	  0.247  	  3.600
74  	  N  	  0.243  	  3.600
75  	  N  	  0.240  	  3.600
76  	  N  	  0.237  	  3.600
77  	  N  	  0.234  	  3.600
78  	  N  	  0.231  	  3.600
79  	  N  	  0.228  	  3.600
80  	  N  	  0.225  	  3.600
81  	  N  	  0.222  	  3.600
82  	  N  	  0.220  	  3.600
83  	  N  	  0.217  	  3.600
84  	  N  	  0.214  	  3.600
85  	  N  	  0.212  	  3.600
86  	  N  	  0.209  	  3.600
87  	  N  	  0.207  	  3.600
88  	  N  	  0.205  	  3.600
89  	  N  	  0.202  	  3.600
90  	  N  	  0.200  	  3.600
91  	  N  	  0.198  	  3.600
92  	  N  	  0.196  	  3.600
93  	  N  	  0.194  	  3.600
94  	  N  	  0.191  	  3.600
95  	  N  	  0.189  	  3.600
96  	  N  	  0.188  	  3.600
97  	  N  	  0.186  	  3.600
98  	  N  	  0.184  	  3.600
99  	  N  	  0.182  	  3.600
100  	  N  	  0.180  	  3.600
