For Query: dictionary construction and accessing methods for fast retrieval of words or lexical items morphologically related information hashing indexing are usually applied to english spelling natural language problems memory organization terference multiprocessor shared tree data base graph system radioisotopes reactor radioisotope accountability automatic compression storage expressions factorization factors code factoring

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.200
02  	  N  	  0.500  	  0.200
03  	  R  	  0.667  	  0.400
04  	  N  	  0.500  	  0.400
05  	  N  	  0.400  	  0.400
06  	  R  	  0.500  	  0.600
07  	  N  	  0.429  	  0.600
08  	  R  	  0.500  	  0.800
09  	  N  	  0.444  	  0.800
10  	  R  	  0.500  	  1.000
11  	  N  	  0.455  	  1.000
12  	  R  	  0.500  	  1.200
13  	  R  	  0.538  	  1.400
14  	  N  	  0.500  	  1.400
15  	  R  	  0.533  	  1.600
16  	  R  	  0.562  	  1.800
17  	  N  	  0.529  	  1.800
18  	  N  	  0.500  	  1.800
19  	  N  	  0.474  	  1.800
20  	  N  	  0.450  	  1.800
21  	  N  	  0.429  	  1.800
22  	  R  	  0.455  	  2.000
23  	  N  	  0.435  	  2.000
24  	  N  	  0.417  	  2.000
25  	  N  	  0.400  	  2.000
26  	  N  	  0.385  	  2.000
27  	  R  	  0.407  	  2.200
28  	  N  	  0.393  	  2.200
29  	  N  	  0.379  	  2.200
30  	  N  	  0.367  	  2.200
31  	  R  	  0.387  	  2.400
32  	  N  	  0.375  	  2.400
33  	  N  	  0.364  	  2.400
34  	  N  	  0.353  	  2.400
35  	  N  	  0.343  	  2.400
36  	  N  	  0.333  	  2.400
37  	  R  	  0.351  	  2.600
38  	  N  	  0.342  	  2.600
39  	  N  	  0.333  	  2.600
40  	  R  	  0.350  	  2.800
41  	  N  	  0.341  	  2.800
42  	  N  	  0.333  	  2.800
43  	  R  	  0.349  	  3.000
44  	  N  	  0.341  	  3.000
45  	  R  	  0.356  	  3.200
46  	  R  	  0.370  	  3.400
47  	  R  	  0.383  	  3.600
48  	  N  	  0.375  	  3.600
49  	  N  	  0.367  	  3.600
50  	  R  	  0.380  	  3.800
51  	  N  	  0.373  	  3.800
52  	  N  	  0.365  	  3.800
53  	  N  	  0.358  	  3.800
54  	  N  	  0.352  	  3.800
55  	  N  	  0.345  	  3.800
56  	  N  	  0.339  	  3.800
57  	  N  	  0.333  	  3.800
58  	  N  	  0.328  	  3.800
59  	  N  	  0.322  	  3.800
60  	  R  	  0.333  	  4.000
61  	  R  	  0.344  	  4.200
62  	  N  	  0.339  	  4.200
63  	  N  	  0.333  	  4.200
64  	  N  	  0.328  	  4.200
65  	  N  	  0.323  	  4.200
66  	  N  	  0.318  	  4.200
67  	  R  	  0.328  	  4.400
68  	  N  	  0.324  	  4.400
69  	  N  	  0.319  	  4.400
70  	  N  	  0.314  	  4.400
71  	  R  	  0.324  	  4.600
72  	  N  	  0.319  	  4.600
73  	  N  	  0.315  	  4.600
74  	  N  	  0.311  	  4.600
75  	  N  	  0.307  	  4.600
76  	  N  	  0.303  	  4.600
77  	  N  	  0.299  	  4.600
78  	  R  	  0.308  	  4.800
79  	  N  	  0.304  	  4.800
80  	  N  	  0.300  	  4.800
81  	  N  	  0.296  	  4.800
82  	  N  	  0.293  	  4.800
83  	  N  	  0.289  	  4.800
84  	  N  	  0.286  	  4.800
85  	  N  	  0.282  	  4.800
86  	  N  	  0.279  	  4.800
87  	  N  	  0.276  	  4.800
88  	  N  	  0.273  	  4.800
89  	  N  	  0.270  	  4.800
90  	  N  	  0.267  	  4.800
91  	  N  	  0.264  	  4.800
92  	  N  	  0.261  	  4.800
93  	  N  	  0.258  	  4.800
94  	  N  	  0.255  	  4.800
95  	  N  	  0.253  	  4.800
96  	  N  	  0.250  	  4.800
97  	  N  	  0.247  	  4.800
98  	  N  	  0.245  	  4.800
99  	  N  	  0.242  	  4.800
100  	  N  	  0.240  	  4.800
