For Query: i am interested in distributed algorithms concurrent programs which processes communicate and synchronize by using message passing areas of particular interest include fault tolerance techniques for understanding the correctness these points intersection singular point plane cycling linear programming models phenomena nonlinear regression quadratic method photocomposition computer technical text typesetting community information utilities construction utility

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.200
02  	  R  	  1.000  	  0.400
03  	  R  	  1.000  	  0.600
04  	  R  	  1.000  	  0.800
05  	  R  	  1.000  	  1.000
06  	  R  	  1.000  	  1.200
07  	  R  	  1.000  	  1.400
08  	  R  	  1.000  	  1.600
09  	  N  	  0.889  	  1.600
10  	  N  	  0.800  	  1.600
11  	  N  	  0.727  	  1.600
12  	  R  	  0.750  	  1.800
13  	  N  	  0.692  	  1.800
14  	  N  	  0.643  	  1.800
15  	  N  	  0.600  	  1.800
16  	  R  	  0.625  	  2.000
17  	  N  	  0.588  	  2.000
18  	  N  	  0.556  	  2.000
19  	  N  	  0.526  	  2.000
20  	  N  	  0.500  	  2.000
21  	  N  	  0.476  	  2.000
22  	  N  	  0.455  	  2.000
23  	  N  	  0.435  	  2.000
24  	  N  	  0.417  	  2.000
25  	  N  	  0.400  	  2.000
26  	  N  	  0.385  	  2.000
27  	  R  	  0.407  	  2.200
28  	  N  	  0.393  	  2.200
29  	  N  	  0.379  	  2.200
30  	  N  	  0.367  	  2.200
31  	  N  	  0.355  	  2.200
32  	  N  	  0.344  	  2.200
33  	  N  	  0.333  	  2.200
34  	  R  	  0.353  	  2.400
35  	  N  	  0.343  	  2.400
36  	  N  	  0.333  	  2.400
37  	  N  	  0.324  	  2.400
38  	  R  	  0.342  	  2.600
39  	  N  	  0.333  	  2.600
40  	  N  	  0.325  	  2.600
41  	  N  	  0.317  	  2.600
42  	  N  	  0.310  	  2.600
43  	  N  	  0.302  	  2.600
44  	  N  	  0.295  	  2.600
45  	  N  	  0.289  	  2.600
46  	  N  	  0.283  	  2.600
47  	  N  	  0.277  	  2.600
48  	  N  	  0.271  	  2.600
49  	  N  	  0.265  	  2.600
50  	  N  	  0.260  	  2.600
51  	  N  	  0.255  	  2.600
52  	  N  	  0.250  	  2.600
53  	  N  	  0.245  	  2.600
54  	  N  	  0.241  	  2.600
55  	  N  	  0.236  	  2.600
56  	  N  	  0.232  	  2.600
57  	  N  	  0.228  	  2.600
58  	  N  	  0.224  	  2.600
59  	  N  	  0.220  	  2.600
60  	  N  	  0.217  	  2.600
61  	  N  	  0.213  	  2.600
62  	  N  	  0.210  	  2.600
63  	  N  	  0.206  	  2.600
64  	  N  	  0.203  	  2.600
65  	  N  	  0.200  	  2.600
66  	  N  	  0.197  	  2.600
67  	  N  	  0.194  	  2.600
68  	  N  	  0.191  	  2.600
69  	  N  	  0.188  	  2.600
70  	  R  	  0.200  	  2.800
71  	  N  	  0.197  	  2.800
72  	  N  	  0.194  	  2.800
73  	  N  	  0.192  	  2.800
74  	  N  	  0.189  	  2.800
75  	  N  	  0.187  	  2.800
76  	  N  	  0.184  	  2.800
77  	  N  	  0.182  	  2.800
78  	  N  	  0.179  	  2.800
79  	  N  	  0.177  	  2.800
80  	  R  	  0.188  	  3.000
81  	  N  	  0.185  	  3.000
82  	  N  	  0.183  	  3.000
83  	  N  	  0.181  	  3.000
84  	  N  	  0.179  	  3.000
85  	  N  	  0.176  	  3.000
86  	  N  	  0.174  	  3.000
87  	  N  	  0.172  	  3.000
88  	  N  	  0.170  	  3.000
89  	  N  	  0.169  	  3.000
90  	  R  	  0.178  	  3.200
91  	  N  	  0.176  	  3.200
92  	  N  	  0.174  	  3.200
93  	  N  	  0.172  	  3.200
94  	  N  	  0.170  	  3.200
95  	  N  	  0.168  	  3.200
96  	  N  	  0.167  	  3.200
97  	  N  	  0.165  	  3.200
98  	  N  	  0.163  	  3.200
99  	  R  	  0.172  	  3.400
100  	  N  	  0.170  	  3.400
