For Query: algorithms or statistical packages for anova regression using least squares or generalized linear models system design capabilities statistical formula are of interest student s t test wilcoxon and sign tests multivariate and univariate components can be included

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  R  	  0.500  	  0.200
03  	  R  	  0.667  	  0.400
04  	  N  	  0.500  	  0.400
05  	  N  	  0.400  	  0.400
06  	  N  	  0.333  	  0.400
07  	  R  	  0.429  	  0.600
08  	  R  	  0.500  	  0.800
09  	  N  	  0.444  	  0.800
10  	  R  	  0.500  	  1.000
11  	  N  	  0.455  	  1.000
12  	  N  	  0.417  	  1.000
13  	  R  	  0.462  	  1.200
14  	  N  	  0.429  	  1.200
15  	  N  	  0.400  	  1.200
16  	  N  	  0.375  	  1.200
17  	  N  	  0.353  	  1.200
18  	  N  	  0.333  	  1.200
19  	  N  	  0.316  	  1.200
20  	  N  	  0.300  	  1.200
21  	  N  	  0.286  	  1.200
22  	  N  	  0.273  	  1.200
23  	  R  	  0.304  	  1.400
24  	  N  	  0.292  	  1.400
25  	  N  	  0.280  	  1.400
26  	  R  	  0.308  	  1.600
27  	  N  	  0.296  	  1.600
28  	  N  	  0.286  	  1.600
29  	  N  	  0.276  	  1.600
30  	  N  	  0.267  	  1.600
31  	  N  	  0.258  	  1.600
32  	  N  	  0.250  	  1.600
33  	  N  	  0.242  	  1.600
34  	  N  	  0.235  	  1.600
35  	  N  	  0.229  	  1.600
36  	  N  	  0.222  	  1.600
37  	  N  	  0.216  	  1.600
38  	  N  	  0.211  	  1.600
39  	  N  	  0.205  	  1.600
40  	  N  	  0.200  	  1.600
41  	  N  	  0.195  	  1.600
42  	  N  	  0.190  	  1.600
43  	  N  	  0.186  	  1.600
44  	  N  	  0.182  	  1.600
45  	  N  	  0.178  	  1.600
46  	  R  	  0.196  	  1.800
47  	  N  	  0.191  	  1.800
48  	  N  	  0.188  	  1.800
49  	  N  	  0.184  	  1.800
50  	  N  	  0.180  	  1.800
51  	  N  	  0.176  	  1.800
52  	  N  	  0.173  	  1.800
53  	  N  	  0.170  	  1.800
54  	  R  	  0.185  	  2.000
55  	  N  	  0.182  	  2.000
56  	  N  	  0.179  	  2.000
57  	  N  	  0.175  	  2.000
58  	  N  	  0.172  	  2.000
59  	  N  	  0.169  	  2.000
60  	  N  	  0.167  	  2.000
61  	  N  	  0.164  	  2.000
62  	  N  	  0.161  	  2.000
63  	  N  	  0.159  	  2.000
64  	  N  	  0.156  	  2.000
65  	  N  	  0.154  	  2.000
66  	  N  	  0.152  	  2.000
67  	  N  	  0.149  	  2.000
68  	  N  	  0.147  	  2.000
69  	  N  	  0.145  	  2.000
70  	  R  	  0.157  	  2.200
71  	  N  	  0.155  	  2.200
72  	  N  	  0.153  	  2.200
73  	  N  	  0.151  	  2.200
74  	  N  	  0.149  	  2.200
75  	  N  	  0.147  	  2.200
76  	  N  	  0.145  	  2.200
77  	  N  	  0.143  	  2.200
78  	  N  	  0.141  	  2.200
79  	  N  	  0.139  	  2.200
80  	  N  	  0.138  	  2.200
81  	  N  	  0.136  	  2.200
82  	  N  	  0.134  	  2.200
83  	  N  	  0.133  	  2.200
84  	  N  	  0.131  	  2.200
85  	  N  	  0.129  	  2.200
86  	  N  	  0.128  	  2.200
87  	  N  	  0.126  	  2.200
88  	  N  	  0.125  	  2.200
89  	  N  	  0.124  	  2.200
90  	  N  	  0.122  	  2.200
91  	  N  	  0.121  	  2.200
92  	  N  	  0.120  	  2.200
93  	  R  	  0.129  	  2.400
94  	  N  	  0.128  	  2.400
95  	  N  	  0.126  	  2.400
96  	  N  	  0.125  	  2.400
97  	  N  	  0.124  	  2.400
98  	  N  	  0.122  	  2.400
99  	  N  	  0.121  	  2.400
100  	  N  	  0.120  	  2.400
