For Query: number theoretic algorithms especially involving prime number series sieves and chinese remainder theorem

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.200
02  	  R  	  1.000  	  0.400
03  	  R  	  1.000  	  0.600
04  	  R  	  1.000  	  0.800
05  	  N  	  0.800  	  0.800
06  	  N  	  0.667  	  0.800
07  	  N  	  0.571  	  0.800
08  	  N  	  0.500  	  0.800
09  	  R  	  0.556  	  1.000
10  	  R  	  0.600  	  1.200
11  	  R  	  0.636  	  1.400
12  	  N  	  0.583  	  1.400
13  	  N  	  0.538  	  1.400
14  	  R  	  0.571  	  1.600
15  	  N  	  0.533  	  1.600
16  	  N  	  0.500  	  1.600
17  	  N  	  0.471  	  1.600
18  	  N  	  0.444  	  1.600
19  	  N  	  0.421  	  1.600
20  	  N  	  0.400  	  1.600
21  	  N  	  0.381  	  1.600
22  	  N  	  0.364  	  1.600
23  	  N  	  0.348  	  1.600
24  	  N  	  0.333  	  1.600
25  	  N  	  0.320  	  1.600
26  	  R  	  0.346  	  1.800
27  	  N  	  0.333  	  1.800
28  	  R  	  0.357  	  2.000
29  	  N  	  0.345  	  2.000
30  	  N  	  0.333  	  2.000
31  	  N  	  0.323  	  2.000
32  	  N  	  0.312  	  2.000
33  	  N  	  0.303  	  2.000
34  	  N  	  0.294  	  2.000
35  	  N  	  0.286  	  2.000
36  	  N  	  0.278  	  2.000
37  	  N  	  0.270  	  2.000
38  	  N  	  0.263  	  2.000
39  	  N  	  0.256  	  2.000
