For Query: performance evaluation and modelling of computer systems software legal protection development international survey progress trend automatic united states models system

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  N  	  0.000  	  0.000
04  	  R  	  0.250  	  0.200
05  	  N  	  0.200  	  0.200
06  	  N  	  0.167  	  0.200
07  	  R  	  0.286  	  0.400
08  	  R  	  0.375  	  0.600
09  	  N  	  0.333  	  0.600
10  	  R  	  0.400  	  0.800
11  	  N  	  0.364  	  0.800
12  	  R  	  0.417  	  1.000
13  	  N  	  0.385  	  1.000
14  	  N  	  0.357  	  1.000
15  	  R  	  0.400  	  1.200
16  	  N  	  0.375  	  1.200
17  	  N  	  0.353  	  1.200
18  	  R  	  0.389  	  1.400
19  	  N  	  0.368  	  1.400
20  	  N  	  0.350  	  1.400
21  	  N  	  0.333  	  1.400
22  	  N  	  0.318  	  1.400
23  	  N  	  0.304  	  1.400
24  	  N  	  0.292  	  1.400
25  	  N  	  0.280  	  1.400
26  	  N  	  0.269  	  1.400
27  	  N  	  0.259  	  1.400
28  	  R  	  0.286  	  1.600
29  	  N  	  0.276  	  1.600
30  	  N  	  0.267  	  1.600
31  	  N  	  0.258  	  1.600
32  	  R  	  0.281  	  1.800
33  	  R  	  0.303  	  2.000
34  	  N  	  0.294  	  2.000
35  	  N  	  0.286  	  2.000
36  	  N  	  0.278  	  2.000
37  	  N  	  0.270  	  2.000
38  	  N  	  0.263  	  2.000
39  	  N  	  0.256  	  2.000
40  	  N  	  0.250  	  2.000
41  	  N  	  0.244  	  2.000
42  	  N  	  0.238  	  2.000
43  	  N  	  0.233  	  2.000
44  	  N  	  0.227  	  2.000
45  	  N  	  0.222  	  2.000
46  	  R  	  0.239  	  2.200
47  	  N  	  0.234  	  2.200
48  	  N  	  0.229  	  2.200
49  	  R  	  0.245  	  2.400
50  	  N  	  0.240  	  2.400
51  	  N  	  0.235  	  2.400
52  	  N  	  0.231  	  2.400
53  	  N  	  0.226  	  2.400
54  	  N  	  0.222  	  2.400
55  	  N  	  0.218  	  2.400
56  	  N  	  0.214  	  2.400
57  	  N  	  0.211  	  2.400
58  	  N  	  0.207  	  2.400
59  	  N  	  0.203  	  2.400
60  	  N  	  0.200  	  2.400
61  	  N  	  0.197  	  2.400
62  	  N  	  0.194  	  2.400
63  	  N  	  0.190  	  2.400
64  	  N  	  0.188  	  2.400
65  	  N  	  0.185  	  2.400
66  	  N  	  0.182  	  2.400
67  	  N  	  0.179  	  2.400
68  	  N  	  0.176  	  2.400
69  	  N  	  0.174  	  2.400
70  	  N  	  0.171  	  2.400
71  	  N  	  0.169  	  2.400
72  	  R  	  0.181  	  2.600
73  	  N  	  0.178  	  2.600
74  	  N  	  0.176  	  2.600
75  	  N  	  0.173  	  2.600
76  	  N  	  0.171  	  2.600
77  	  N  	  0.169  	  2.600
78  	  R  	  0.179  	  2.800
79  	  N  	  0.177  	  2.800
80  	  N  	  0.175  	  2.800
81  	  N  	  0.173  	  2.800
82  	  N  	  0.171  	  2.800
83  	  R  	  0.181  	  3.000
84  	  N  	  0.179  	  3.000
85  	  N  	  0.176  	  3.000
86  	  N  	  0.174  	  3.000
87  	  N  	  0.172  	  3.000
88  	  N  	  0.170  	  3.000
89  	  N  	  0.169  	  3.000
90  	  N  	  0.167  	  3.000
91  	  N  	  0.165  	  3.000
92  	  N  	  0.163  	  3.000
93  	  N  	  0.161  	  3.000
94  	  N  	  0.160  	  3.000
95  	  N  	  0.158  	  3.000
96  	  N  	  0.156  	  3.000
97  	  N  	  0.155  	  3.000
98  	  N  	  0.153  	  3.000
99  	  N  	  0.152  	  3.000
100  	  N  	  0.150  	  3.000
