For Query: the use of operations research models to optimize information system performance this includes fine tuning decisions such as secondary index selection file reorganization and distributed databases computing systems automated impacts repository acm user principles storage retrieval study interactive level hierarchy store utilization mathematical computers curriculum permit ideas

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  N  	  0.000  	  0.000
04  	  N  	  0.000  	  0.000
05  	  N  	  0.000  	  0.000
06  	  N  	  0.000  	  0.000
07  	  N  	  0.000  	  0.000
08  	  N  	  0.000  	  0.000
09  	  N  	  0.000  	  0.000
10  	  R  	  0.100  	  0.200
11  	  N  	  0.091  	  0.200
12  	  N  	  0.083  	  0.200
13  	  N  	  0.077  	  0.200
14  	  N  	  0.071  	  0.200
15  	  N  	  0.067  	  0.200
16  	  N  	  0.062  	  0.200
17  	  N  	  0.059  	  0.200
18  	  N  	  0.056  	  0.200
19  	  R  	  0.105  	  0.400
20  	  N  	  0.100  	  0.400
21  	  N  	  0.095  	  0.400
22  	  N  	  0.091  	  0.400
23  	  N  	  0.087  	  0.400
24  	  N  	  0.083  	  0.400
25  	  N  	  0.080  	  0.400
26  	  N  	  0.077  	  0.400
27  	  N  	  0.074  	  0.400
28  	  N  	  0.071  	  0.400
29  	  N  	  0.069  	  0.400
30  	  N  	  0.067  	  0.400
31  	  N  	  0.065  	  0.400
32  	  N  	  0.062  	  0.400
33  	  N  	  0.061  	  0.400
34  	  N  	  0.059  	  0.400
35  	  N  	  0.057  	  0.400
36  	  R  	  0.083  	  0.600
37  	  N  	  0.081  	  0.600
38  	  N  	  0.079  	  0.600
39  	  N  	  0.077  	  0.600
40  	  N  	  0.075  	  0.600
41  	  N  	  0.073  	  0.600
42  	  N  	  0.071  	  0.600
43  	  N  	  0.070  	  0.600
44  	  N  	  0.068  	  0.600
45  	  N  	  0.067  	  0.600
46  	  N  	  0.065  	  0.600
47  	  N  	  0.064  	  0.600
48  	  N  	  0.062  	  0.600
49  	  N  	  0.061  	  0.600
50  	  N  	  0.060  	  0.600
51  	  N  	  0.059  	  0.600
52  	  N  	  0.058  	  0.600
53  	  N  	  0.057  	  0.600
54  	  N  	  0.056  	  0.600
55  	  R  	  0.073  	  0.800
56  	  N  	  0.071  	  0.800
57  	  N  	  0.070  	  0.800
58  	  N  	  0.069  	  0.800
59  	  N  	  0.068  	  0.800
60  	  N  	  0.067  	  0.800
61  	  N  	  0.066  	  0.800
62  	  N  	  0.065  	  0.800
63  	  N  	  0.063  	  0.800
64  	  N  	  0.062  	  0.800
65  	  N  	  0.062  	  0.800
66  	  N  	  0.061  	  0.800
67  	  N  	  0.060  	  0.800
68  	  N  	  0.059  	  0.800
69  	  N  	  0.058  	  0.800
70  	  R  	  0.071  	  1.000
71  	  R  	  0.085  	  1.200
72  	  N  	  0.083  	  1.200
73  	  R  	  0.096  	  1.400
74  	  N  	  0.095  	  1.400
75  	  N  	  0.093  	  1.400
76  	  N  	  0.092  	  1.400
77  	  N  	  0.091  	  1.400
78  	  N  	  0.090  	  1.400
79  	  N  	  0.089  	  1.400
80  	  N  	  0.087  	  1.400
81  	  N  	  0.086  	  1.400
82  	  N  	  0.085  	  1.400
83  	  N  	  0.084  	  1.400
84  	  N  	  0.083  	  1.400
85  	  N  	  0.082  	  1.400
86  	  N  	  0.081  	  1.400
87  	  N  	  0.080  	  1.400
88  	  N  	  0.080  	  1.400
89  	  N  	  0.079  	  1.400
90  	  N  	  0.078  	  1.400
91  	  N  	  0.077  	  1.400
92  	  N  	  0.076  	  1.400
93  	  N  	  0.075  	  1.400
94  	  N  	  0.074  	  1.400
95  	  N  	  0.074  	  1.400
96  	  N  	  0.073  	  1.400
97  	  N  	  0.072  	  1.400
98  	  N  	  0.071  	  1.400
99  	  N  	  0.071  	  1.400
100  	  R  	  0.080  	  1.600
