For Query: parallel languages languages for parallel computation

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  R  	  0.333  	  0.200
04  	  R  	  0.500  	  0.400
05  	  N  	  0.400  	  0.400
06  	  N  	  0.333  	  0.400
07  	  R  	  0.429  	  0.600
08  	  R  	  0.500  	  0.800
09  	  R  	  0.556  	  1.000
10  	  R  	  0.600  	  1.200
11  	  R  	  0.636  	  1.400
12  	  N  	  0.583  	  1.400
13  	  N  	  0.538  	  1.400
14  	  N  	  0.500  	  1.400
15  	  N  	  0.467  	  1.400
16  	  N  	  0.438  	  1.400
17  	  R  	  0.471  	  1.600
18  	  N  	  0.444  	  1.600
19  	  N  	  0.421  	  1.600
20  	  R  	  0.450  	  1.800
21  	  N  	  0.429  	  1.800
22  	  R  	  0.455  	  2.000
23  	  N  	  0.435  	  2.000
24  	  R  	  0.458  	  2.200
25  	  N  	  0.440  	  2.200
26  	  N  	  0.423  	  2.200
27  	  N  	  0.407  	  2.200
28  	  N  	  0.393  	  2.200
29  	  N  	  0.379  	  2.200
30  	  N  	  0.367  	  2.200
31  	  R  	  0.387  	  2.400
32  	  N  	  0.375  	  2.400
33  	  N  	  0.364  	  2.400
34  	  N  	  0.353  	  2.400
35  	  R  	  0.371  	  2.600
36  	  N  	  0.361  	  2.600
37  	  N  	  0.351  	  2.600
38  	  N  	  0.342  	  2.600
39  	  N  	  0.333  	  2.600
40  	  N  	  0.325  	  2.600
41  	  R  	  0.341  	  2.800
42  	  R  	  0.357  	  3.000
43  	  N  	  0.349  	  3.000
44  	  N  	  0.341  	  3.000
45  	  R  	  0.356  	  3.200
46  	  N  	  0.348  	  3.200
47  	  N  	  0.340  	  3.200
48  	  N  	  0.333  	  3.200
49  	  N  	  0.327  	  3.200
50  	  R  	  0.340  	  3.400
51  	  N  	  0.333  	  3.400
52  	  N  	  0.327  	  3.400
53  	  N  	  0.321  	  3.400
54  	  N  	  0.315  	  3.400
55  	  N  	  0.309  	  3.400
56  	  N  	  0.304  	  3.400
57  	  N  	  0.298  	  3.400
58  	  N  	  0.293  	  3.400
59  	  N  	  0.288  	  3.400
60  	  N  	  0.283  	  3.400
61  	  N  	  0.279  	  3.400
62  	  N  	  0.274  	  3.400
63  	  N  	  0.270  	  3.400
64  	  N  	  0.266  	  3.400
65  	  N  	  0.262  	  3.400
66  	  N  	  0.258  	  3.400
67  	  N  	  0.254  	  3.400
68  	  N  	  0.250  	  3.400
69  	  N  	  0.246  	  3.400
70  	  N  	  0.243  	  3.400
71  	  N  	  0.239  	  3.400
72  	  N  	  0.236  	  3.400
73  	  R  	  0.247  	  3.600
74  	  R  	  0.257  	  3.800
75  	  N  	  0.253  	  3.800
76  	  N  	  0.250  	  3.800
77  	  N  	  0.247  	  3.800
78  	  N  	  0.244  	  3.800
79  	  N  	  0.241  	  3.800
80  	  N  	  0.237  	  3.800
81  	  N  	  0.235  	  3.800
82  	  N  	  0.232  	  3.800
83  	  N  	  0.229  	  3.800
84  	  N  	  0.226  	  3.800
85  	  N  	  0.224  	  3.800
86  	  N  	  0.221  	  3.800
87  	  N  	  0.218  	  3.800
88  	  N  	  0.216  	  3.800
89  	  N  	  0.213  	  3.800
90  	  N  	  0.211  	  3.800
91  	  N  	  0.209  	  3.800
92  	  N  	  0.207  	  3.800
93  	  N  	  0.204  	  3.800
94  	  N  	  0.202  	  3.800
95  	  N  	  0.200  	  3.800
96  	  N  	  0.198  	  3.800
97  	  N  	  0.196  	  3.800
98  	  N  	  0.194  	  3.800
99  	  N  	  0.192  	  3.800
100  	  N  	  0.190  	  3.800
