For Query: concurrency control mechanisms in operating systems

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  N  	  0.000  	  0.000
04  	  N  	  0.000  	  0.000
05  	  N  	  0.000  	  0.000
06  	  N  	  0.000  	  0.000
07  	  N  	  0.000  	  0.000
08  	  N  	  0.000  	  0.000
09  	  N  	  0.000  	  0.000
10  	  R  	  0.100  	  0.200
11  	  R  	  0.182  	  0.400
12  	  N  	  0.167  	  0.400
13  	  N  	  0.154  	  0.400
14  	  N  	  0.143  	  0.400
15  	  N  	  0.133  	  0.400
16  	  N  	  0.125  	  0.400
17  	  N  	  0.118  	  0.400
18  	  N  	  0.111  	  0.400
19  	  N  	  0.105  	  0.400
20  	  N  	  0.100  	  0.400
21  	  N  	  0.095  	  0.400
22  	  N  	  0.091  	  0.400
23  	  N  	  0.087  	  0.400
24  	  N  	  0.083  	  0.400
25  	  R  	  0.120  	  0.600
26  	  N  	  0.115  	  0.600
27  	  N  	  0.111  	  0.600
28  	  N  	  0.107  	  0.600
29  	  R  	  0.138  	  0.800
30  	  N  	  0.133  	  0.800
31  	  N  	  0.129  	  0.800
32  	  N  	  0.125  	  0.800
33  	  N  	  0.121  	  0.800
34  	  R  	  0.147  	  1.000
35  	  N  	  0.143  	  1.000
36  	  N  	  0.139  	  1.000
37  	  N  	  0.135  	  1.000
38  	  R  	  0.158  	  1.200
39  	  N  	  0.154  	  1.200
40  	  R  	  0.175  	  1.400
41  	  N  	  0.171  	  1.400
42  	  R  	  0.190  	  1.600
43  	  N  	  0.186  	  1.600
44  	  N  	  0.182  	  1.600
45  	  R  	  0.200  	  1.800
46  	  N  	  0.196  	  1.800
47  	  N  	  0.191  	  1.800
48  	  N  	  0.188  	  1.800
49  	  N  	  0.184  	  1.800
50  	  N  	  0.180  	  1.800
51  	  N  	  0.176  	  1.800
52  	  N  	  0.173  	  1.800
53  	  R  	  0.189  	  2.000
54  	  N  	  0.185  	  2.000
55  	  N  	  0.182  	  2.000
56  	  N  	  0.179  	  2.000
57  	  N  	  0.175  	  2.000
58  	  N  	  0.172  	  2.000
59  	  N  	  0.169  	  2.000
60  	  N  	  0.167  	  2.000
61  	  N  	  0.164  	  2.000
62  	  N  	  0.161  	  2.000
63  	  N  	  0.159  	  2.000
64  	  N  	  0.156  	  2.000
65  	  N  	  0.154  	  2.000
66  	  N  	  0.152  	  2.000
67  	  R  	  0.164  	  2.200
68  	  N  	  0.162  	  2.200
69  	  N  	  0.159  	  2.200
70  	  N  	  0.157  	  2.200
71  	  N  	  0.155  	  2.200
72  	  N  	  0.153  	  2.200
73  	  N  	  0.151  	  2.200
74  	  N  	  0.149  	  2.200
75  	  N  	  0.147  	  2.200
76  	  N  	  0.145  	  2.200
77  	  N  	  0.143  	  2.200
78  	  N  	  0.141  	  2.200
79  	  N  	  0.139  	  2.200
80  	  R  	  0.150  	  2.400
81  	  N  	  0.148  	  2.400
82  	  N  	  0.146  	  2.400
83  	  N  	  0.145  	  2.400
84  	  N  	  0.143  	  2.400
85  	  N  	  0.141  	  2.400
86  	  R  	  0.151  	  2.600
87  	  N  	  0.149  	  2.600
88  	  N  	  0.148  	  2.600
89  	  N  	  0.146  	  2.600
90  	  N  	  0.144  	  2.600
91  	  N  	  0.143  	  2.600
92  	  N  	  0.141  	  2.600
93  	  N  	  0.140  	  2.600
94  	  N  	  0.138  	  2.600
95  	  N  	  0.137  	  2.600
96  	  N  	  0.135  	  2.600
97  	  N  	  0.134  	  2.600
98  	  N  	  0.133  	  2.600
99  	  N  	  0.131  	  2.600
100  	  N  	  0.130  	  2.600
