For Query: dictionary construction and accessing methods for fast retrieval of words or lexical items or morphologically related information hashing or indexing methods are usually applied to english spelling or natural language problems

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  R  	  0.333  	  0.200
04  	  N  	  0.250  	  0.200
05  	  N  	  0.200  	  0.200
06  	  N  	  0.167  	  0.200
07  	  N  	  0.143  	  0.200
08  	  N  	  0.125  	  0.200
09  	  N  	  0.111  	  0.200
10  	  N  	  0.100  	  0.200
11  	  N  	  0.091  	  0.200
12  	  N  	  0.083  	  0.200
13  	  N  	  0.077  	  0.200
14  	  R  	  0.143  	  0.400
15  	  R  	  0.200  	  0.600
16  	  N  	  0.188  	  0.600
17  	  N  	  0.176  	  0.600
18  	  N  	  0.167  	  0.600
19  	  N  	  0.158  	  0.600
20  	  N  	  0.150  	  0.600
21  	  N  	  0.143  	  0.600
22  	  N  	  0.136  	  0.600
23  	  N  	  0.130  	  0.600
24  	  N  	  0.125  	  0.600
25  	  N  	  0.120  	  0.600
26  	  N  	  0.115  	  0.600
27  	  N  	  0.111  	  0.600
28  	  N  	  0.107  	  0.600
29  	  N  	  0.103  	  0.600
30  	  N  	  0.100  	  0.600
31  	  N  	  0.097  	  0.600
32  	  N  	  0.094  	  0.600
33  	  R  	  0.121  	  0.800
34  	  N  	  0.118  	  0.800
35  	  N  	  0.114  	  0.800
36  	  N  	  0.111  	  0.800
37  	  R  	  0.135  	  1.000
38  	  R  	  0.158  	  1.200
39  	  N  	  0.154  	  1.200
40  	  N  	  0.150  	  1.200
41  	  N  	  0.146  	  1.200
42  	  N  	  0.143  	  1.200
43  	  N  	  0.140  	  1.200
44  	  N  	  0.136  	  1.200
45  	  N  	  0.133  	  1.200
46  	  N  	  0.130  	  1.200
47  	  N  	  0.128  	  1.200
48  	  N  	  0.125  	  1.200
49  	  N  	  0.122  	  1.200
50  	  N  	  0.120  	  1.200
51  	  N  	  0.118  	  1.200
52  	  R  	  0.135  	  1.400
53  	  R  	  0.151  	  1.600
54  	  N  	  0.148  	  1.600
55  	  N  	  0.145  	  1.600
56  	  N  	  0.143  	  1.600
57  	  N  	  0.140  	  1.600
58  	  N  	  0.138  	  1.600
59  	  N  	  0.136  	  1.600
60  	  N  	  0.133  	  1.600
61  	  N  	  0.131  	  1.600
62  	  N  	  0.129  	  1.600
63  	  N  	  0.127  	  1.600
64  	  N  	  0.125  	  1.600
65  	  N  	  0.123  	  1.600
66  	  R  	  0.136  	  1.800
67  	  N  	  0.134  	  1.800
68  	  N  	  0.132  	  1.800
69  	  N  	  0.130  	  1.800
70  	  N  	  0.129  	  1.800
71  	  N  	  0.127  	  1.800
72  	  N  	  0.125  	  1.800
73  	  R  	  0.137  	  2.000
74  	  N  	  0.135  	  2.000
75  	  N  	  0.133  	  2.000
76  	  N  	  0.132  	  2.000
77  	  N  	  0.130  	  2.000
78  	  N  	  0.128  	  2.000
79  	  N  	  0.127  	  2.000
80  	  N  	  0.125  	  2.000
81  	  N  	  0.123  	  2.000
82  	  N  	  0.122  	  2.000
83  	  N  	  0.120  	  2.000
84  	  N  	  0.119  	  2.000
85  	  N  	  0.118  	  2.000
86  	  N  	  0.116  	  2.000
87  	  N  	  0.115  	  2.000
88  	  N  	  0.114  	  2.000
89  	  N  	  0.112  	  2.000
90  	  R  	  0.122  	  2.200
91  	  N  	  0.121  	  2.200
92  	  N  	  0.120  	  2.200
93  	  N  	  0.118  	  2.200
94  	  N  	  0.117  	  2.200
95  	  N  	  0.116  	  2.200
96  	  N  	  0.115  	  2.200
97  	  N  	  0.113  	  2.200
98  	  N  	  0.112  	  2.200
99  	  N  	  0.111  	  2.200
100  	  N  	  0.110  	  2.200
