For Query: i am interested in hidden line and hidden surface algorithms for cylinders toroids spheres and cones this is a rather specialized topic in computer graphics

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.200
02  	  N  	  0.500  	  0.200
03  	  R  	  0.667  	  0.400
04  	  R  	  0.750  	  0.600
05  	  N  	  0.600  	  0.600
06  	  N  	  0.500  	  0.600
07  	  R  	  0.571  	  0.800
08  	  N  	  0.500  	  0.800
09  	  R  	  0.556  	  1.000
10  	  R  	  0.600  	  1.200
11  	  R  	  0.636  	  1.400
12  	  N  	  0.583  	  1.400
13  	  R  	  0.615  	  1.600
14  	  R  	  0.643  	  1.800
15  	  N  	  0.600  	  1.800
16  	  N  	  0.562  	  1.800
17  	  N  	  0.529  	  1.800
18  	  N  	  0.500  	  1.800
19  	  N  	  0.474  	  1.800
20  	  R  	  0.500  	  2.000
21  	  R  	  0.524  	  2.200
22  	  R  	  0.545  	  2.400
23  	  R  	  0.565  	  2.600
24  	  N  	  0.542  	  2.600
25  	  R  	  0.560  	  2.800
26  	  N  	  0.538  	  2.800
27  	  N  	  0.519  	  2.800
28  	  N  	  0.500  	  2.800
29  	  N  	  0.483  	  2.800
30  	  N  	  0.467  	  2.800
31  	  N  	  0.452  	  2.800
32  	  N  	  0.438  	  2.800
33  	  N  	  0.424  	  2.800
34  	  N  	  0.412  	  2.800
35  	  N  	  0.400  	  2.800
36  	  N  	  0.389  	  2.800
37  	  N  	  0.378  	  2.800
38  	  N  	  0.368  	  2.800
39  	  N  	  0.359  	  2.800
40  	  N  	  0.350  	  2.800
41  	  N  	  0.341  	  2.800
42  	  N  	  0.333  	  2.800
43  	  N  	  0.326  	  2.800
44  	  N  	  0.318  	  2.800
45  	  N  	  0.311  	  2.800
46  	  R  	  0.326  	  3.000
47  	  N  	  0.319  	  3.000
48  	  N  	  0.312  	  3.000
49  	  N  	  0.306  	  3.000
50  	  N  	  0.300  	  3.000
51  	  N  	  0.294  	  3.000
52  	  N  	  0.288  	  3.000
53  	  N  	  0.283  	  3.000
54  	  N  	  0.278  	  3.000
55  	  N  	  0.273  	  3.000
56  	  N  	  0.268  	  3.000
57  	  N  	  0.263  	  3.000
58  	  N  	  0.259  	  3.000
59  	  N  	  0.254  	  3.000
60  	  N  	  0.250  	  3.000
61  	  N  	  0.246  	  3.000
62  	  N  	  0.242  	  3.000
63  	  N  	  0.238  	  3.000
64  	  N  	  0.234  	  3.000
65  	  N  	  0.231  	  3.000
66  	  N  	  0.227  	  3.000
67  	  N  	  0.224  	  3.000
68  	  N  	  0.221  	  3.000
69  	  N  	  0.217  	  3.000
70  	  N  	  0.214  	  3.000
71  	  N  	  0.211  	  3.000
72  	  N  	  0.208  	  3.000
73  	  N  	  0.205  	  3.000
74  	  N  	  0.203  	  3.000
75  	  N  	  0.200  	  3.000
76  	  N  	  0.197  	  3.000
77  	  N  	  0.195  	  3.000
78  	  N  	  0.192  	  3.000
79  	  N  	  0.190  	  3.000
80  	  N  	  0.188  	  3.000
81  	  N  	  0.185  	  3.000
82  	  N  	  0.183  	  3.000
83  	  N  	  0.181  	  3.000
84  	  N  	  0.179  	  3.000
85  	  N  	  0.176  	  3.000
86  	  N  	  0.174  	  3.000
87  	  N  	  0.172  	  3.000
88  	  N  	  0.170  	  3.000
89  	  N  	  0.169  	  3.000
90  	  N  	  0.167  	  3.000
91  	  N  	  0.165  	  3.000
92  	  N  	  0.163  	  3.000
93  	  N  	  0.161  	  3.000
94  	  N  	  0.160  	  3.000
95  	  N  	  0.158  	  3.000
96  	  N  	  0.156  	  3.000
97  	  N  	  0.155  	  3.000
98  	  N  	  0.153  	  3.000
99  	  N  	  0.152  	  3.000
100  	  N  	  0.150  	  3.000
