For Query: number theoretic algorithms especially involving prime number series sieves and chinese remainder theorem

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.200
02  	  R  	  1.000  	  0.400
03  	  R  	  1.000  	  0.600
04  	  R  	  1.000  	  0.800
05  	  R  	  1.000  	  1.000
06  	  R  	  1.000  	  1.200
07  	  R  	  1.000  	  1.400
08  	  N  	  0.875  	  1.400
09  	  N  	  0.778  	  1.400
10  	  N  	  0.700  	  1.400
11  	  N  	  0.636  	  1.400
12  	  R  	  0.667  	  1.600
13  	  N  	  0.615  	  1.600
14  	  N  	  0.571  	  1.600
15  	  N  	  0.533  	  1.600
16  	  N  	  0.500  	  1.600
17  	  N  	  0.471  	  1.600
18  	  N  	  0.444  	  1.600
19  	  N  	  0.421  	  1.600
20  	  N  	  0.400  	  1.600
21  	  N  	  0.381  	  1.600
22  	  N  	  0.364  	  1.600
23  	  N  	  0.348  	  1.600
24  	  N  	  0.333  	  1.600
25  	  N  	  0.320  	  1.600
26  	  N  	  0.308  	  1.600
27  	  N  	  0.296  	  1.600
28  	  R  	  0.321  	  1.800
29  	  N  	  0.310  	  1.800
30  	  R  	  0.333  	  2.000
31  	  N  	  0.323  	  2.000
32  	  N  	  0.312  	  2.000
33  	  N  	  0.303  	  2.000
34  	  N  	  0.294  	  2.000
35  	  N  	  0.286  	  2.000
36  	  N  	  0.278  	  2.000
37  	  N  	  0.270  	  2.000
38  	  N  	  0.263  	  2.000
39  	  N  	  0.256  	  2.000
40  	  N  	  0.250  	  2.000
41  	  N  	  0.244  	  2.000
42  	  N  	  0.238  	  2.000
43  	  N  	  0.233  	  2.000
44  	  N  	  0.227  	  2.000
45  	  N  	  0.222  	  2.000
46  	  N  	  0.217  	  2.000
47  	  N  	  0.213  	  2.000
48  	  N  	  0.208  	  2.000
49  	  N  	  0.204  	  2.000
50  	  N  	  0.200  	  2.000
51  	  N  	  0.196  	  2.000
52  	  N  	  0.192  	  2.000
53  	  N  	  0.189  	  2.000
54  	  N  	  0.185  	  2.000
55  	  N  	  0.182  	  2.000
56  	  N  	  0.179  	  2.000
57  	  N  	  0.175  	  2.000
58  	  N  	  0.172  	  2.000
59  	  N  	  0.169  	  2.000
60  	  N  	  0.167  	  2.000
61  	  N  	  0.164  	  2.000
62  	  N  	  0.161  	  2.000
63  	  N  	  0.159  	  2.000
64  	  N  	  0.156  	  2.000
65  	  N  	  0.154  	  2.000
66  	  N  	  0.152  	  2.000
67  	  N  	  0.149  	  2.000
68  	  N  	  0.147  	  2.000
69  	  N  	  0.145  	  2.000
70  	  N  	  0.143  	  2.000
71  	  N  	  0.141  	  2.000
72  	  N  	  0.139  	  2.000
73  	  N  	  0.137  	  2.000
74  	  N  	  0.135  	  2.000
75  	  N  	  0.133  	  2.000
76  	  N  	  0.132  	  2.000
77  	  N  	  0.130  	  2.000
78  	  N  	  0.128  	  2.000
79  	  N  	  0.127  	  2.000
80  	  N  	  0.125  	  2.000
81  	  N  	  0.123  	  2.000
82  	  N  	  0.122  	  2.000
83  	  N  	  0.120  	  2.000
84  	  N  	  0.119  	  2.000
85  	  N  	  0.118  	  2.000
86  	  N  	  0.116  	  2.000
87  	  N  	  0.115  	  2.000
88  	  N  	  0.114  	  2.000
89  	  N  	  0.112  	  2.000
90  	  N  	  0.111  	  2.000
91  	  N  	  0.110  	  2.000
92  	  N  	  0.109  	  2.000
93  	  N  	  0.108  	  2.000
94  	  N  	  0.106  	  2.000
95  	  N  	  0.105  	  2.000
96  	  N  	  0.104  	  2.000
97  	  N  	  0.103  	  2.000
98  	  N  	  0.102  	  2.000
99  	  N  	  0.101  	  2.000
100  	  N  	  0.100  	  2.000
