For Query: articles describing the relationship between data types and concurrency e g what is the type of a process when is a synchronization attempt between two processes type correct in a message passing system is there any notion of the types of messages i e any way to check that the sender of the message and the receiver are both treating the bit stream as some particular type

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.200
02  	  N  	  0.500  	  0.200
03  	  N  	  0.333  	  0.200
04  	  N  	  0.250  	  0.200
05  	  N  	  0.200  	  0.200
06  	  N  	  0.167  	  0.200
07  	  N  	  0.143  	  0.200
08  	  N  	  0.125  	  0.200
09  	  N  	  0.111  	  0.200
10  	  R  	  0.200  	  0.400
11  	  N  	  0.182  	  0.400
12  	  N  	  0.167  	  0.400
13  	  N  	  0.154  	  0.400
14  	  N  	  0.143  	  0.400
15  	  N  	  0.133  	  0.400
16  	  N  	  0.125  	  0.400
17  	  N  	  0.118  	  0.400
18  	  N  	  0.111  	  0.400
19  	  N  	  0.105  	  0.400
20  	  N  	  0.100  	  0.400
21  	  N  	  0.095  	  0.400
22  	  N  	  0.091  	  0.400
23  	  N  	  0.087  	  0.400
24  	  N  	  0.083  	  0.400
25  	  R  	  0.120  	  0.600
26  	  N  	  0.115  	  0.600
27  	  N  	  0.111  	  0.600
28  	  N  	  0.107  	  0.600
29  	  N  	  0.103  	  0.600
30  	  N  	  0.100  	  0.600
31  	  N  	  0.097  	  0.600
32  	  N  	  0.094  	  0.600
33  	  N  	  0.091  	  0.600
34  	  N  	  0.088  	  0.600
35  	  N  	  0.086  	  0.600
36  	  N  	  0.083  	  0.600
37  	  N  	  0.081  	  0.600
38  	  N  	  0.079  	  0.600
39  	  N  	  0.077  	  0.600
40  	  N  	  0.075  	  0.600
41  	  N  	  0.073  	  0.600
42  	  R  	  0.095  	  0.800
43  	  N  	  0.093  	  0.800
44  	  N  	  0.091  	  0.800
45  	  N  	  0.089  	  0.800
46  	  N  	  0.087  	  0.800
47  	  N  	  0.085  	  0.800
48  	  N  	  0.083  	  0.800
49  	  N  	  0.082  	  0.800
50  	  N  	  0.080  	  0.800
51  	  N  	  0.078  	  0.800
52  	  N  	  0.077  	  0.800
53  	  N  	  0.075  	  0.800
54  	  N  	  0.074  	  0.800
55  	  N  	  0.073  	  0.800
56  	  N  	  0.071  	  0.800
57  	  N  	  0.070  	  0.800
58  	  N  	  0.069  	  0.800
59  	  N  	  0.068  	  0.800
60  	  N  	  0.067  	  0.800
61  	  N  	  0.066  	  0.800
62  	  N  	  0.065  	  0.800
63  	  N  	  0.063  	  0.800
64  	  R  	  0.078  	  1.000
65  	  R  	  0.092  	  1.200
66  	  N  	  0.091  	  1.200
67  	  N  	  0.090  	  1.200
68  	  N  	  0.088  	  1.200
69  	  N  	  0.087  	  1.200
70  	  N  	  0.086  	  1.200
71  	  N  	  0.085  	  1.200
72  	  N  	  0.083  	  1.200
73  	  N  	  0.082  	  1.200
74  	  N  	  0.081  	  1.200
75  	  N  	  0.080  	  1.200
76  	  N  	  0.079  	  1.200
77  	  N  	  0.078  	  1.200
78  	  N  	  0.077  	  1.200
79  	  N  	  0.076  	  1.200
80  	  N  	  0.075  	  1.200
81  	  N  	  0.074  	  1.200
82  	  N  	  0.073  	  1.200
83  	  N  	  0.072  	  1.200
84  	  N  	  0.071  	  1.200
85  	  N  	  0.071  	  1.200
86  	  N  	  0.070  	  1.200
87  	  N  	  0.069  	  1.200
88  	  N  	  0.068  	  1.200
89  	  N  	  0.067  	  1.200
90  	  N  	  0.067  	  1.200
91  	  N  	  0.066  	  1.200
92  	  N  	  0.065  	  1.200
93  	  N  	  0.065  	  1.200
94  	  N  	  0.064  	  1.200
95  	  N  	  0.063  	  1.200
96  	  N  	  0.062  	  1.200
97  	  N  	  0.062  	  1.200
98  	  N  	  0.061  	  1.200
99  	  N  	  0.061  	  1.200
100  	  N  	  0.060  	  1.200
