For Query: what is the type of a module i don t want the entire literature on abstract data types here but i m not sure how to phrase this to avoid it i m interested in questions about how one can check that a module matches contexts in which it is used

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.200
02  	  R  	  1.000  	  0.400
03  	  N  	  0.667  	  0.400
04  	  R  	  0.750  	  0.600
05  	  R  	  0.800  	  0.800
06  	  R  	  0.833  	  1.000
07  	  N  	  0.714  	  1.000
08  	  R  	  0.750  	  1.200
09  	  N  	  0.667  	  1.200
10  	  N  	  0.600  	  1.200
11  	  N  	  0.545  	  1.200
12  	  R  	  0.583  	  1.400
13  	  N  	  0.538  	  1.400
14  	  N  	  0.500  	  1.400
15  	  N  	  0.467  	  1.400
16  	  N  	  0.438  	  1.400
17  	  N  	  0.412  	  1.400
18  	  N  	  0.389  	  1.400
19  	  N  	  0.368  	  1.400
20  	  N  	  0.350  	  1.400
21  	  N  	  0.333  	  1.400
22  	  R  	  0.364  	  1.600
23  	  N  	  0.348  	  1.600
24  	  N  	  0.333  	  1.600
25  	  N  	  0.320  	  1.600
26  	  N  	  0.308  	  1.600
27  	  N  	  0.296  	  1.600
28  	  N  	  0.286  	  1.600
29  	  N  	  0.276  	  1.600
30  	  N  	  0.267  	  1.600
31  	  N  	  0.258  	  1.600
32  	  N  	  0.250  	  1.600
33  	  N  	  0.242  	  1.600
34  	  N  	  0.235  	  1.600
35  	  R  	  0.257  	  1.800
36  	  N  	  0.250  	  1.800
37  	  N  	  0.243  	  1.800
38  	  N  	  0.237  	  1.800
39  	  N  	  0.231  	  1.800
40  	  N  	  0.225  	  1.800
41  	  N  	  0.220  	  1.800
42  	  N  	  0.214  	  1.800
43  	  N  	  0.209  	  1.800
44  	  N  	  0.205  	  1.800
45  	  N  	  0.200  	  1.800
46  	  N  	  0.196  	  1.800
47  	  N  	  0.191  	  1.800
48  	  N  	  0.188  	  1.800
49  	  N  	  0.184  	  1.800
50  	  N  	  0.180  	  1.800
51  	  N  	  0.176  	  1.800
52  	  N  	  0.173  	  1.800
53  	  N  	  0.170  	  1.800
54  	  N  	  0.167  	  1.800
55  	  N  	  0.164  	  1.800
56  	  N  	  0.161  	  1.800
57  	  N  	  0.158  	  1.800
58  	  N  	  0.155  	  1.800
59  	  N  	  0.153  	  1.800
60  	  N  	  0.150  	  1.800
61  	  N  	  0.148  	  1.800
62  	  N  	  0.145  	  1.800
63  	  N  	  0.143  	  1.800
64  	  N  	  0.141  	  1.800
65  	  N  	  0.138  	  1.800
66  	  N  	  0.136  	  1.800
67  	  N  	  0.134  	  1.800
68  	  N  	  0.132  	  1.800
69  	  N  	  0.130  	  1.800
70  	  N  	  0.129  	  1.800
71  	  N  	  0.127  	  1.800
72  	  N  	  0.125  	  1.800
73  	  N  	  0.123  	  1.800
74  	  N  	  0.122  	  1.800
75  	  N  	  0.120  	  1.800
76  	  N  	  0.118  	  1.800
77  	  N  	  0.117  	  1.800
78  	  N  	  0.115  	  1.800
79  	  N  	  0.114  	  1.800
80  	  N  	  0.113  	  1.800
81  	  N  	  0.111  	  1.800
82  	  N  	  0.110  	  1.800
83  	  N  	  0.108  	  1.800
84  	  N  	  0.107  	  1.800
85  	  N  	  0.106  	  1.800
86  	  N  	  0.105  	  1.800
87  	  N  	  0.103  	  1.800
88  	  N  	  0.102  	  1.800
89  	  N  	  0.101  	  1.800
90  	  N  	  0.100  	  1.800
91  	  N  	  0.099  	  1.800
92  	  N  	  0.098  	  1.800
93  	  N  	  0.097  	  1.800
94  	  N  	  0.096  	  1.800
95  	  N  	  0.095  	  1.800
96  	  N  	  0.094  	  1.800
97  	  N  	  0.093  	  1.800
98  	  N  	  0.092  	  1.800
99  	  N  	  0.091  	  1.800
100  	  N  	  0.090  	  1.800
